context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
golden,4,0.09,0.06,0.04,0.14
snow,4,0.03,0.02,0.01,0.06
willow,4,0.06,0.04,0.02,0.09
sauce,4,0.05,0.03,0.02,0.11
ash,4,0.04,0.03,0.02,0.11
fox,4,0.02,0.01,0.01,0.03
pine,4,0.02,0.01,0.01,0.03
hot,4,0.03,0.02,0.01,0.07
pink,4,0.07,0.05,0.03,0.16
lane,4,0.05,0.04,0.02,0.07
leaf,4,0.03,0.02,0.02,0.06
hill,4,0.08,0.06,0.02,0.23
farm,4,0.02,0.01,0.02,0.04
run,4,0.02,0.01,0.01,0.03
said,4,0.04,0.03,0.01,0.06
jim,4,0.01,0.01,0.01,0.02
australian,4,0.05,0.04,0.01,0.08
miners,4,0.01,0.0,0.0,0.01
test,4,0.01,0.0,0.01,0.01
eaten,4,0.04,0.03,0.02,0.1
include,4,0.03,0.01,0.01,0.04
your,4,0.03,0.02,0.01,0.05
mine,4,0.03,0.02,0.01,0.07
problem,4,0.02,0.01,0.01,0.04
we,4,0.06,0.05,0.01,0.17
best,4,0.02,0.01,0.01,0.03
end,3,0.02,0.01,0.01,0.03
spelling,3,0.02,0.01,0.0,0.04
spider,3,0.17,0.13,0.05,0.35
snake,3,0.07,0.05,0.03,0.12
cat,3,0.03,0.01,0.02,0.03
pyramid,3,0.02,0.01,0.02,0.03
beetle,3,0.02,0.01,0.02,0.03
attack,3,0.02,0.01,0.01,0.02
rat,3,0.02,0.01,0.02,0.02
pit,3,0.02,0.01,0.01,0.02
cannon,3,0.02,0.01,0.01,0.02
front,3,0.02,0.01,0.01,0.03
wild,3,0.08,0.05,0.03,0.12
wine,3,0.05,0.04,0.03,0.1
sugar,3,0.04,0.02,0.02,0.06
syrup,3,0.02,0.02,0.01,0.04
blossom,3,0.04,0.03,0.03,0.04
festival,3,0.06,0.04,0.03,0.09
road,3,0.02,0.01,0.01,0.02
car,3,0.01,0.01,0.01,0.02
pits,3,0.01,0.01,0.01,0.02
news,3,0.11,0.11,0.01,0.33
bat,3,0.04,0.03,0.02,0.06
eating,3,0.03,0.02,0.01,0.05
barn,3,0.02,0.01,0.02,0.04
endangered,3,0.03,0.01,0.02,0.03
tons,3,0.01,0.01,0.01,0.01
bottle,3,0.03,0.02,0.01,0.03
solution,3,0.01,0.01,0.01,0.02
stops,3,0.02,0.02,0.01,0.06
solve,3,0.02,0.02,0.01,0.04
solving,3,0.02,0.01,0.01,0.03
disease,3,0.02,0.01,0.02,0.03
20th,3,0.02,0.01,0.01,0.02
milk,3,0.02,0.01,0.01,0.03
oil,3,0.03,0.01,0.02,0.03
mines,3,0.04,0.03,0.01,0.07
pie,3,0.27,0.26,0.05,0.69
clarinet,3,0.06,0.05,0.01,0.11
just,2,0.04,0.03,0.01,0.07
tanks,2,0.06,0.06,0.06,0.07
mascot,2,0.04,0.03,0.04,0.04
bite,2,0.02,0.02,0.01,0.04
raven,2,0.03,0.02,0.02,0.04
bowl,2,0.03,0.01,0.03,0.04
extinct,2,0.02,0.01,0.02,0.02
strawberry,2,0.31,0.3,0.3,0.33
grape,2,0.19,0.18,0.11,0.27
tomato,2,0.11,0.07,0.07,0.16
fruit,2,0.11,0.09,0.08,0.14
juice,2,0.14,0.11,0.13,0.15
jam,2,0.09,0.08,0.08,0.1
apple,2,0.13,0.11,0.09,0.16
wolf,2,0.05,0.04,0.03,0.06
orchard,2,0.03,0.01,0.02,0.04
rice,2,0.03,0.02,0.03,0.04
honey,2,0.03,0.01,0.03,0.03
dog,2,0.04,0.02,0.03,0.05
low,2,0.04,0.03,0.03,0.05
trees,2,0.03,0.01,0.03,0.03
spruce,2,0.04,0.03,0.03,0.05
brewery,2,0.03,0.02,0.02,0.03
cricketer,2,0.03,0.02,0.02,0.03
sacred,2,0.15,0.14,0.04,0.26
subspecies,2,0.08,0.06,0.04,0.13
tennis,2,0.07,0.06,0.03,0.11
beer,2,0.06,0.05,0.06,0.07
market,2,0.03,0.01,0.02,0.03
buried,2,0.04,0.03,0.02,0.06
brewing,2,0.01,0.01,0.01,0.02
bottles,2,0.03,0.02,0.01,0.04
color,2,0.14,0.13,0.04,0.24
gray,2,0.04,0.03,0.01,0.07
teddy,2,0.01,0.01,0.01,0.01
player,2,0.09,0.08,0.03,0.15
national,2,0.06,0.05,0.01,0.1
competition,2,0.05,0.05,0.04,0.06
level,2,0.05,0.04,0.03,0.06
country,2,0.02,0.02,0.02,0.03
united,2,0.01,0.01,0.01,0.02
began,2,0.02,0.01,0.02,0.02
men,2,0.02,0.02,0.01,0.03
western,2,0.01,0.0,0.01,0.01
years,2,0.01,0.0,0.01,0.01
street,2,0.03,0.01,0.03,0.03
blonde,2,0.02,0.01,0.01,0.02
shell,2,0.03,0.02,0.02,0.05
deer,2,0.04,0.03,0.02,0.07
animal,2,0.02,0.01,0.01,0.02
crops,2,0.04,0.02,0.03,0.04
board,2,0.02,0.01,0.02,0.02
much,2,0.04,0.03,0.02,0.05
mining,2,0.06,0.05,0.01,0.1
glass,2,0.1,0.09,0.01,0.18
grown,2,0.04,0.02,0.03,0.04
think,2,0.04,0.03,0.02,0.06
crop,2,0.05,0.04,0.02,0.09
bear,2,0.02,0.01,0.02,0.02
episode,2,0.03,0.02,0.03,0.03
lime,2,0.04,0.03,0.02,0.07
peanut,2,0.02,0.01,0.01,0.02
tiger,2,0.03,0.01,0.02,0.04
pet,2,0.03,0.01,0.02,0.04
solved,2,0.01,0.0,0.01,0.01
lagoon,1,0.96,0.96,0.96,0.96
oblast,1,0.01,0.0,0.01,0.01
venom,1,0.72,0.71,0.72,0.72
crab,1,0.05,0.03,0.05,0.05
lizard,1,0.05,0.02,0.05,0.05
cider,1,0.05,0.04,0.05,0.05
grapes,1,0.04,0.03,0.04,0.04
cooked,1,0.03,0.02,0.03,0.03
planted,1,0.03,0.02,0.03,0.03
corn,1,0.03,0.01,0.03,0.03
moss,1,0.94,0.93,0.94,0.94
lap,1,0.06,0.05,0.06,0.06
eat,1,0.14,0.13,0.14,0.14
owl,1,0.19,0.17,0.19,0.19
eggs,1,0.02,0.0,0.02,0.02
hunting,1,0.02,0.0,0.02,0.02
marylebone,1,0.01,0.01,0.01,0.01
products,1,0.06,0.05,0.06,0.06
vfl,1,0.32,0.32,0.32,0.32
football,1,0.22,0.22,0.22,0.22
nfl,1,0.18,0.18,0.18,0.18
coach,1,0.17,0.17,0.17,0.17
professional,1,0.16,0.16,0.16,0.16
afl,1,0.15,0.15,0.15,0.15
