context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
fortified,5,0.01,0.01,0.01,0.02
lantern,5,0.02,0.01,0.01,0.02
endemic,5,0.13,0.11,0.04,0.31
native,5,0.11,0.09,0.03,0.36
grows,5,0.03,0.02,0.02,0.06
solo,5,0.02,0.02,0.01,0.09
raspberry,5,0.08,0.06,0.03,0.24
crop,5,0.12,0.12,0.08,0.19
cultivation,5,0.06,0.05,0.03,0.1
hay,5,0.02,0.01,0.01,0.03
consumed,5,0.02,0.01,0.01,0.02
10,5,0.03,0.02,0.01,0.05
middle,5,0.04,0.04,0.01,0.08
tells,5,0.02,0.01,0.01,0.02
fatal,5,0.02,0.01,0.0,0.04
flat,5,0.01,0.01,0.01,0.02
vintage,5,0.01,0.01,0.0,0.04
fried,4,0.23,0.21,0.07,0.6
golden,4,0.03,0.01,0.02,0.05
ice,4,0.33,0.33,0.03,0.81
brown,4,0.06,0.05,0.01,0.1
shop,4,0.14,0.13,0.02,0.44
dessert,4,0.06,0.05,0.02,0.15
color,4,0.03,0.02,0.02,0.05
orchard,4,0.07,0.05,0.03,0.11
wedding,4,0.02,0.02,0.01,0.05
better,4,0.03,0.02,0.01,0.06
piano,4,0.01,0.01,0.01,0.04
still,4,0.03,0.01,0.01,0.05
onions,4,0.43,0.41,0.19,0.52
garden,4,0.02,0.01,0.01,0.03
tasting,4,0.01,0.0,0.01,0.01
kidney,4,0.02,0.01,0.01,0.04
series,4,0.02,0.0,0.02,0.03
outer,4,0.02,0.01,0.01,0.04
spider,4,0.11,0.09,0.04,0.16
lobster,4,0.04,0.01,0.04,0.05
bitter,4,0.05,0.02,0.03,0.07
bottles,4,0.03,0.02,0.01,0.05
plant,4,0.07,0.04,0.03,0.17
finger,4,0.01,0.01,0.01,0.02
suffered,4,0.01,0.0,0.01,0.02
hot,4,0.08,0.07,0.04,0.13
beans,4,0.12,0.1,0.03,0.27
products,4,0.04,0.03,0.02,0.07
drunk,4,0.02,0.01,0.0,0.03
wrestling,4,0.01,0.01,0.01,0.02
broken,4,0.01,0.0,0.01,0.01
