,criminal,food,female,fish,communication,no-cat,all,mammal,relation,bird,object,measure,animal,mean
driver,0.0,0.0,0.0,0.0,0.0014227864376263717,0.0,0.0010863166690310354,0.0,0.0,0.0,0.0011083094265919066,0.0,0.0,0.00027826250255763953
countertenor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mum,0.0,0.0,0.0,0.0,0.0,0.011306185746038783,0.011098222815938183,0.0,0.0,0.0,0.011062923863717471,0.0,0.0,0.00257441018659188
stepfather,0.0,0.0,0.0,0.0,0.0,0.009873864428233268,0.008373444460240822,0.0,0.0,0.0,0.008427791218536247,0.0,0.0,0.0020519307774623336
boy,0.0,0.0,0.0,0.0,0.0,0.006709463756227303,0.005198416835576275,0.0,0.0,0.0,0.005267829170157538,0.0,0.0,0.0013212084432277782
man,0.0,0.0,0.0,0.0,0.0,0.004386444969559756,0.0035091657622524303,0.003748889271236127,0.0,0.0,0.0035391489469318253,0.0,0.0035920309684992083,0.0014442830706522575
sir,0.0,0.0,0.0,0.0,0.0,0.000412302727369714,0.0002646883201427768,0.0,0.0,0.0,0.0002686958942123047,0.0,0.0,7.27451493634458e-05
patriarch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ram,0.0,0.0,0.0,0.0,0.0,0.0002997147977327365,0.0001402939407942527,0.0002009865184008721,0.0,0.0,0.0001404424130683886,0.0,0.0001846420064794037,7.431382126735797e-05
macho,0.0,0.0,0.0,0.0,0.0,0.0036499009251764283,0.002091979435308197,0.0,0.0,0.0,0.0021293583999314283,0.0,0.0,0.0006054799046473888
lad,0.0,0.0,0.0,0.0,0.0,0.003343445343190673,0.002042429245517197,0.0,0.0,0.0,0.002066777462130457,0.0,0.0,0.0005732809269875635
son,0.0,0.0,0.0,0.0,0.0,0.011494940497712951,0.009356270804362275,0.0,0.0,0.0,0.009476809593474453,0.0,0.0,0.0023329246842730524
paterfamilias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boyfriend,0.0,0.0,0.0,0.0,0.0,0.02015136757388487,0.014927813858047721,0.0,0.0,0.0,0.015143340902969251,0.0,0.0,0.003863270948838603
womanizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gentleman,0.0,0.0,0.0,0.0,0.0,0.0016728572752990436,0.0012957005804407609,0.0,0.0,0.0,0.0013090913981810063,0.0,0.0,0.0003290499426092932
ballerina,0.0,0.0,0.0,0.0,0.0,0.0,0.01074587723579734,0.0,0.0,0.0,0.010753692452173001,0.0,0.0,0.0016538130529207954
actress,0.0,0.0,0.0,0.0,0.0,0.0,0.031240434694838844,0.0,0.0,0.0,0.03103171562342803,0.0,0.0,0.004790165409097451
hostess,0.0,0.0,0.0,0.0,0.0,0.0,0.029557527193895466,0.0,0.0,0.0,0.029386846263062958,0.0,0.0,0.004534182573612187
sow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vixen,0.0,0.0,0.0,0.0,0.0,0.0,0.018391183709804415,0.018177510628427606,0.0,0.0,0.018301009210700495,0.0,0.01753514540187172,0.00556960376544648
comedienne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
duchess,0.0,0.0,0.0,0.0,0.0,0.0,0.010372207473937543,0.0,0.0,0.0,0.010360546247691895,0.0,0.0,0.0015948272093561104
stepdaughter,0.0,0.0,0.0,0.0,0.0,0.0,0.006617659505055688,0.0,0.0,0.0,0.006615024446631359,0.0,0.0,0.0010178987655143881
godmother,0.0,0.0,0.0,0.0,0.0,0.0,0.004539258262207361,0.0,0.0,0.0,0.004512283058793857,0.0,0.0,0.0006962724093077861
spokeswoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0028962809471295217,0.0,0.0,0.0,0.0028789319621249873,0.0,0.0,0.0004442471468657314
princess,0.0,0.0,0.0,0.0,0.0,0.0,0.0073434512146780834,0.0,0.0,0.0,0.007318052193632757,0.0,0.0,0.0011278079544854492
seductress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waitress,0.0,0.0,0.0,0.0,0.0,0.0,0.020718508903403363,0.0,0.0,0.0,0.020507978489381646,0.0,0.0,0.003171268260983462
headmistress,0.0,0.0,0.0,0.0,0.0,0.0,0.014938099160198833,0.0,0.0,0.0,0.014877696627952002,0.0,0.0,0.0022935227529346795
chambermaid,0.0,0.0,0.0,0.0,0.0,0.0,0.02217625364184555,0.0,0.0,0.0,0.022071077580409975,0.0,0.0,0.0034036408632504246
diva,0.0,0.0,0.0,0.0,0.0,0.0,0.04996538126443364,0.0,0.0,0.0,0.049588607164031,0.0,0.0,0.007657999109881895
niece,0.0,0.0,0.0,0.0,0.0,0.0,0.012482808573589589,0.0,0.0,0.0,0.012363682984388509,0.0,0.0,0.0019112685813829308
handmaid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
countess,0.0,0.0,0.0,0.0,0.0,0.0,0.043969153886065065,0.0,0.0,0.0,0.0439308532441366,0.0,0.0,0.006761539010015512
cow,0.0,0.0,0.0,0.0,0.0,0.0,0.00031251957641177365,0.00039329202025813594,0.0,0.0,0.0003100067125327942,0.0,0.00036542924321718366,0.00010624981172460671
stepsister,0.0,0.0,0.0,0.0,0.0,0.0,0.010957109706791394,0.0,0.0,0.0,0.010910367561168262,0.0,0.0,0.0016821136359968967
landlady,0.0,0.0,0.0,0.0,0.0,0.0,0.034585462735702566,0.0,0.0,0.0,0.03436857089260189,0.0,0.0,0.005304156432946497
mom,0.0,0.0,0.0,0.0,0.0,0.0,0.0220757399431095,0.0,0.0,0.0,0.022003479619505235,0.0,0.0,0.0033907091971242106
policewoman,0.0,0.0,0.0,0.0,0.0,0.0,0.007153375750786252,0.0,0.0,0.0,0.007116841964761098,0.0,0.0,0.0010977090550421038
masseuse,0.0,0.0,0.0,0.0,0.0,0.0,0.04892745659180247,0.0,0.0,0.0,0.04863962537138975,0.0,0.0,0.007505160151014786
grandma,0.0,0.0,0.0,0.0,0.0,0.0,0.010987054268046201,0.0,0.0,0.0,0.010894308479499003,0.0,0.0,0.0016831817498111695
housemaid,0.0,0.0,0.0,0.0,0.0,0.0,0.013197758731946143,0.0,0.0,0.0,0.013171030030714322,0.0,0.0,0.0020283683663584974
bride,0.0,0.0,0.0,0.0,0.0,0.0,0.007765561856849781,0.0,0.0,0.0,0.007778453624110489,0.0,0.0,0.0011956934985354053
empress,0.0,0.0,0.0,0.0,0.0,0.0,0.0016617868255646708,0.0,0.0,0.0,0.0016634258709624153,0.0,0.0,0.0002557855920405451
stepmother,0.0,0.0,0.0,0.0,0.0,0.0,0.00842375451146985,0.0,0.0,0.0,0.00837741775700392,0.0,0.0,0.0012923978668056744
bitch,0.0,0.0,0.0,0.0,0.0,0.0,0.017423774523035517,0.015505013652474978,0.0,0.0,0.01724128674368127,0.0,0.015568854846526467,0.005056840751209096
mommy,0.0,0.0,0.0,0.0,0.0,0.0,0.0028191543748309913,0.0,0.0,0.0,0.0028002768414817493,0.0,0.0,0.0004322639397163647
tigress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ewe,0.0,0.0,0.0,0.0,0.0,0.0,0.002788293883470219,0.002857729518385398,0.0,0.0,0.00276072894736441,0.0,0.0027524359219404876,0.000858399097781578
governess,0.0,0.0,0.0,0.0,0.0,0.0,0.043860165256639175,0.0,0.0,0.0,0.04365196628669263,0.0,0.0,0.006731702426410139
businesswoman,0.0,0.0,0.0,0.0,0.0,0.0,0.07845516528036797,0.0,0.0,0.0,0.07820835020949245,0.0,0.0,0.012051039653066186
lesbian,0.0,0.0,0.0,0.0,0.0,0.0,0.0058513593778450204,0.0,0.0,0.0,0.0058366560092135,0.0,0.0,0.0008990781066968093
handmaiden,0.0,0.0,0.0,0.0,0.0,0.0,0.0758763419402902,0.0,0.0,0.0,0.07530930825504538,0.0,0.0,0.0116296653996412
doe,0.0,0.0,0.0,0.0,0.0,0.0,0.0012101443607538914,0.0010890723807280328,0.0,0.0,0.0011332088295807298,0.0,0.0010316991712273384,0.000343394210945384
barmaid,0.0,0.0,0.0,0.0,0.0,0.0,0.05071885807645126,0.0,0.0,0.0,0.050533136587037786,0.0,0.0,0.007788614974114543
aunt,0.0,0.0,0.0,0.0,0.0,0.0,0.011377389602531937,0.0,0.0,0.0,0.011350630664466422,0.0,0.0,0.001748309251307566
granddaughter,0.0,0.0,0.0,0.0,0.0,0.0,0.02014449931430428,0.0,0.0,0.0,0.020144490341291153,0.0,0.0,0.003099153050430418
queen,0.0,0.0,0.0,0.0,0.0,0.0,0.010865834725443274,0.010842250761841086,0.013063998556059869,0.0,0.010844529271833861,0.0,0.010625494824693753,0.004326316010759372
grandmother,0.0,0.0,0.0,0.0,0.0,0.0,0.03016859317320905,0.0,0.0,0.0,0.030013489758984234,0.0,0.0,0.0046293909947840986
showgirl,0.0,0.0,0.0,0.0,0.0,0.0,0.0077336673918264875,0.0,0.0,0.0,0.007881876043134907,0.0,0.0,0.0012011956488431842
mare,0.0,0.0,0.0,0.0,0.0,0.0,0.0011464486230200678,0.0014619913051439565,0.0,0.0,0.001140195905507308,0.0,0.0013430495613563946,0.00039166810730982516
lioness,0.0,0.0,0.0,0.0,0.0,0.0,0.012999048664139218,0.011973716999854098,0.0,0.0,0.012968500108537104,0.0,0.01146328777799454,0.0038003502731173045
noblewoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chairwoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0016857679586952251,0.0,0.0,0.0,0.0016340199309716743,0.0,0.0,0.00025536829920514613
heiress,0.0,0.0,0.0,0.0,0.0,0.0,0.005184468073405322,0.0,0.0,0.0,0.0051652932587485595,0.0,0.0,0.0007961354870887601
goddaughter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scout,0.0,0.0,0.0,0.0,0.0,0.0,0.0003714494484838862,0.0,0.0,0.0,0.00037693977890443993,0.0,0.0,5.756840210679432e-05
communist,0.0,0.0,0.0,0.0,0.0,0.0,5.9617783522850965e-05,0.0,0.0,0.0,6.059545629276254e-05,0.0,0.0,9.247172293508731e-06
fox,0.0,0.0,0.0,0.0,0.0,0.0,0.00016506179417148393,0.000196457254899779,0.00035793270055520894,0.0,0.0001682965865160342,0.0,0.00017516058355951104,8.176222459246285e-05
prefect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
prisoner,0.0,0.0,0.0,0.0,0.0,0.0,0.0034131236574797786,0.0,0.0,0.0,0.003454567827748546,0.0,0.0,0.0005282839604021788
separatist,0.0,0.0,0.0,0.0,0.0,0.0,0.0001237871978873617,0.0,0.0,0.0,0.00012638214165569905,0.0,0.0,1.924379534946621e-05
socialite,0.0,0.0,0.0,0.0,0.0,0.0,0.012362913107460646,0.0,0.0,0.0,0.012512189851326877,0.0,0.0,0.0019134694583682712
newcomer,0.0,0.0,0.0,0.0,0.0,0.0,0.0027959340732717284,0.0,0.0,0.0,0.002809553850956945,0.0,0.0,0.00043119137878682107
dad,0.0,0.0,0.0,0.0,0.0,0.0,0.0043761347619220075,0.0,0.0,0.0,0.004406268643162597,0.0,0.0,0.0006755694926988157
orthodontist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poet,0.0,0.0,0.0,0.0,0.0,0.0,0.006457903385288726,0.0,0.0,0.0,0.00652019282784757,0.0,0.0,0.0009983150933181766
nephew,0.0,0.0,0.0,0.0,0.0,0.0,0.0005883391452698697,0.0,0.0,0.0,0.000597936919309512,0.0,0.0,9.125200496764476e-05
webmaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0153025667014766,0.0,0.0,0.0,0.01546071260299524,0.0,0.0,0.0023664061003439876
senator,0.0,0.0,0.0,0.0,0.0,0.0,0.002206533715512946,0.0,0.0,0.0,0.0022463602359754876,0.0,0.0,0.0003425303039606487
hound,0.0,0.0,0.0,0.0,0.0,0.0,0.0011815623073338872,0.001626749535191187,0.0,0.0,0.0012038667358231225,0.0,0.0014809484338178505,0.00042254823170508054
hermit,0.0,0.0,0.0,0.0,0.0,0.0,0.010140378068202657,0.0,0.0,0.0,0.010307402528212597,0.0,0.0,0.0015729061997242504
grandpa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
father,0.0,0.0,0.0,0.0,0.0,0.0,0.006227179078568258,0.0,0.0,0.0,0.006270469126859541,0.0,0.0,0.0009613575542636769
valet,0.0,0.0,0.0,0.0,0.0,0.0,0.0009462529196952407,0.0,0.0,0.0,0.0009736096663965337,0.0,0.0,0.00014768173739167497
genius,0.0,0.0,0.0,0.0,0.0,0.0,0.003229861975264759,0.0,0.0,0.0,0.0032640020562381355,0.0,0.0,0.0004995280024232996
dancer,0.0,0.0,0.0,0.0,0.0,0.0,0.009554451872302094,0.0,0.0,0.0,0.009662738722215316,0.0,0.0,0.001478245430347493
fisherman,0.0,0.0,0.0,0.0,0.0,0.0,0.00042487758117137024,0.0,0.0,0.0,0.00043289401314376306,0.0,0.0,6.598243033193333e-05
millionaire,0.0,0.0,0.0,0.0,0.0,0.0,0.0004960614680563022,0.0,0.0,0.0,0.00048741061756133873,0.0,0.0,7.565169889366469e-05
hitchhiker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
novice,0.0,0.0,0.0,0.0,0.0,0.0,0.013838646254762024,0.0,0.0,0.0,0.013982674611005516,0.0,0.0,0.0021401016050590412
settler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bondsman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kinsman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
christ,0.0,0.0,0.0,0.0,0.0,0.0,0.00015940654230059808,0.0,0.0,0.0,0.00016209716180404758,0.0,0.0,2.473105416189582e-05
nationalist,0.0,0.0,0.0,0.0,0.0,0.0,8.01023881012174e-05,0.0,0.0,0.0,8.124024994672322e-05,0.0,0.0,1.2410972157533895e-05
employer,0.0,0.0,0.0,0.0,0.0,0.0,0.0011561176342887204,0.0,0.0,0.0,0.001169323076653445,0.0,0.0,0.00017888005468785886
docent,0.0,0.0,0.0,0.0,0.0,0.0,0.00988848931446183,0.0,0.0,0.0,0.009898368782497363,0.0,0.0,0.0015220660074583997
sculptor,0.0,0.0,0.0,0.0,0.0,0.0,0.00794665574204777,0.0,0.0,0.0,0.008127681901760896,0.0,0.0,0.0012364875110622052
junior,0.0,0.0,0.0,0.0,0.0,0.0,0.0013781428928014879,0.0,0.0,0.0,0.0013907233409037466,0.0,0.0,0.00021298971028501805
choirmaster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grandfather,0.0,0.0,0.0,0.0,0.0,0.0,0.00034700114476245587,0.0,0.0,0.0,0.0003503038860731324,0.0,0.0,5.363884852581448e-05
diplomat,0.0,0.0,0.0,0.0,0.0,0.0,0.0011734752094015501,0.0,0.0,0.0,0.0011848799220430396,0.0,0.0,0.00018141193318804537
monk,0.0,0.0,0.0,0.0,0.0,0.0,0.0009063659032942915,0.0,0.0,0.0,0.0009174594463501562,0.0,0.0,0.00014029425766495752
sophomore,0.0,0.0,0.0,0.0,0.0,0.0,0.00225526794824382,0.0,0.0,0.0,0.0022881140406352243,0.0,0.0,0.00034949092222146493
actor,0.0,0.0,0.0,0.0,0.0,0.0,0.002521914996069278,0.0,0.0,0.0,0.0025433585021321977,0.0,0.0,0.000389636422938575
godson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
waiter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cook,0.0,0.0,0.0,0.0,0.0,0.0,0.0035025221850427278,0.0,0.0,0.0,0.0035427043085356474,0.0,0.0,0.0005419404995060289
