context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
poem,24,0.01,0.01,0.0,0.04
names,24,0.01,0.01,0.0,0.03
sold,24,0.01,0.01,0.0,0.04
heroine,24,0.03,0.02,0.0,0.25
year,23,0.09,0.06,0.03,0.39
married,23,0.06,0.05,0.01,0.24
relationship,23,0.02,0.02,0.01,0.07
up,23,0.03,0.02,0.01,0.07
to,23,0.05,0.02,0.03,0.1
screen,23,0.01,0.01,0.0,0.07
nancy,23,0.02,0.02,0.0,0.07
life,23,0.03,0.02,0.01,0.05
emily,23,0.02,0.02,0.0,0.05
has,23,0.02,0.01,0.01,0.04
maggie,23,0.01,0.01,0.0,0.07
sex,23,0.01,0.01,0.0,0.04
janet,23,0.02,0.01,0.0,0.04
anna,23,0.03,0.02,0.0,0.07
caroline,23,0.02,0.02,0.0,0.06
tries,23,0.01,0.01,0.01,0.03
sees,23,0.01,0.01,0.0,0.03
played,23,0.02,0.01,0.01,0.06
decides,23,0.01,0.01,0.01,0.06
kiss,23,0.01,0.01,0.0,0.05
arrives,23,0.01,0.01,0.01,0.02
back,23,0.02,0.01,0.01,0.15
from,23,0.02,0.01,0.02,0.05
meet,23,0.02,0.02,0.0,0.22
candy,23,0.01,0.01,0.0,0.03
show,23,0.02,0.02,0.01,0.11
helen,23,0.02,0.02,0.0,0.07
already,23,0.01,0.01,0.0,0.02
are,23,0.01,0.01,0.01,0.03
comes,23,0.01,0.01,0.0,0.02
sleeping,23,0.02,0.02,0.0,0.11
violet,23,0.01,0.01,0.0,0.04
playing,23,0.01,0.01,0.0,0.03
help,23,0.01,0.01,0.01,0.03
affair,23,0.02,0.01,0.0,0.05
daisy,23,0.01,0.01,0.0,0.06
their,23,0.02,0.01,0.01,0.05
good,23,0.01,0.01,0.01,0.03
come,23,0.01,0.01,0.0,0.12
happy,23,0.01,0.01,0.0,0.04
dance,23,0.01,0.01,0.0,0.03
another,23,0.02,0.01,0.01,0.06
16,23,0.01,0.01,0.0,0.04
hopes,23,0.0,0.0,0.0,0.01
starts,23,0.01,0.01,0.0,0.03
lost,23,0.01,0.01,0.0,0.04
clara,23,0.01,0.01,0.0,0.04
dreams,23,0.01,0.01,0.0,0.04
ghost,23,0.01,0.01,0.0,0.03
attend,23,0.01,0.0,0.0,0.02
happened,23,0.01,0.01,0.0,0.04
found,23,0.01,0.01,0.0,0.03
sings,23,0.01,0.01,0.0,0.02
believes,23,0.01,0.0,0.0,0.02
gone,23,0.01,0.01,0.0,0.04
works,23,0.01,0.0,0.0,0.02
late,23,0.01,0.01,0.01,0.03
sleep,23,0.01,0.0,0.0,0.02
liked,23,0.01,0.01,0.0,0.05
irene,23,0.01,0.01,0.0,0.05
guest,23,0.01,0.01,0.0,0.06
run,23,0.01,0.01,0.01,0.06
aged,23,0.02,0.01,0.0,0.09
isn,23,0.01,0.01,0.0,0.03
did,23,0.01,0.01,0.01,0.06
paris,23,0.01,0.0,0.0,0.02
foster,23,0.02,0.01,0.0,0.16
manga,23,0.01,0.01,0.0,0.13
very,23,0.01,0.01,0.0,0.04
portraying,23,0.01,0.01,0.0,0.04
roles,23,0.02,0.02,0.0,0.13
dark,23,0.01,0.01,0.0,0.05
behind,23,0.01,0.0,0.0,0.02
do,23,0.01,0.01,0.0,0.03
nothing,23,0.01,0.0,0.0,0.02
seem,23,0.01,0.01,0.0,0.04
several,23,0.01,0.0,0.0,0.03
olga,23,0.01,0.01,0.0,0.08
coming,23,0.01,0.0,0.0,0.02
keep,23,0.01,0.01,0.0,0.05
edith,23,0.02,0.02,0.0,0.06
blue,23,0.01,0.01,0.0,0.08
agnes,23,0.02,0.02,0.0,0.07
sets,23,0.01,0.01,0.0,0.05
refers,23,0.01,0.01,0.0,0.02
scandal,23,0.01,0.01,0.0,0.04
garden,23,0.01,0.01,0.0,0.04
wall,23,0.01,0.01,0.0,0.03
stepmother,23,0.01,0.01,0.0,0.09
quite,23,0.01,0.01,0.0,0.05
sixteen,23,0.01,0.01,0.0,0.02
hid,23,0.01,0.01,0.0,0.1
published,23,0.01,0.01,0.0,0.05
legend,23,0.01,0.01,0.0,0.04
third,23,0.01,0.01,0.01,0.03
including,23,0.01,0.0,0.01,0.02
stories,23,0.01,0.01,0.0,0.04
ugly,23,0.01,0.01,0.0,0.06
fiction,23,0.01,0.01,0.0,0.04
magic,23,0.02,0.01,0.0,0.11
goddess,23,0.04,0.03,0.0,0.37
represent,23,0.01,0.01,0.0,0.03
unmarried,23,0.02,0.01,0.0,0.07
on,22,0.03,0.01,0.02,0.09
jennifer,22,0.01,0.01,0.0,0.06
marry,22,0.03,0.02,0.01,0.07
laura,22,0.02,0.01,0.0,0.05
when,22,0.03,0.01,0.01,0.06
sophie,22,0.02,0.01,0.0,0.04
is,22,0.04,0.02,0.03,0.06
angela,22,0.02,0.02,0.0,0.09
claire,22,0.01,0.01,0.0,0.03
tara,22,0.01,0.01,0.0,0.03
carmen,22,0.01,0.01,0.0,0.04
maria,22,0.02,0.02,0.0,0.07
thinks,22,0.01,0.01,0.01,0.04
first,22,0.04,0.02,0.01,0.13
molly,22,0.01,0.01,0.0,0.03
ann,22,0.02,0.02,0.0,0.06
