,animal,tool,no-cat,measure,relation,object,weapon,communication,vehicle,food,all,cutlery,mean
plank,0.0,0.0,0.0,0.0,0.0,0.008939828008471797,0.0,0.0,0.0,0.0,0.008939828008471797,0.0,0.0014899713347452995
outrigger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soundbox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harp,0.0,0.0,0.0,0.0,0.0,0.0008647830949495652,0.0,0.0,0.0,0.0,0.0008647830949495652,0.0,0.00014413051582492752
guitar,0.0,0.0,0.0,0.0,0.0,0.00018256488305607192,0.0,0.0,0.0,0.0,0.00018256488305607192,0.0,3.042748050934532e-05
chock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soffit,0.0,0.0,0.0,0.0,0.0,0.02824155843533461,0.0,0.0,0.0,0.0,0.02824155843533461,0.0,0.004706926405889101
timber,0.0,0.0,0.0,0.0,0.0,0.07043582372698787,0.0,0.0,0.0,0.0,0.07043582372698787,0.0,0.011739303954497978
binnacle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strake,0.0,0.0,0.0,0.0,0.0,0.008228548700652203,0.0,0.0,0.0,0.0,0.008228548700652203,0.0,0.001371424783442034
clapboard,0.0,0.0,0.0,0.0,0.0,0.0021000526127747552,0.0,0.0,0.0,0.0,0.0021000526127747552,0.0,0.00035000876879579256
button,0.0,0.0,0.0,0.0,0.0,0.0008082448587117571,0.0,0.0,0.0,0.0,0.0008082448587117571,0.0,0.00013470747645195953
rafter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plywood,0.0,0.0,0.0,0.0,0.0,0.030458683491209514,0.0,0.0,0.0,0.0,0.030458683491209514,0.0,0.005076447248534919
peg,0.0,0.0,0.0,0.0,0.0,0.014899760215060048,0.0,0.013628696125891678,0.0,0.0,0.014899760215060048,0.0,0.0036190180463343143
tray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kickstand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floorboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trestle,0.0,0.0,0.0,0.0,0.0,0.011135431877923298,0.0,0.0,0.0,0.0,0.011135431877923298,0.0,0.0018559053129872164
