,no-cat,hot,all,communication,relation,object,food,plant,measure,mean
pastry,0.0,0.0,0.032697657566468794,0.0,0.0,0.0,0.03755975128400268,0.0,0.0,0.007806378761163496
syrup,0.0,0.0,0.0007422498244131406,0.0,0.0,0.0,0.0009671259069910084,0.0,0.0,0.00018993063682268323
pie,0.0,0.0,0.007020288844802213,0.0,0.0,0.0,0.007870238981524728,0.0,0.0,0.0016545030918141046
casserole,0.0,0.0,0.021292068053857156,0.0,0.0,0.017847029657019675,0.02433149160713026,0.0,0.0,0.007052287702000787
soup,0.0,0.0,0.013534739090762499,0.0,0.0169134382130716,0.0,0.01574526857915511,0.0,0.0,0.005132605098109912
toast,0.0,0.0,0.005355769486065072,0.0,0.0,0.004674150070107526,0.005587394811794638,0.0,0.005034126068349743,0.0022946044929241086
tray,0.0,0.0,0.004277107164546164,0.0,0.0,0.003927598919672261,0.0,0.0,0.0,0.0009116340093576027
cookware,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cupcake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pasta,0.0,0.0,0.011418516346852179,0.0,0.0,0.0,0.014418586605767135,0.0,0.0,0.0028707892169577017
oven,0.0,0.0,0.028088154519731623,0.0,0.0,0.026509019537043703,0.0,0.0,0.0,0.0060663526729750365
tea,0.0,0.0,0.0007928358574689262,0.0,0.0009983553189928341,0.0007160526482260272,0.0008690149642910267,0.0007447425781952426,0.0,0.0004578890407971174
chocolate,0.0,0.0,0.003014472644790876,0.0,0.003979183049794416,0.0,0.0036162969253057497,0.0,0.0,0.001178883624432338
vapor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pancake,0.0,0.0,0.017397207739393752,0.0,0.0,0.0,0.020171987998224068,0.0,0.0,0.004174355081957536
snack,0.0,0.0,0.004088265473225987,0.0,0.0,0.0,0.004651248760723027,0.0,0.0,0.0009710571371054459
heat,0.0,0.0,0.006763253064676415,0.0,0.0,0.0064603504085457945,0.0,0.0,0.007262986323575758,0.0022762877551997743
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pot,0.0,0.0,0.013327938627710801,0.0,0.01589204065660545,0.012297465585302057,0.0,0.0,0.013123516078709232,0.006071217883147505
seasoning,0.0,0.0,0.006763613036073742,0.0,0.0,0.0,0.008153318592919397,0.0,0.0,0.0016574368476659045
kettle,0.0,0.0,0.005634726111257238,0.0,0.0,0.00546699033116167,0.0,0.0,0.005761392139520363,0.0018736787313265854
jungle,0.0,0.0,0.0018461150031127674,0.0,0.0,0.0016311518003884022,0.0,0.0,0.0,0.00038636297816679665
tandoor,0.0,0.0,0.016646251976316678,0.0,0.0,0.01589486422510258,0.0,0.0,0.0,0.003615679577935473
flatbread,0.0,0.0,0.03491506092823877,0.0,0.0,0.0,0.02727695170966137,0.0,0.0,0.006910223626433349
firebox,0.0,0.0,0.0015477814760515888,0.0,0.0,0.001597606982657991,0.0,0.0,0.0,0.0003494876065232866
percolator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
outfit,0.0,0.0,0.00604465780855702,0.0,0.0,0.005427831055964123,0.0,0.0,0.0,0.0012747209849467936
water,0.0,0.0,0.001382426597126025,0.0,0.001711278542982208,0.0012936035436145184,0.0014336571258962282,0.0,0.0,0.0006467739788465533
stove,0.0,0.0,0.10274657607139763,0.0,0.0,0.09670577285093453,0.0,0.0,0.0,0.022161372102481352
ingredient,0.0,0.0,0.014771883730714615,0.0,0.0,0.013169838926803373,0.016205179348825753,0.0,0.0,0.004905211334038193
geyser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roast,0.0,0.0,0.0060145657476502155,0.0,0.0,0.0,0.007295589152402693,0.0,0.0,0.0014789061000058787
tub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shower,0.0,0.0,0.001570426807722567,0.0,0.0,0.0014697908970167717,0.0,0.0,0.0,0.0003378019671932598
dough,0.0,0.0,0.008296784201160907,0.0,0.0,0.0,0.010103963670056981,0.0,0.007965107678566402,0.0029295395055315876
hearth,0.0,0.0,0.010946327680972952,0.0,0.0,0.009587505115673717,0.0,0.0,0.0,0.0022815369774051852
marinade,0.0,0.0,0.04110689097151809,0.0,0.0,0.0,0.050489804357545826,0.0,0.0,0.010177410592118213
summertime,0.0,0.0,0.008432893716267278,0.0,0.0,0.0,0.0,0.0,0.008467405457606415,0.0018778110193192993
dessert,0.0,0.0,0.014018056297957505,0.0,0.0,0.0,0.01767787558513874,0.0,0.0,0.003521770209232916
cooker,0.0,0.0,0.045425907184294866,0.0,0.0,0.038300675342732286,0.0,0.0,0.0,0.009302953614114129
pudding,0.0,0.0,0.007911327759812256,0.0,0.0,0.0,0.007888296460407142,0.0,0.0,0.0017555138022465997
