,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
doughnut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nectarine,0.0189857743245385,0.0,0.0,0.019189975459253744,0.023759905093266413,0.0,0.02018157351987021,0.0,0.0,0.0,0.020807765580060415,0.0,0.0,0.0,0.007351785284070663
lobster,0.03747650276677581,0.0,0.0,0.0,0.0,0.0,0.03804456934827821,0.0,0.0,0.0,0.03888093505037079,0.0,0.0,0.056167387566865144,0.012183528195163568
ginger,0.14145822311332945,0.0,0.0,0.13925274372826865,0.0,0.0,0.1450033357956886,0.0,0.0,0.0,0.14811268319281606,0.0,0.0,0.0,0.04098764184500735
steak,0.0034586997568213794,0.0,0.0,0.0,0.0,0.0,0.0034823092827832333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000495786359971758
mango,0.03169804692380964,0.0,0.0,0.032733500419486895,0.037274080895871614,0.0,0.03325903965318731,0.0,0.0,0.0,0.034223459201878886,0.0,0.0,0.0,0.012084866221016738
cantaloupe,0.00982802402852676,0.0,0.0,0.01011221891331431,0.012690291671340432,0.0,0.010585661146793048,0.0,0.0,0.0,0.010848804758208755,0.0,0.0,0.0,0.0038617857512988074
anjou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.027456505010522086,0.0,0.0,0.027270505165030184,0.033263615757894806,0.0,0.02851432562313127,0.0,0.0,0.0,0.029435572391529406,0.0,0.0,0.0,0.010424323139150555
chicken,0.014341138179860883,0.0,0.0,0.0,0.0,0.01566689859756651,0.014377988985845379,0.0,0.0,0.0,0.014752643150210786,0.0,0.0,0.019372387363901684,0.005607932591241803
pineapple,0.08356889036067057,0.0,0.0,0.08334696565995586,0.09123345550901221,0.0,0.08542465303944184,0.0,0.0,0.0,0.08664743201479656,0.0,0.0,0.0,0.030730099755991218
beet,0.0017198555216591295,0.0,0.0,0.0018122558660977049,0.0,0.0,0.0018602340487571054,0.0,0.0,0.0,0.001887670817973211,0.0016411783559669118,0.0,0.0,0.0006372281864610045
coconut,0.029033214983504335,0.0,0.0,0.02978087227169436,0.03554987102702855,0.0,0.030678788099805454,0.0,0.0,0.0,0.03180526487920824,0.0,0.0,0.0,0.011203429375802923
dessert,0.03299393823509082,0.0,0.0,0.0,0.0,0.0,0.0334087682613427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004743050464030966
