,food,fish,communication,plant,fruit,no-cat,all,mammal,relation,juicy,object,vegetable,measure,animal,mean
dessert,0.036554819508329804,0.0,0.0,0.0,0.0,0.0,0.036875422709849164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005245017301298498
marang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maraschino,0.04620120383196315,0.0,0.0,0.0,0.0,0.0,0.045539719664775054,0.0,0.06195095272831977,0.0,0.0,0.0,0.0,0.0,0.010977991158932712
clementine,0.006097672635781288,0.0,0.0,0.004989439020444086,0.008047796163898892,0.0,0.006825269160482306,0.0,0.0,0.0,0.0064777790030137285,0.0,0.0,0.0,0.0023169968559728785
asparagus,0.004394394268462838,0.0,0.0,0.003985479755233907,0.0,0.0,0.004420972566891452,0.0,0.0,0.0,0.004480239946614113,0.004169258717718006,0.0,0.0,0.001532167518208594
meat,0.0016221583337008047,0.0,0.0,0.0,0.0,0.0,0.001660414629422998,0.0,0.0,0.0,0.0016524098283226317,0.0,0.0,0.0,0.0003524987708176025
grape,0.00879379041406104,0.0,0.0,0.008018177901322624,0.010364866834030609,0.009346374874917986,0.009151777928003937,0.0,0.0,0.0,0.009061091678164813,0.0,0.0,0.0,0.003909719973607215
tomato,0.004896284485394623,0.0,0.0,0.004727134346719437,0.0,0.0,0.004993318444259261,0.0,0.0,0.0,0.005024240987953012,0.004762364081557198,0.0,0.0,0.0017430958818488236
vegetable,0.0016457104365330676,0.0,0.0,0.001487550292840665,0.0,0.0,0.0017071396938461887,0.0,0.0,0.0,0.0017219526551729048,0.0014391070418460607,0.0,0.0,0.000571532865731349
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mulberry,0.006756982094517746,0.0,0.0,0.005186846182981888,0.008096512467157797,0.0,0.00730819001539139,0.0,0.0,0.0,0.007312381623879013,0.0,0.0,0.0,0.0024757794559948447
tangerine,0.020683696357195396,0.0,0.0,0.018557716316734384,0.024299695722700482,0.0,0.022951699647603036,0.0,0.0,0.0,0.0215144111716226,0.0,0.0,0.0,0.007714801372561135
onion,0.007329898855978382,0.0,0.0,0.0069319256280829114,0.0,0.0,0.007227349328163119,0.0,0.0,0.0,0.007204997006855044,0.0071625588345110135,0.0,0.0,0.002561194975256462
papaya,0.3992259668061696,0.0,0.0,0.39112887197158847,0.4606644811800043,0.0,0.41841927924255634,0.0,0.0,0.0,0.4215211083435483,0.0,0.0,0.0,0.1493542648245619
