,measure,relation,object,communication,cold,all,mean
tile,0.0,0.0,0.0006872957383637077,0.0,0.0,0.0006897072592668538,0.0002295004996050936
heating,0.0,0.0,0.0014543313437311257,0.0,0.0,0.0014500761103192204,0.00048406790900839105
problem,0.0,0.0,0.0,0.0007828129657655928,0.0,0.0006527516447553014,0.00023926076842014903
idea,0.0,0.0,0.0,0.003148928797483423,0.0,0.0032256886952566734,0.001062436248790016
vinyl,0.0,0.0,0.0,0.0,0.0013814420567707334,0.0011815921525396695,0.00042717236821840045
people,0.0,0.0,0.0,0.0,0.0011258270355323288,0.0009689632359158425,0.00034913171190802854
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky,0.0,0.0,0.0,0.0,0.0005214167042165425,0.00041917967530812576,0.0001567660632541114
slime,0.0,0.0,0.0,0.0,0.0026688199336827386,0.0024003684799165843,0.0008448647355998872
snowfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0
river,0.0,0.0,0.0,0.0,0.0018088183123209898,0.0014365911654765514,0.0005409015796329236
flame,0.0,0.0,0.0,0.0,0.004533156389822616,0.0036377152818800975,0.0013618119452837856
tummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightning,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hatred,0.0,0.0,0.0,0.0,0.0016618470226121638,0.0013393751260172516,0.0005002036914382359
pie,0.0,0.0,0.0,0.0,0.0,0.0012418448991085797,0.00020697414985142994
sundae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.0,0.0,0.0,0.0,0.0,0.00566337189263829,0.000943895315439715
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
