,animal,fruit,plant,blue,vegetable,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
pyramid,0.0,0.0,0.0,0.0,0.0,0.0,0.0008099758279770335,0.0,0.0,0.0,0.0,0.0,0.0,0.0008989097485378717,0.0,0.00011392570510099367
heart,0.0,0.0,0.0,0.0,0.0,0.0,0.0003568915819678187,0.0,0.00040867873297193395,0.0,0.0,0.0,0.0004934832116362011,0.00041256614480111685,0.0,0.00011144131142513804
tar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wine,0.0,0.0,0.0,0.0,0.0,0.0,0.0004140703699806428,0.0,0.0,0.0,0.0,0.0,0.000714442270850993,0.0004673296540289919,0.0,0.00010638948632404186
cider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,0.0,0.0,0.0,0.0,0.0,0.0,0.0008488438268626197,0.0,0.0,0.0,0.0,0.0,0.0013006666799486742,0.0008941906878582984,0.0,0.00020291341297797282
emerald,0.0,0.0,0.0,0.0,0.0,0.0,0.009436679289032425,0.0,0.01178157881570581,0.0,0.0,0.0,0.0,0.012059363672267613,0.0,0.0022185081184670566
bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008849562407097344,0.0,0.0007718527142555301,0.0009373643097322866,0.0,0.0008803986175253687,0.0,0.000231638125481528
boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006791583887690108,0.0,0.0,0.0,0.0,0.0006690980253533593,0.0,8.988376094149133e-05
clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01011965692010827,0.0,0.0,0.0,0.0,0.010009649008574066,0.0,0.0013419537285788224
gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007430655970148227,0.0,0.0,0.0,0.0,0.007268666632090705,0.0,0.0009799548401492621
moss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011475280455824298,0.0,0.0,0.0,0.0,0.0011270487856186663,0.0,0.00015163845541340642
dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016329475158002763,0.0,0.0,0.0,0.0,0.01611561172395147,0.0,0.002163005792130282
balloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007010066955242374,0.0,0.0,0.0007097295839168917,0.0,0.0006947419872613983,0.0,0.00014036521778016848
ring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003801663653232635,0.0,0.0,0.0,0.0,0.00037541092323769773,0.0,5.037181923739742e-05
bra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022401706802819238,0.0,0.0,0.0,0.0,0.0021720062596731603,0.0,0.00029414512933033897
football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027979319241726763,0.0,0.0,0.0,0.0,0.0027741716451250608,0.0,0.00037147357128651585
car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009934729193688103,0.0,0.0,0.0009299260968820955,0.0,0.000977040346212398,0.0,0.00019336262416422024
wand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007579983957157817,0.0,0.0,0.0,0.0,0.007380412935741845,0.0,0.0009973597928599775
cloak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031878510965127854,0.0,0.0,0.0,0.0,0.0031157410488189107,0.0,0.00042023947635544645
lantern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006934565964860541,0.0,0.0,0.0,0.0,0.0006820518925646245,0.0,9.17005659367119e-05
umbrella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019406035915297474,0.0,0.0,0.0,0.0,0.0019378157613700838,0.0,0.00025856129019332204
taxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002261691185821698,0.0,0.0,0.0024453942829722485,0.0,0.0022431291673354775,0.0,0.0004633476424086282
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055966025954410645,0.0,0.0,0.0,0.0,0.005601644204516863,0.0,0.0007465497866638619
piano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019247019764515245,0.0,0.0,0.0,0.0,0.00019475766373371655,0.0,2.5815190758591268e-05
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005440058567294912,0.0,0.0,0.0,0.0,0.0005417173621533265,0.0,7.238154792552118e-05
egg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010507840583837392,0.0,0.0,0.0,0.0015319572148100801,0.0010412444415722423,0.0,0.0002415990476510708
pit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003252565940565179,0.0,0.0,0.0,0.0,0.00032460297844667964,0.0,4.332397150021317e-05
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cannon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00046362570665741103,0.0,0.0,0.0,0.0,0.0004631031770398377,0.0,6.178192557981659e-05
tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009496016301500819,0.0,0.0,0.0,0.0014879164731223446,0.0009453927107197966,0.0,0.00022552738759948156
tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015912374689826293,0.0,0.0017709684540040157,0.0,0.0019562557948741752,0.001593451689000558,0.0,0.0004607942271240919
clarinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002810804454975993,0.0,0.0,0.0002104940432443065,0.0,3.277163258279372e-05
ketchup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032034229032004346,0.0018688457904260023,0.0,0.00033815124624176246
jam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003050824724722106,0.00020374456340205638,0.0,3.39218023916178e-05
salad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004808969076845979,0.003044628545844885,0.0,0.0005235731748460576
