,animal,relation,vehicle,bird,object,reptile,food,fish,mammal,all,plant,measure,communication,no-cat,mean,median
rockfish,0.014766529166961116,0.0,0.0,0.0,0.014766529166961116,0.0,0.0,0.015172576162739272,0.0,0.014766529166961116,0.0,0.0,0.0,0.0,0.0042480116902587585,0.0
gander,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boar,0.002920648732605004,0.0,0.0,0.0,0.002920648732605004,0.0,0.0,0.0,0.0,0.0029206105443921595,0.0,0.0,0.0,0.0,0.0006258505721144406,0.0
largemouth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plaice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wren,0.0037417715822270804,0.0,0.0,0.004790824038742704,0.0037417715822270804,0.0,0.0,0.0,0.0,0.0037417715822270804,0.0,0.0,0.0,0.0,0.0011440099132445677,0.0
creeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fox,0.0002332314773306209,0.0002197839287410494,0.0,0.0,0.0002332314773306209,0.0,0.0,0.0,0.0002490301852643951,0.0002332314773306209,0.0,0.0,0.0,0.0,8.346489614266481e-05,0.0
partridge,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
livestock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
llama,0.006736214857281625,0.0,0.0,0.0,0.006736214857281625,0.0,0.0,0.0,0.00636851023179035,0.006736214857281625,0.0,0.0,0.0,0.0,0.001898368200259659,0.0
sweeper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whiff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canary,0.0003172835240595853,0.0,0.0,0.0005030801607783084,0.0003172835240595853,0.0,0.0,0.0,0.0,0.0003172835240595853,0.0,0.0,0.0,0.0,0.00010392362378264743,0.0
sparrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chamois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
