context,evidence_type,categories
defensive, ,relation
amid, ,communication relation
carried, ,communication weapon no-cat relation
1964, ,relation
unidentified, ,communication relation
trading, ,relation
questioned, ,relation
administration, ,relation
feared, ,relation
carry, ,relation
investigation, ,relation
ties, ,relation
ii, ,relation
closely, ,relation
republic, ,relation
navy, ,relation
hawaii, ,relation
dropping, ,relation
fears, ,communication relation
landed, ,relation
iran, ,relation
possibly, ,relation
internal, ,relation
actions, ,relation
approaching, ,relation
blast, ,relation
intent, ,relation
blasted, ,relation
response, ,relation
korea, ,relation
abandon, ,relation
directly, ,relation
opponents, ,relation
sharing, ,relation
blew, ,relation
propelled, ,relation
hammered, ,relation
process, ,relation
ruling, ,relation
greece, ,relation
defended, ,relation
160, ,relation
existing, ,relation
delivering, ,relation
absolutely, ,relation
ship, ,communication relation
tragedy, ,relation
naval, ,relation
legacy, ,relation
aimed, ,no-cat relation
destroyed, ,communication relation
soviet, ,relation
treaty, ,relation
dismantled, ,relation
assessment, ,relation
missile, ,relation
launching, ,communication relation
terrorists, ,relation
counted, ,relation
strikes, ,no-cat relation
accord, ,relation
carries, ,communication weapon no-cat relation
prime, ,relation
iraqi, ,relation
anticipated, ,relation
communist, ,relation
coalition, ,relation
pursued, ,relation
loaded, ,weapon relation
systems, ,relation
threaten, ,relation
conventional, ,communication relation
storage, ,relation
terrorist, ,relation
plane, ,relation
iranian, ,relation
devastating, ,relation
lethal, ,communication no-cat all
wave, ,communication
destroying, ,communication
worst, ,communication
novel, ,communication
destroy, ,communication
were, ,communication
deadly, ,communication weapon no-cat
grave, ,communication
cause, ,communication no-cat
sparked, ,communication
belonging, ,communication
rounded, ,communication
egypt, ,communication
region, ,communication
accidentally, ,communication
causing, ,communication no-cat
swept, ,communication
uncovered, ,communication no-cat
bound, ,communication
device, ,communication
turns, ,communication
knowledge, ,communication
british, ,communication
possible, ,communication
wider, ,communication
suspicion, ,communication
ongoing, ,communication
potential, ,communication no-cat
raids, ,communication
suggesting, ,communication no-cat
aircraft, ,communication
describe, ,communication
radical, ,communication
found, ,communication
lies, ,communication
mysterious, ,communication
engaged, ,communication
followers, ,communication
hero, ,communication
spread, ,communication no-cat
indicating, ,communication
destruction, ,communication
attributed, ,communication
regime, ,communication
hunt, ,communication
resembles, ,communication
deliberately, ,communication
southern, ,communication
posed, ,communication
theory, ,communication no-cat
leads, ,communication no-cat
twin, ,communication
eastern, ,communication no-cat
remained, ,communication
quoted, ,communication
turkish, ,communication
turkey, ,communication
damaging, ,communication
orange, ,communication
burn, ,communication
apart, ,communication
scale, ,communication no-cat
belgium, ,communication
aboard, ,communication
supply, ,communication no-cat
surface, ,communication
resulting, ,communication
suffered, ,communication
nose, ,communication
death, ,weapon
stone, ,weapon
equipment, ,weapon
large, ,weapon
shotgun, ,weapon
discovered, ,weapon no-cat
instantly, ,weapon
maybe, ,animal
more, ,animal no-cat
whip, ,animal
grabbed, ,animal
ill, ,animal
born, ,animal
he, ,criminal animal
contained, ,no-cat
produces, ,no-cat
amounts, ,no-cat
containing, ,no-cat
seen, ,no-cat
amount, ,no-cat
effects, ,no-cat
acts, ,no-cat
affects, ,no-cat
effective, ,no-cat
exposed, ,no-cat
evidence, ,no-cat
kill, ,no-cat
potent, ,no-cat
causes, ,no-cat
nervous, ,no-cat
especially, ,no-cat
producing, ,no-cat
nerve, ,no-cat
tide, ,no-cat
threatens, ,no-cat
reduce, ,no-cat
rare, ,no-cat
creates, ,no-cat
linked, ,no-cat
considered, ,no-cat
majority, ,no-cat
particularly, ,no-cat
origin, ,no-cat
how, ,no-cat
might, ,no-cat
kills, ,no-cat
cure, ,no-cat
chemical, ,no-cat
of, ,no-cat
rid, ,no-cat
produce, ,no-cat
contain, ,no-cat
victim, ,no-cat
form, ,no-cat
given, ,no-cat
drug, ,no-cat
drugs, ,no-cat
tests, ,no-cat
identified, ,no-cat
adding, ,no-cat
treat, ,no-cat
times, ,no-cat
united, ,no-cat
compound, ,no-cat
major, ,no-cat
common, ,no-cat
toll, ,no-cat
world, ,no-cat
promise, ,no-cat
develop, ,no-cat
treating, ,no-cat
probably, ,no-cat
explaining, ,no-cat
somehow, ,no-cat
combat, ,no-cat
spike, ,no-cat
millions, ,no-cat
gives, ,no-cat
battling, ,no-cat
brought, ,no-cat
battle, ,no-cat
maintains, ,no-cat
supplying, ,no-cat
eliminating, ,no-cat
noting, ,no-cat
extreme, ,no-cat
summit, ,no-cat
fallen, ,no-cat
figure, ,no-cat
delivered, ,no-cat
widespread, ,no-cat
sharp, ,no-cat
declared, ,no-cat
concern, ,no-cat
remote, ,no-cat
combination, ,no-cat
capable, ,no-cat
brings, ,no-cat
deliver, ,no-cat
exists, ,no-cat
former, ,criminal
himself, ,criminal
white, ,criminal
gun, ,criminal
being, ,criminal
ordered, ,criminal
john, ,criminal
story, ,criminal
killer, ,criminal
charges, ,criminal
based, ,criminal
