,animal,reptile,tool,criminal,medication,mammal,no-cat,measure,relation,fish,object,weapon,communication,vehicle,food,dangerous,all,cutlery,mean
colchicine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurotoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.007031568239147646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00854738156426284,0.0,0.0008654972113005825
saxitoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison,0.0,0.0,0.0,0.0,0.0,0.0,0.026574658415552385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023593198413492764,0.0,0.002787103157169175
venom,0.0,0.0,0.0,0.0,0.0,0.0,0.00490841394605927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004679674719562157,0.0,0.0005326715925345238
bar,0.0,0.0,0.0,0.0,0.0,0.0,0.0025616568084321552,0.0027802715967852557,0.0,0.0,0.002533275330535974,0.0,0.0027575610997363363,0.0,0.0,0.0,0.0025766879924685347,0.0,0.0007338584904421253
nursing,0.0,0.0,0.0,0.0,0.0,0.0,0.0005537371263439452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048568163849824425,0.0,5.774548693567719e-05
prelacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cardinalate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005118535900789824,0.0,0.0,0.0035077168502407104,0.0,0.0,0.0,0.0,0.0,0.003573611778866008,0.0,0.000677770251660919
rod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033296898210839645,0.0,0.0,0.002094609314775453,0.0022291434075414475,0.0,0.0,0.0,0.0,0.0021217954496668035,0.0,0.0005430687773926483
club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000861451638709574,0.0,0.0008969531605539002,0.0,0.0,0.0,0.0,0.0,0.0009299428424942525,0.0,0.00014935264676431816
warhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002475878721237092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002375540561440356,0.0,0.00026952329348208046
fire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03547015294887951,0.0,0.034506974189997305,0.0,0.038281536948661245,0.0,0.0,0.0,0.03655742641126109,0.0,0.008045338361044397
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bayonet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02083417129397677,0.02439445929795053,0.0,0.0,0.0,0.0,0.021865123502866343,0.0,0.003727430783044091
sniper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07493511864931991,0.0,0.0,0.0,0.0,0.0,0.0777428945210534,0.0,0.008482111842798519
revolver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012807458586033327,0.015301206238543755,0.0,0.0,0.0,0.0,0.013627937527247837,0.0,0.00231870013065694
plot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00817204414638772,0.0,0.009253100876228115,0.0,0.0,0.0,0.008640775984076154,0.0,0.0014481067225939994
fusil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handgun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004013736693102485,0.005211516684757137,0.0,0.0,0.0,0.0,0.00433457096133656,0.0,0.0007533235743997879
harpoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002208799383082054,0.0,0.0,0.0,0.0,0.0,0.00232620152849617,0.0,0.00025194449508767906
buckshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021088162229796772,0.019161075031489734,0.0,0.0,0.0,0.0,0.021801524019153615,0.0,0.003447264515580007
shotgun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034635142866526844,0.04089924227491341,0.0,0.0,0.0,0.0,0.03638465354489605,0.0,0.0062177243714631285
sword,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021031819313546276,0.023460805403811333,0.0,0.0,0.0,0.0,0.02253073934790274,0.0,0.0037235202258477976
weapon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01273326034276621,0.01377878317434112,0.0,0.0,0.0,0.0,0.013842300612556289,0.0,0.002241908007203534
grapeshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0845654744708762,0.09520090030947101,0.0,0.0,0.0,0.0,0.09119185662069544,0.0,0.015053235077835701
nightstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shaft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003642117573859506,0.004161392252250852,0.0037284199183673316,0.0,0.0,0.0,0.003734871886007229,0.0,0.000848155646138051
grenade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012392145385776585,0.0,0.0,0.0,0.0,0.0,0.012965905004925176,0.0,0.001408780577261209
pistol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01274630147991225,0.014968177796234229,0.0,0.0,0.0,0.0,0.013192987359864622,0.0,0.0022726370353339503
virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006439624694220373,0.0,0.008208434600401352,0.0,0.0,0.0,0.007499278600319974,0.0,0.0012304076608300944
firearm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008539711502528816,0.00997526194507728,0.0,0.0,0.0,0.0,0.009064104575770348,0.0,0.0015321710012986913
scimitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
