,animal,mammal,no-cat,measure,relation,fish,object,bird,communication,vehicle,food,all,female,mean
grosbeak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.0012336446062297833,0.0,0.0,0.0,0.0,0.0,0.0011722074388162537,0.0,0.0,0.0,0.0,0.0011669916443760604,0.0,0.00027483412995554595
hen,0.0013023873183364994,0.0,0.0,0.0,0.0,0.0,0.0011841567684639804,0.0016058211176296548,0.0,0.0,0.001798666077191353,0.0011779073460293824,0.0,0.0005437645098192977
fowl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0009903159611969626,0.0,0.0,0.0,0.0,0.0,0.000893577917596922,0.001210331794527322,0.0,0.0,0.0,0.0008894004961017443,0.0,0.0003064327822633039
skylark,0.0031013567693771006,0.0,0.0,0.0,0.0,0.0,0.0036349216098774196,0.0038231413908729017,0.0,0.0,0.0,0.003611128598922639,0.0,0.00109004218223462
owl,0.0007265491266091129,0.0,0.0,0.0,0.0,0.0,0.0005998818459738767,0.0009058241083152388,0.0,0.0,0.0,0.0005960416641202557,0.0,0.00021756128807834494
moth,8.217335008693743e-05,0.0,0.0,0.0,0.0,0.0,6.632855588980453e-05,0.0,0.0,0.0,0.0,6.597694524166344e-05,0.0,1.6498373170646572e-05
crake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoveler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheldrake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gull,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gadfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peregrine,0.0014946653849664915,0.0,0.0,0.0,0.0,0.0,0.0013085629689065245,0.0015243211356930663,0.0,0.0,0.0,0.0012980109546053597,0.0,0.0004327354187824186
duck,0.002268343650043343,0.0,0.0,0.0034289965509090568,0.0,0.0,0.0021943552418201666,0.002699047154432919,0.0,0.0,0.002968796543111476,0.002183672871223786,0.0,0.0012110163085800574
warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vireo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.001071378002407574,0.0,0.0,0.0,0.0,0.0,0.0010493689652938578,0.0011586261070369464,0.0,0.0,0.0,0.0010416879819916533,0.0,0.00033238931205615624
spoonbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weaver,0.0023996854211191412,0.0,0.0,0.0,0.0,0.0,0.0021332365095286087,0.0026868170870121217,0.0,0.0,0.0,0.002121264000955385,0.0,0.0007185386937396352
quail,0.0016498652998533632,0.0,0.0,0.0,0.0,0.0,0.0015129184692819083,0.0020766248186495665,0.0,0.0,0.002095654319853346,0.0015128188172401217,0.0,0.0006806062865291004
mealybug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
petrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
currawong,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dragonfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roach,0.0021390076598944794,0.0,0.0,0.0,0.0,0.004106486447439907,0.0021551349685021057,0.0,0.0,0.0,0.0,0.002155797949092716,0.0,0.0008120328480714776
wasp,0.0008382185219730032,0.0,0.0,0.0,0.0,0.0,0.0007330821058308377,0.0,0.0,0.0,0.0,0.0007301484841882898,0.0,0.00017703454707631775
damselfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guinea,0.0004976271931181904,0.0,0.0,0.0009283055211221221,0.0,0.0,0.00040550534788501877,0.00047983681668023573,0.0,0.0,0.0,0.00040284995512582125,0.0,0.00020877883337933753
whitethroat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hobby,0.003948575706986567,0.0,0.0,0.0,0.0,0.0,0.003979324802097071,0.004092097366712688,0.0,0.0,0.0,0.00397936923284755,0.0,0.0012307205468187596
thrasher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amphibian,0.0016746877414139478,0.0,0.0,0.0,0.0,0.0,0.0016091797240382986,0.0,0.0,0.0012613596070885167,0.0,0.001609163664563919,0.0,0.0004734146720849755
kite,0.0012736936185728095,0.0,0.0,0.0,0.0,0.0,0.0012636254230596533,0.0013843475831099678,0.0013085009962631544,0.0,0.0,0.001263545805126176,0.0,0.0004995164173947508
merle,0.0016125437546384467,0.0,0.0,0.0,0.0,0.0,0.0015454194230610503,0.0018364608590105617,0.0,0.0,0.0,0.001545408255078103,0.0,0.0005030640224452433
scooter,0.0037702505824555067,0.0,0.0,0.0,0.0,0.0,0.003713811032706866,0.0038647532900708452,0.0,0.003686513464403044,0.0,0.003718357627546995,0.0,0.0014425912305525582
emperor,0.00011575776475576083,0.0,0.00014497154265834554,0.0,0.0,0.0,0.0001134624608648713,0.0,0.0,0.0,0.0001209580498421298,0.00011346208818637841,0.0,4.6816300485191214e-05
cat,0.004823638855026661,0.005321667720991911,0.004991213765832671,0.0,0.0,0.0,0.004788500805446877,0.0,0.0,0.0041882246148691364,0.0,0.004788496450153493,0.005534195479818184,0.002648918284010687
worker,0.005752963262568031,0.0,0.0,0.0,0.0,0.0,0.005739750316859082,0.0,0.0,0.0,0.0,0.005739951628641548,0.0,0.001325589631389897
silverfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
copper,0.0031505564070070354,0.0,0.0,0.003956549728312444,0.0033006133575312962,0.0,0.003158325495813874,0.0,0.0,0.0,0.0,0.003157359516877434,0.0,0.001286415731195545
crab,0.0012845931059320072,0.0,0.0,0.0,0.0,0.0,0.001244653905401976,0.0,0.0,0.0,0.0013487045741856888,0.0012446556153491999,0.0,0.00039404670775914394
flea,0.001387193539431995,0.0,0.0,0.0,0.0,0.0,0.0013665824774365227,0.0,0.0,0.0,0.0,0.001366640856855364,0.0,0.00031695514413260624
racer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admiral,0.00762781971351685,0.0,0.0,0.0,0.0,0.0,0.007727555837685258,0.0,0.0,0.0,0.0,0.007727664584706991,0.0,0.0017756184719930077
diver,0.003955577890069235,0.0,0.0,0.0,0.0,0.0,0.003987117610393969,0.004149805166533246,0.0,0.0,0.0,0.003987097951749443,0.0,0.0012368922014419918
ant,0.00044665065552742703,0.0,0.0,0.0,0.0,0.0,0.0004349802372417894,0.0,0.0,0.0,0.0,0.0004349802924138009,0.0,0.00010127778347561673
viceroy,0.0007186473758664964,0.0,0.0,0.0,0.0,0.0,0.0007347981331209271,0.0,0.0,0.0,0.0,0.0007347981331209271,0.0,0.00016832643400833467
queen,0.0030053909251815387,0.0033976576485706886,0.0,0.0,0.0022727275422908004,0.0,0.0029608721334341867,0.0,0.0,0.0,0.0,0.002960581468331318,0.0,0.0011228638244468103
marabout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pen,0.00256404294843972,0.0,0.0,0.0,0.0,0.0,0.0026165055692990457,0.0028210751704704218,0.0,0.0,0.0,0.0026162935818188817,0.0,0.0008167628669252361
platypus,0.00669634252979689,0.007866429132196847,0.0,0.0,0.0,0.0,0.007044842970133296,0.0,0.0,0.0,0.0,0.0070460371399687265,0.0,0.0022041270593919815
monarch,0.0012577939682343017,0.0,0.0,0.0,0.0,0.0,0.0012266799306463725,0.0,0.0,0.0,0.0,0.0012269159920938672,0.0,0.00028549153007496474
soldier,0.012250861488692085,0.0,0.0,0.0,0.0,0.0,0.012218701300369476,0.0,0.0,0.0,0.0,0.012220307425575944,0.0,0.0028222977088182694
plane,0.0,0.0,0.0054121780446115654,0.0,0.0,0.0,0.003865176028054303,0.0,0.0,0.003931185689847042,0.0,0.0038525379718987378,0.0,0.001312390594954742
zeppelin,0.0,0.0,0.005794084160020739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004961387698363319,0.0,0.0008273439891064659
jet,0.0,0.0,0.0,0.0,0.007826683229474449,0.0,0.006658141725576666,0.0,0.0,0.006888523657150548,0.0,0.006665590779527252,0.0,0.002156841491671455
carrier,0.0,0.0,0.0,0.0,0.008957738964044823,0.0,0.011125086523155707,0.0,0.0,0.012196373866734717,0.0,0.011125072463400212,0.0,0.0033387901397950353
airplane,0.0,0.0,0.0,0.0,0.0,0.0,0.007705051399294767,0.0,0.0,0.007860682741478952,0.0,0.007740689941349903,0.0,0.0017928018524710476
airliner,0.0,0.0,0.0,0.0,0.0,0.0,0.007090009060151275,0.0,0.0,0.007235446628588309,0.0,0.007086430296079831,0.0,0.0016470681526784166
angel,0.0,0.0,0.0,0.0,0.0,0.0,0.008672773712283848,0.0,0.0,0.0,0.0,0.008695840166668243,0.0,0.001336047221457853
hydroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0,0.0,0.0,0.0,0.014144483269817537,0.0,0.015337876772954683,0.015856364618027065,0.0,0.014144764269840194,0.0,0.004575652994664576
truck,0.0,0.0,0.0,0.0,0.0,0.0,0.01320252864120091,0.0,0.0,0.015025833378722544,0.0,0.013202472961970966,0.0,0.003186987306299571
dozer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skateboard,0.0,0.0,0.0,0.0,0.0,0.0,0.006114086676139383,0.0,0.0,0.006587234177763817,0.0,0.006108872357655199,0.0,0.001446937939350646
subcompact,0.0,0.0,0.0,0.0,0.0,0.0,0.007637732871833375,0.0,0.0,0.006433497590136029,0.0,0.007637732871833375,0.0,0.0016699202564463675
sedan,0.0,0.0,0.0,0.0,0.0,0.0,0.003607262222790212,0.0,0.0,0.0037071086157472737,0.0,0.0036073039043684166,0.0,0.0008401288263773771
wrecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.002514723955631606,0.0,0.0,0.0027839840350805827,0.0,0.0025146929825743546,0.0,0.0006010308440989649
hearse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0002745588601951817,0.0,0.0,0.00032107783407104147,0.0,0.0002745588557136794,0.0,6.693811922922327e-05
limo,0.0,0.0,0.0,0.0,0.0,0.0,0.008905536888384113,0.0,0.0,0.007664689628232714,0.0,0.008900072433465172,0.0,0.0019592537653909227
camper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wagon,0.0,0.0,0.0,0.0,0.0,0.0,0.004649901325398295,0.0,0.0,0.005096331657927129,0.0,0.0046498205845237305,0.0,0.0011073887359883965
caravan,0.0,0.0,0.0,0.0,0.0,0.0,0.0021404241703251994,0.0,0.0,0.0022353817358184177,0.0,0.002143819052970777,0.0,0.0005015096122395687
trailer,0.0,0.0,0.0,0.0,0.0,0.0,0.006062381762470739,0.0,0.006269107640703853,0.006428768283599091,0.0,0.006062343734535177,0.0,0.0019094308785622199
minicab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0033786446038755955,0.0,0.0,0.0037424047830771916,0.0,0.0033786123215524527,0.0,0.0008076662852696338
bandwagon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caboose,0.0,0.0,0.0,0.0,0.0,0.0,0.016373713972809102,0.0,0.0,0.014851898015112615,0.0,0.016375143993162342,0.0,0.0036615966139295427
cabriolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcycle,0.0,0.0,0.0,0.0,0.0,0.0,0.002640422227843181,0.0,0.0,0.0025778884373914733,0.0,0.0026402837535549417,0.0,0.0006045072629838152
cab,0.0,0.0,0.0,0.0,0.0,0.0,0.002675226262531828,0.0,0.0,0.0032291188212986892,0.0,0.002675235757731141,0.0,0.0006599677570432045
snowplow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pushcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0033595276621622965,0.0,0.0,0.002565761535510373,0.0,0.003359311900572284,0.0,0.000714200084480381
van,0.0,0.0,0.0,0.0,0.0,0.0,0.0011045762759971903,0.0,0.0,0.0011802622472397608,0.0,0.0011045320935738623,0.0,0.00026072081667775487
dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tricycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tractor,0.0,0.0,0.0,0.0,0.0,0.0,0.004176841787870998,0.0,0.0,0.005042259775493607,0.0,0.004176719931396392,0.0,0.0010304478072893075
boxcar,0.0,0.0,0.0,0.0,0.0,0.0,0.008895786369054696,0.0,0.0,0.008724453237176773,0.0,0.008907877446732004,0.0,0.002040624388689498
car,0.0,0.0,0.0,0.0,0.0,0.0,0.0038932560639306276,0.0,0.0,0.004199875919344296,0.0,0.0038934439411211132,0.0,0.0009220443018766182
limousine,0.0,0.0,0.0,0.0,0.0,0.0,0.005118125507085532,0.0,0.0,0.005351724539394428,0.0,0.005118353245413889,0.0,0.0011990925609149114
dumper,0.0,0.0,0.0,0.0,0.0,0.0,0.0312972535408189,0.0,0.0,0.0281364525704309,0.0,0.031256601887579304,0.0,0.006976177538371469
tramcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gondola,0.0,0.0,0.0,0.0,0.0,0.0,0.0019486099557867737,0.0,0.0,0.0022434501500310108,0.0,0.0019486570570475012,0.0,0.0004723628586819451
automobile,0.0,0.0,0.0,0.0,0.0,0.0,0.010177508259469756,0.0,0.0,0.011657027707014656,0.0,0.010175090305750456,0.0,0.0024622789440180664
scrambler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0,0.0,0.0,0.0,0.0,0.0,0.004657487111803408,0.0,0.0,0.004869191901005544,0.0,0.0046571538883437924,0.0,0.0010910640693194418
trolley,0.0,0.0,0.0,0.0,0.0,0.0,0.002113455442373968,0.0,0.0,0.0024273243594211628,0.0,0.002113518231825979,0.0,0.0005118690795093161
wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0016525147440313544,0.0,0.0,0.0020608183399971037,0.0,0.0016523697390964714,0.0,0.00041274637100960994
locomotive,0.0,0.0,0.0,0.0,0.0,0.0,0.0015793561715047204,0.0,0.0,0.0016791575864897746,0.0,0.0015794156967267716,0.0,0.0003721484195939436
stroller,0.0,0.0,0.0,0.0,0.0,0.0,0.02067721653950852,0.0,0.0,0.01968232286618012,0.0,0.020667061713516174,0.0,0.004694353932246524
clarence,0.0,0.0,0.0,0.0,0.0,0.0,0.003910221352436157,0.0,0.0,0.0040889186908842304,0.0,0.003910999439514262,0.0,0.0009161645756026653
railcar,0.0,0.0,0.0,0.0,0.0,0.0,0.009520888074063524,0.0,0.0,0.010033861935887583,0.0,0.009466036346521154,0.0,0.002232368181267097
oxcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flatcar,0.0,0.0,0.0,0.0,0.0,0.0,0.03576989059338577,0.0,0.0,0.03678444617266201,0.0,0.03589017895360639,0.0,0.008341885824588781
cruiser,0.0,0.0,0.0,0.0,0.0,0.0,0.006496676349550792,0.0,0.0,0.006925425607130261,0.0,0.006497114254927192,0.0,0.001532247400892942
engine,0.0,0.0,0.0,0.0,0.0,0.0,0.0028647196404780707,0.0,0.0,0.0033486594371231536,0.0,0.0028646562483713722,0.0,0.0006983104096901997
velocipede,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.004831803307238551,0.0,0.0,0.005548273489203245,0.0,0.00483171258178007,0.0,0.0011701376444786052
pickup,0.0,0.0,0.0,0.0,0.0,0.0,0.005059042359764795,0.0,0.006228618509245193,0.005909453436414828,0.0,0.005062650222474805,0.0,0.0017122895790692015
carriage,0.0,0.0,0.0,0.0,0.0,0.0,0.002032866295045265,0.0,0.0,0.0020498408394635597,0.0,0.002032909934571318,0.0,0.00047043208223693407
parachute,0.0,0.0,0.0,0.0,0.0,0.0,0.006708089170907807,0.0,0.0,0.0,0.0,0.006711291659830355,0.0,0.0010322600639029356
saloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0008090530271224477,0.0,0.0,0.0007652689538202034,0.0,0.000809082316436813,0.0,0.00018333879210611265
diner,0.0,0.0,0.0,0.0,0.0,0.0,0.0046631918295414986,0.0,0.0,0.004318347653251731,0.0,0.004664568763427494,0.0,0.0010497006343246711
cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0031552026114760588,0.0,0.0,0.003389012518572211,0.0,0.0031551935846269308,0.0,0.0007461083626673231
lorry,0.0,0.0,0.0,0.0,0.0,0.0,0.008462643748087726,0.0,0.0,0.009188866132388538,0.0,0.008462832518409371,0.0,0.0020087955691450486
forklift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
