,food,fish,communication,no-cat,all,mammal,relation,bird,object,measure,animal,mean
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cob,0.0,0.0,0.0,0.0033196882514047554,0.003195065229206664,0.004119353227568216,0.0,0.003927234259418277,0.0031950555794851942,0.0,0.0031950555794851942,0.0019046774660516636
stork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crane,0.0,0.0,0.0,0.0,0.002927837271381774,0.0,0.0,0.0026641247346254546,0.0029282529968271544,0.0,0.0029282529968271544,0.0010407698181510488
linnet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
albatross,0.0,0.0,0.0,0.0,0.0325952877592926,0.0,0.0,0.025599882831763583,0.0325952877592926,0.0,0.0325952877592926,0.011216886009967399
curlew,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egret,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
platypus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moose,0.0,0.0,0.0,0.0,0.00463795020137611,0.0066700908392727685,0.0,0.0,0.0046384603648262,0.0,0.0046384603648262,0.00187136016093648
addax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stag,0.0,0.0,0.0,0.0,0.0067014058719832926,0.00887158399475575,0.0,0.0,0.006667039477714806,0.0,0.006667039477714806,0.0026279153474698777
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hobby,0.0,0.0,0.0,0.0,0.03825151612448077,0.0,0.0,0.05108307691125354,0.03846985834019452,0.0,0.03846985834019452,0.015115846337829393
bulldog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roebuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pig,0.0,0.0,0.0,0.0,0.0008798162721384911,0.0013840860893684678,0.0,0.0,0.0008797803485263359,0.0,0.0008797803485263359,0.0003657693689599664
tabby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemming,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pachyderm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
collie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
layer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lynx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
human,0.0,0.0,0.0,0.0,0.00023040030331480208,0.0003083914485571833,0.0,0.0,0.000230399450577992,0.0,0.000230399450577992,9.087187754799722e-05
chamois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malinois,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muskrat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
painter,0.0,0.0,0.0,0.0,0.0005286139741240561,0.0,0.0,0.0,0.0005285579576777132,0.0,0.0005285579576777132,0.00014415726267995297
cow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bonobo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
armadillo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sheep,0.0,0.0,0.0,0.0,0.0013205318128298507,0.0021486795805414744,0.0,0.0,0.0013205152098628452,0.0,0.0013205152098628452,0.000555476528463365
grade,0.0,0.0,0.0,0.0,0.0003001630290861099,0.0004900705780099241,0.0003878537974620829,0.0,0.0003001634248262351,0.0004349748620961121,0.0003001634248262351,0.00020121719239151812
gnu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mankind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beaver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whale,0.0,0.0,0.0,0.0,0.019779328687041395,0.029440435125823474,0.0,0.0,0.019779336600452398,0.0,0.019779336600452398,0.008070767001251788
ibex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
equine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
world,0.0,0.0,0.0,0.0,0.0017886435669794943,0.0023892092274476495,0.0,0.0,0.0017885890004512993,0.0,0.0017885890004512993,0.0007050027995754312
jade,0.0,0.0,0.0,0.0,0.0008613777914907603,0.0015603085233755283,0.0,0.0,0.0008613783566439081,0.0,0.0008613783566439081,0.00037676754801400957
bronc,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deer,0.0,0.0,0.0,0.0,0.007476992738891864,0.010345949158345325,0.0,0.0,0.00747568736725157,0.0,0.00747568736725157,0.0029794833301582118
humankind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
whippet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
