,reptile,criminal,food,fish,communication,cutlery,no-cat,vehicle,all,mammal,relation,tool,object,measure,animal,weapon,medication,mean
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elixir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jack,0.0,0.0,0.0006038155910933982,0.0006413046606361426,0.0,0.0,0.0007220891165475935,0.0,0.0005159490480438247,0.0005942349021270304,0.0006061177525991988,0.0006641281202900192,0.0004946763421957212,0.0010292289836522207,0.0005263745465832723,0.0,0.0,0.00037634818022167177
tuck,0.0,0.0,0.0009594819029047815,0.0,0.0,0.0,0.0,0.0,0.0009038607580131623,0.0,0.0,0.0,0.00087698147706518,0.0,0.0,0.0007954170984320801,0.0,0.00020798477861265903
rabbit,0.0,0.0,0.0023433494791754708,0.0,0.0,0.0,0.0,0.0,0.0024720002930850656,0.0027186392121406598,0.0022582059624726837,0.0,0.002249669793979084,0.0,0.002275107788579016,0.0,0.0,0.0008421748546724695
starter,0.0,0.0,0.003370373445189696,0.0,0.0,0.0,0.0,0.0,0.003391898947951109,0.0,0.0,0.003799304870400169,0.0030564444109220062,0.0,0.0,0.0,0.0,0.0008010600984978225
plot,0.0,0.0,0.0,0.0,0.0023820292020961965,0.0,0.0,0.0,0.00226627109669554,0.0,0.0,0.0,0.002239786225231328,0.0,0.0,0.0,0.0,0.00040518156023665086
attack,0.0,0.0,0.0,0.0,0.021929738735988108,0.0,0.0,0.0,0.022833503297644785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002633131884331347
shaft,0.0,0.0,0.0,0.0,0.0013842177716747613,0.0,0.0,0.0,0.0013773108685497747,0.0,0.0,0.0,0.0013300408006922133,0.0,0.0,0.0010981728452410912,0.0,0.0003052789580092847
virus,0.0,0.0,0.0,0.0,0.0002413883823835228,0.0,0.0,0.0,0.00025204742135409065,0.0,0.0,0.0,0.0002271427054844703,0.0,0.0,0.0,0.0,4.2386971130710804e-05
arrow,0.0,0.0,0.0,0.0,0.02114131212149788,0.0,0.0,0.0,0.024393457901462905,0.0,0.0,0.0,0.024078593814730744,0.0,0.0,0.02007551694631398,0.0,0.005275816516706207
conspiracy,0.0,0.0,0.0,0.0,0.0021831831766490274,0.0,0.0,0.0,0.0020160004779388183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002470108032110498
bow,0.0,0.0,0.0,0.0,0.009990398818208578,0.0,0.0,0.0,0.010040354040666966,0.0,0.0,0.0,0.009854976885264927,0.0,0.0,0.008308067223740891,0.0,0.0022466939392871386
fire,0.0,0.0,0.0,0.0,0.0058308865533619894,0.0,0.0,0.0,0.005160231243116628,0.0,0.007417641814131701,0.0,0.004910576754997768,0.0,0.0,0.0,0.0,0.0013717256685651816
bar,0.0,0.0,0.0,0.0,0.00521980824356678,0.0,0.007413897930244274,0.0,0.004600553545748357,0.0,0.0,0.0,0.0040819570954615195,0.009156881311586169,0.0,0.0,0.0,0.0017925351839180646
bill,0.0,0.0,0.0,0.0,0.0013285252900588017,0.0,0.0,0.0,0.0012783139400830588,0.0,0.0,0.0014402620335545746,0.0011724509642334453,0.0020094856623524885,0.0,0.0,0.0,0.0004252375229577864
flack,0.0,0.0,0.0,0.0,0.001757077989509232,0.0,0.0,0.0,0.0016998049643909485,0.0,0.0,0.0,0.0016489823560824086,0.0,0.0,0.0016278913644698775,0.0,0.00039610333379132154
file,0.0,0.0,0.0,0.0,0.0003142774403937658,0.0,0.0,0.0,0.000265927804534227,0.0,0.0,0.00026753443541271596,0.00024330903800386973,0.0,0.0,0.0,0.0,6.41793363732105e-05
bolo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knife,0.0,0.0,0.0,0.0,0.0,0.0032693467995199704,0.0,0.0,0.0028323572715136173,0.0,0.0,0.002976575494337267,0.0028035214739067747,0.0,0.0,0.0022651362380968127,0.0,0.0008321727810220261
scalpel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clipper,0.0,0.0,0.0,0.0,0.0,0.006454376118249377,0.0,0.005187414843984791,0.005361462355508682,0.0,0.0,0.005271894268205414,0.0049594335932196965,0.0,0.0,0.0,0.0,0.00160203418700988
plane,0.0,0.0,0.0,0.0,0.0,0.005205555870611282,0.0,0.004632206256393384,0.00435358485132941,0.0,0.0,0.004699833334002248,0.0040688799032630235,0.0,0.0,0.0,0.0,0.001350591777388197
neurotoxin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poison,0.0,0.0,0.0,0.0,0.0,0.0,0.001702004588116884,0.0,0.0014789503996333233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018711499927942396
terrorism,0.0,0.0,0.0,0.0,0.0,0.0,0.0012339258521651885,0.0,0.0011587182429848384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014074377030294277
methamphetamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
malaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
war,0.0,0.0,0.0,0.0,0.0,0.0,0.0023454439382895667,0.0,0.0021033308691160465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026169263572974196
venom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nursing,0.0,0.0,0.0,0.0,0.0,0.0,0.0029475897457011315,0.0,0.0020976000837854133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002967758723227379
hornbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015446953077295116,0.0012235840296626178,0.0014773444848820317,0.0,0.001304642771856778,0.0012096923240177309,0.0,0.001359805976019346,0.0,0.0,0.0004776332290687068
missile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032497854858289724,0.00252716818059238,0.0,0.0,0.0,0.0025502218401609682,0.0,0.0,0.0023275217278402134,0.0,0.0006267468961425021
bayonet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01942785916304376,0.0,0.0,0.0,0.018786259536947826,0.0,0.0,0.015282258720063138,0.0,0.003146845730591454
sniper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07744141197764613,0.0,0.0,0.0,0.07666301068663232,0.0,0.0,0.0,0.0,0.009064966039075204
revolver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010894795488878015,0.0,0.0,0.0,0.011154755790749359,0.0,0.0,0.010392448677006763,0.0,0.0019083529386255376
hammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038867475500802334,0.0,0.0,0.004077072631437058,0.0037612830229418527,0.0,0.0,0.0,0.0,0.000689711953203479
handgun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03156362332103727,0.0,0.0,0.0,0.0320617795233741,0.0,0.0,0.030360901192525575,0.0,0.00552860611981982
gang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020918234588737535,0.0,0.0,0.022569540761738494,0.020309901151755388,0.0,0.0,0.0,0.0,0.00375280450013126
scorpion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007077460178596462,0.0,0.0,0.0,0.0067562654776571205,0.0,0.0073267863025253226,0.0,0.0,0.0012447359975752295
mallet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
harpoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buckshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011795075375959526,0.0,0.0,0.0,0.011616344198130173,0.0,0.0,0.00862726255771763,0.0,0.0018846283606945486
club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007989786429420153,0.0,0.009282420397007102,0.0,0.007811316678640116,0.0,0.0,0.0,0.0,0.0014755013826510217
shotgun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03304067064335837,0.0,0.0,0.0,0.032702865598046665,0.0,0.0,0.02707743984092991,0.0,0.005460057416607938
sword,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004245363673051832,0.0,0.0,0.0,0.004249997649935214,0.0,0.0,0.003650345584979424,0.0,0.0007144533475274394
killer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038691725436250587,0.004799856505906354,0.0,0.0,0.003857797720491902,0.0,0.0041337160028939186,0.0,0.0,0.0009800319278186606
weapon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01907230375898642,0.0,0.0,0.0,0.018390133441002154,0.0,0.0,0.014907753360353713,0.0,0.003080599444726017
nightstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hippopotamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
morphine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
warhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018394792710692686,0.0,0.0022312236906966943,0.0,0.0,0.0,0.0,0.0,0.0,0.0002394531153979978
tiger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014587659038643203,0.0014407333267163805,0.0,0.0,0.0014801119783885257,0.0,0.001468195456904562,0.0,0.0,0.00034398862740434054
grenade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004998062078048096,0.0,0.0,0.0,0.005023217985248416,0.0,0.0,0.0,0.0,0.0005894870625468536
pentobarbital,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pistol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055310883513184694,0.0,0.0,0.0,0.05609282984876981,0.0,0.0,0.05218120536620744,0.0,0.009622642278127173
firearm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019743178518891406,0.0,0.0,0.0,0.019350175256983574,0.0,0.0,0.01588097278501527,0.0,0.0032337839153464857
scimitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blunderbuss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010473676550739823,0.0,0.0,0.0,0.0009579824457535521,0.0,0.0,0.0,0.0,0.00011796177063691377
blender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menthol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005567283636000814,0.0,0.0,0.0005886334682586672,0.0005215885325352676,0.0,0.0005317459297468708,0.0,0.0,0.00012933507612593453
remedy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019873358289422115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0034099143189599305,0.0003174853028177731
crowbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
langur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00023776980743078814,0.0003278066431429392,0.0,0.0,0.00022009762065072994,0.0,0.00024530416382271587,0.0,0.0,6.064577853218666e-05
naproxen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stamper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iodine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006988306024740955,0.0,0.000724271373092832,0.0,0.0,0.0,0.0,0.0,0.0,8.371188091570162e-05
hoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003770362166155936,0.0,0.0,0.0,0.0003604407582672699,0.0,0.0,0.0,0.0,4.338099852252138e-05
slice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aspirin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010724310776350437,0.0,0.0,0.0,0.00010394246833134243,0.0,0.0,0.00010454792959067508,0.0,1.8572559157971875e-05
cure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012117126959770126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023662707571216117,0.00021046961488815438
gutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ointment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buffer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013732212961018314,0.0,0.0013438201391094424,0.0015194865134128628,0.0013157933900149299,0.0,0.0,0.0,0.0,0.00032660713756700393
pestle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciprofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007473281328493226,0.0,0.0,0.000876903056298771,0.0006901077070434375,0.0,0.0,0.0,0.0,0.00013613758212891358
opener,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017087116217715573,0.0,0.0,0.0019483911429436142,0.001574076962494054,0.0,0.0,0.0,0.0,0.0003077164545417192
laxative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035627983829084353,0.0,0.0,0.004958135853925488,0.0034351868069829026,0.0,0.0,0.0,0.0,0.0007033012378715779
crease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008922792048603584,0.0,0.0,0.0,0.0008485008352061575,0.0,0.0,0.0007422583900017037,0.0,0.00014606108412165998
toad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003271811043528357,0.0,0.0,0.0,0.0030819164528423986,0.0,0.0,0.00295048721350492,0.0,0.0005473067476397456
businessman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007155469713323124,0.0,0.0,0.0,0.006573818330983569,0.0,0.0,0.0,0.0,0.0008076051790768643
