,vegetable,blue,female,animal,fruit,bird,all,communication,relation,fish,object,food,plant,measure,vehicle,mean
dogwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,0.0,0.0,0.0,0.0,0.0,0.0,0.0037327002795450935,0.0,0.00469139225086914,0.0,0.0,0.004304489742193214,0.0,0.0,0.0,0.0008485721515071631
willow,0.0,0.0,0.0,0.0,0.0,0.0,0.010585905816764957,0.0,0.0,0.0,0.010399405331209758,0.0,0.013044391050109419,0.0,0.0,0.002268646813205609
butter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hair,0.0,0.0,0.0,0.0,0.0,0.0,0.044295450031766,0.0,0.0,0.0,0.04357469962347276,0.0,0.0,0.05211509932278636,0.0,0.009332349931868341
tongue,0.0,0.0,0.0,0.0,0.0,0.0,0.01685094320767731,0.01833984822137063,0.0,0.0,0.016503816939245075,0.01640112510578139,0.0,0.0,0.0,0.004539715564938293
clarinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0007036161091624956,0.0,0.0,0.0,0.0006914175884860057,0.0,0.0,0.0,0.0,9.30022465099001e-05
emerald,0.0,0.0,0.0,0.0,0.0,0.0,0.0290856117730576,0.0,0.030133805534509187,0.0,0.027869000331537965,0.0,0.0,0.0,0.0,0.005805894509273651
daisy,0.0,0.0,0.0,0.0,0.0,0.0,0.01222821698425985,0.0,0.0,0.0,0.012007575869227505,0.0,0.016483304797287848,0.0,0.0,0.0027146065100516806
sycamore,0.0,0.0,0.0,0.0,0.0,0.0,0.003089366684580501,0.0,0.003354980284595214,0.0,0.0029517851860979055,0.0,0.003284995396600843,0.0,0.0,0.0008454085034582977
