,communication,no-cat,vehicle,all,object,measure,animal,mean
coupe,0.0,0.0,0.0025133190231111414,0.0025969911137346522,0.0025957088323798985,0.0,0.0,0.0011008598527465273
caravan,0.0,0.0,0.019660816221348753,0.01960754873279809,0.019607175791012264,0.0,0.0,0.00841079153502273
minivan,0.0,0.0,0.07718385427987409,0.07620414602703562,0.07620405433423642,0.0,0.0,0.032798864948735164
vehicle,0.0,0.0,0.04469436895363379,0.04437587375836506,0.044376310794372306,0.0,0.0,0.01906379335805302
coach,0.0,0.0,0.00045595553707804525,0.00042324109345503883,0.0004231979895760595,0.0,0.0,0.00018605637430130624
unicycle,0.0,0.0,0.026692117108011955,0.02541036163616328,0.025430168149932545,0.0,0.0,0.01107609241344397
cabriolet,0.0,0.0,0.006996642394308448,0.007335230709278056,0.007331031750234458,0.0,0.0,0.0030947006934029945
motorcycle,0.0,0.0,0.02582095051354237,0.02463716623245383,0.024637066457960936,0.0,0.0,0.010727883314851019
cab,0.0,0.0,0.10140864462904334,0.10002831926417932,0.10002623048667883,0.0,0.0,0.043066170625700215
snowplow,0.0,0.0,0.10509290998466246,0.1060060928297923,0.1060060928297923,0.0,0.0,0.04530072794917815
airplane,0.0,0.0,0.005760333053317018,0.005508807021524403,0.005507987254037106,0.0,0.0,0.0023967324755540752
snowmobile,0.0,0.0,0.010894084411033832,0.010325000761176865,0.01032527578120372,0.0,0.0,0.004506337279059203
pram,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
roadster,0.0,0.0,0.0066267920335770555,0.006746603927325687,0.006747054736144007,0.0,0.0,0.002874350099578107
van,0.0,0.0,0.0048478008619909415,0.004534657443341396,0.004534634497404447,0.0,0.0,0.0019881561146766836
dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tractor,0.0,0.0,0.02560833652298305,0.026243485726876313,0.02624342678033878,0.0,0.0,0.011156464147171164
car,0.0,0.0,0.06256346239880078,0.060286398552222745,0.06028379903828603,0.0,0.0,0.026161951427044222
stagecoach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limousine,0.0,0.0,0.007539719525440655,0.007361757480630459,0.007363159278443267,0.0,0.0,0.0031806623263591974
dumper,0.0,0.0,0.2091358733695638,0.19715968684104526,0.19715968684104526,0.0,0.0,0.08620789243595062
automobile,0.0,0.0,0.012506581686380221,0.012135169671107043,0.012135759460826106,0.0,0.0,0.00525393011690191
runabout,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0,0.0,0.006439487974250745,0.006219509943129348,0.006219494700819833,0.0,0.0,0.0026969275168857035
bogie,0.0,0.0,0.011418227239817655,0.010088761276746528,0.010089533061770083,0.0,0.0,0.004513788796904896
motorbike,0.0,0.0,0.031058665301134585,0.029819287266315934,0.029823553350288058,0.0,0.0,0.012957357988248366
taxicab,0.0,0.0,0.014967088254326315,0.013919510908481942,0.013918062411598781,0.0,0.0,0.006114951653486721
trolley,0.0,0.0,0.009124413507250219,0.008921587540035055,0.008918064100354308,0.0,0.0,0.0038520093068056542
wheel,0.0,0.0,0.031910509755551694,0.030834485914946058,0.03083281818640082,0.0,0.0,0.013368259122414083
locomotive,0.0,0.0,0.05581626416023672,0.05314935644892883,0.05314935644892883,0.0,0.0,0.023159282436870626
railcar,0.0,0.0,0.016772259956100547,0.018200572606393357,0.018200572606393357,0.0,0.0,0.007596200738412467
buggy,0.0,0.0,0.003941719547317722,0.0036068288142150906,0.0036068127230214253,0.0,0.0,0.0015936230120791768
rickshaw,0.0,0.0,0.012336715095656736,0.011721982147301704,0.011722103141161327,0.0,0.0,0.00511154291201711
phaeton,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeep,0.0,0.0,0.0192589104109913,0.022139368485141434,0.022139266751063844,0.0,0.0,0.009076792235313796
machine,0.0,0.0,0.004021227240161254,0.0036712587822837297,0.0036712586377987944,0.0,0.0,0.0016233920943205399
stanhope,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
auto,0.0,0.0,0.015296085873403349,0.014990813406143368,0.014990650296476263,0.0,0.0,0.006468221368003283
carriage,0.0,0.0,0.009709165447653377,0.009205791997769466,0.009205021395921243,0.0,0.0,0.004017139834477726
streetcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saloon,0.0,0.0,0.004382590896655195,0.0040582033683891575,0.004058240355563607,0.0,0.0,0.0017855763743725658
cart,0.0,0.0,0.008156291621059861,0.007917056505149775,0.007918458830218548,0.0,0.0,0.003427400993775455
ambulance,0.0,0.0,0.013366942846831095,0.01275103537526201,0.012750841590824695,0.0,0.0,0.005552688544702543
pedicab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lorry,0.0,0.0,0.04402468991493679,0.0432250934358498,0.043226167300566345,0.0,0.0,0.018639421521621846
stage,0.0,0.0,0.0007589453536480542,0.0007356655475015992,0.0007409014659412178,0.0009444126961518832,0.0,0.0004542750090346792
yacht,0.0,0.0,0.0003768675476294397,0.0003652396348251373,0.0003682147458851365,0.0,0.0,0.00015861741833424477
warship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
battleship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vessel,0.0,0.0,0.000219715089159969,0.000212027660540756,0.00021448729287550916,0.0,0.0,9.231857751089061e-05
sleigh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trawler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
frigate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gondola,0.0,0.0,0.002215465753200923,0.0021268689076398796,0.0021425008569881374,0.0,0.0,0.0009264050739755627
toboggan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tugboat,0.0,0.0,0.0024832505400604536,0.002392306974181726,0.002423698300181699,0.0,0.0,0.0010427508306319825
freighter,0.0,0.0,0.0007896362752804323,0.0007757906992613251,0.0007847330076871515,0.0,0.0,0.0003357371403184156
chaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.0,0.0,0.0044389803943147114,0.004295376854509773,0.004348319987250276,0.0,0.0,0.0018689538908678229
diner,0.0,0.0,0.02078285450863631,0.020140858085861038,0.020306020062518675,0.0,0.0,0.008747104665288002
ship,0.0,0.0,0.0040822405184736295,0.003940263092323949,0.003973109957182289,0.0,0.0,0.0017136590811399812
trap,0.0,0.0,0.001200812526248874,0.0011392285113108937,0.0011530293494035975,0.0,0.0,0.0004990100552804807
undercarriage,0.0,0.0,0.0,0.06450805426922512,0.06450900297773833,0.0,0.0,0.018431008178137635
garage,0.0,0.0,0.0,0.019076283670159674,0.019076910400747837,0.0,0.0,0.00545045629584393
chassis,0.0,0.0,0.0,0.11258538637534074,0.11258538637534074,0.0,0.0,0.03216725325009735
axle,0.0,0.0,0.0,0.08077036001244293,0.08004044111343894,0.0,0.0,0.022972971589411695
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backhoe,0.0,0.0,0.0,0.06021571365734247,0.06042636697125537,0.0,0.0,0.017234582946942547
luggage,0.0,0.0,0.0,0.007766623899873559,0.007763507254673321,0.0,0.0,0.0022185901649352685
train,0.0,0.0,0.0,0.017731231904045186,0.017730873392894433,0.0,0.0,0.005066015042419945
passenger,0.0,0.0,0.0,0.028397588601486674,0.02857451772661,0.0,0.0,0.008138872332585239
windshield,0.0,0.0,0.0,0.022309250459726735,0.022611850811155996,0.0,0.0,0.006417300181554676
diesel,0.0,0.0,0.0,0.01988393399025852,0.020004415370254033,0.0,0.0,0.005698335622930365
winch,0.0,0.0,0.0,0.0267614672498614,0.026928313082029788,0.0,0.0,0.007669968618841598
