,communication,no-cat,vehicle,all,object,measure,animal,mean
tugboat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freighter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boat,0.0,0.0,0.003270212890771063,0.003260658413126886,0.0032633378852960936,0.0,0.0,0.0013991727413134346
diner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ship,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
undercarriage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garage,0.0,0.0,0.0,0.007051869076813933,0.007052100758315979,0.0,0.0,0.0020148528335899875
chassis,0.0,0.0,0.0,0.0020954051446905823,0.0020954051446905823,0.0,0.0,0.0005986871841973092
axle,0.0,0.0,0.0,0.005154080573964479,0.005107503329324905,0.0,0.0,0.0014659405576127693
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backhoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
luggage,0.0,0.0,0.0,0.0029736011102186374,0.0029724078427517094,0.0,0.0,0.0008494298504243353
train,0.0,0.0,0.0,0.0061165899077164215,0.006116466235221563,0.0,0.0,0.0017475794489911405
passenger,0.0,0.0,0.0,0.0006080642861848171,0.0006048998234358252,0.0,0.0,0.0001732805870886632
windshield,0.0,0.0,0.0,0.0006410129495959463,0.0006423244454066654,0.0,0.0,0.00018333391357180167
diesel,0.0,0.0,0.0,0.00015157633742768107,0.00015076185591932596,0.0,0.0,4.3191170478143856e-05
winch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
