,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,female,measure,vehicle,mean
airplane,0.0,0.0,0.0,0.0,0.025574968124036725,0.0,0.0,0.0,0.02558795237072554,0.0,0.0,0.0,0.027296461849269073,0.006035337103387026
airliner,0.0,0.0,0.0,0.0,0.0020068557599089245,0.0,0.0,0.0,0.002018180445946725,0.0,0.0,0.0,0.0021535980236443452,0.00047527955611538416
angel,0.0,0.0,0.0,0.0,0.0046907348529483224,0.0,0.0,0.0,0.004702317133805399,0.0,0.0,0.0,0.0,0.000722542460519517
hydroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0,0.0,0.0006163715950657946,0.0007766013555926422,0.0,0.0,0.000616359350221775,0.0,0.0,0.0,0.0008028539047102311,0.00021632201581464944
truck,0.0,0.0,0.0,0.0,0.00023188529514805414,0.0,0.0,0.0,0.0002318862730856501,0.0,0.0,0.0,0.000306649660790256,5.926317146338156e-05
dozer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skateboard,0.0,0.0,0.0,0.0,0.005257448813876938,0.0,0.0,0.0,0.0052619363871842266,0.0,0.0,0.0,0.006587234177763817,0.0013158937983711524
subcompact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sedan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hearse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wagon,0.0,0.0,0.0,0.0,0.0007275913186174098,0.0,0.0,0.0,0.0007276039527305595,0.0,0.0,0.0,0.0009266057559867508,0.00018321546364113232
caravan,0.0,0.0,0.0,0.0,0.0018450244623435226,0.0,0.0,0.0,0.0018421027411659836,0.0,0.0,0.0,0.0022353817358184177,0.0004555776107175326
trailer,0.0,0.0,0.0,0.0,0.0015345309157303454,0.0018438551884423096,0.0,0.0,0.001534540541552525,0.0,0.0,0.0,0.0018908142010585563,0.0005233646805218259
minicab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.0,0.0,0.0,0.0,0.009207775340198395,0.0,0.0,0.0,0.009207863319626239,0.0,0.0,0.0,0.011850948479744442,0.0023281990107360826
bandwagon,0.0,0.0,0.0,0.0,0.008794702891707168,0.0,0.0,0.0,0.008797758930967977,0.0,0.0,0.0,0.011309043423337188,0.002223192711231718
caboose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabriolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcycle,0.0,0.0,0.0,0.0,0.00022722944392562254,0.0,0.0,0.0,0.00022724136137028058,0.0,0.0,0.0,0.0002577888437391473,5.478920377192695e-05
cab,0.0,0.0,0.0,0.0,0.0011511875054730533,0.0,0.0,0.0,0.0011511834195696783,0.0,0.0,0.0,0.0016145594106493446,0.000301302333514775
snowplow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pushcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
van,0.0,0.0,0.0,0.0,9.505880308616977e-05,0.0,0.0,0.0,9.506260553636877e-05,0.0,0.0,0.0,0.00011802622472397608,2.3703664103578045e-05
dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tricycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tractor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boxcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,0.0013403182146696868,0.0,0.0,0.0,0.001340253537940206,0.0,0.0,0.0,0.001679950367737718,0.00033542477848827777
limousine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dumper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tramcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gondola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
automobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrambler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0,0.0,0.0,0.0,0.0012332503008139735,0.0,0.0,0.0,0.0012333385409584185,0.0,0.0,0.0,0.0014982128926170903,0.0003049847487991909
trolley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
locomotive,0.0,0.0,0.0,0.0,0.00019418353912659477,0.0,0.0,0.0,0.0001941762207123805,0.0,0.0,0.0,0.00023987965521282494,4.832610885013848e-05
stroller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrier,0.0,0.0,0.0,0.0,0.0018237174236522703,0.0,0.0020869715520433246,0.0,0.0018237197284481403,0.0,0.0,0.0,0.0023231188317589936,0.000619809810454056
clarence,0.0,0.0,0.0,0.0,0.0005609840398389553,0.0,0.0,0.0,0.0005608724329622037,0.0,0.0,0.0,0.0006814864484807051,0.00013871868625245107
railcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oxcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
