,food,plant,no-cat,vehicle,all,mammal,relation,vegetable,red,bird,object,fruit,measure,animal,weapon,mean
grape,0.008633760483257466,0.008924904403446891,0.0,0.0,0.008570589266749752,0.0,0.0,0.0,0.0,0.0,0.00859318607458946,0.009356965701513353,0.0,0.0,0.007508657778199392,0.0034392042471837543
tomato,0.005092803463224675,0.0053456901167761904,0.0,0.0,0.004633944526354573,0.0,0.0,0.005498931163617779,0.0,0.0,0.0047046650222651466,0.0,0.0,0.0,0.0,0.0016850689528158907
vegetable,0.003215505230955377,0.0033720500922068907,0.0,0.0,0.0030246258164847136,0.0,0.0,0.0034452521331327867,0.0,0.0,0.003078752191926027,0.0,0.0,0.0,0.0,0.001075745697647053
aubergine,0.08091417522128233,0.08278939039890801,0.0,0.0,0.08505198033422004,0.0,0.0,0.07390703502770739,0.0,0.0,0.08469174980499969,0.0,0.0,0.0,0.0,0.02715695538580783
onion,0.0030349466014620925,0.0032020966274687885,0.0,0.0,0.002761619769078343,0.0,0.0,0.003606484962981845,0.0,0.0,0.002796373051489805,0.0,0.0,0.0,0.0,0.0010267680674987249
sauce,0.004005252223544926,0.0,0.0,0.0,0.0035901103768548113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005063575066933158
raspberry,0.015029756051844338,0.015951664963540124,0.014590984576271334,0.0,0.013959004117213712,0.0,0.0,0.0,0.0,0.0,0.01418752417557836,0.016660112265279556,0.0,0.0,0.0,0.006025269743315161
cake,0.003024242839958042,0.0,0.0,0.0,0.0029014730179522095,0.0,0.0,0.0,0.0,0.0,0.0028901726069057608,0.0,0.0,0.0,0.0,0.0005877258976544009
tongue,0.0013327133355223947,0.0,0.0023577360988030036,0.0,0.0015176226900395183,0.0,0.0,0.0,0.0,0.0,0.001532919677081869,0.0,0.0,0.0,0.0,0.0004493994534297857
apricot,0.01548775357481989,0.016339854821924946,0.0,0.0,0.014312909002483614,0.0,0.0,0.0,0.0,0.0,0.014406618474918162,0.017324276133267678,0.0,0.0,0.0,0.0051914274671609525
candy,0.01663457786778249,0.0,0.0,0.0,0.01696920131514213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002240251945528308
vinegar,0.0019568858758420987,0.0,0.0,0.0,0.0017380962713333776,0.0,0.001861378292266995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003704240292961647
egg,0.004312735805249872,0.0,0.0,0.0,0.004111061938340595,0.0,0.0,0.0,0.0,0.0,0.003919700806946905,0.0,0.0,0.0,0.0,0.0008228999033691581
cream,0.0066703890627690145,0.0,0.0,0.0,0.006406677704299752,0.0,0.0,0.0,0.0,0.0,0.0062391496408733555,0.0,0.0,0.0,0.0,0.0012877477605294748
guava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spinach,0.0029937980512192643,0.0026426028262650277,0.0,0.0,0.002662633211838123,0.0,0.0,0.003195846556400816,0.0,0.0,0.0025976110858551135,0.0,0.0,0.0,0.0,0.0009394994487718897
mamey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.00341910001694375,0.0028816298082902218,0.0,0.0,0.0028014142445533974,0.0,0.0,0.0,0.0,0.0,0.002720197126866188,0.0030686704578025137,0.0,0.0,0.0,0.0009927341102970713
banana,0.0017162516779187186,0.0016116326442613545,0.0,0.0,0.001795566561800977,0.0,0.0,0.0,0.0,0.0,0.0017798637160581778,0.0017625075187442916,0.0,0.0,0.0,0.000577721474585568
herring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
broccoli,0.002135671115669504,0.0020265349522006486,0.0,0.0,0.0019157643913470404,0.0,0.0,0.0027696863449480484,0.0,0.0,0.0018966937118890437,0.0,0.0,0.0,0.0,0.0007162900344036189
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raisin,0.006131587255952748,0.0,0.0,0.0,0.005585474378661143,0.0,0.0,0.0,0.0,0.0,0.00521267865970156,0.006109319802331168,0.0,0.0,0.0,0.0015359373397764412
chocolate,0.00961849033114707,0.0,0.0,0.0,0.008786313223850366,0.0,0.009394546745893597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018532900200594021
cilantro,0.0017776493570419358,0.0015570468627670404,0.0,0.0,0.001456301950751829,0.0,0.0,0.0,0.0,0.0,0.0013902377253507243,0.0,0.0,0.0,0.0,0.0004120823930607686
slug,0.0012489766620295733,0.0,0.0,0.0,0.001376508939950661,0.0,0.0016313705963794522,0.0,0.0,0.0,0.0013576978218400417,0.0,0.00163538710128363,0.0020391785194276385,0.0018387935866756016,0.0007418608818391066
water,0.003948369137006609,0.0,0.0,0.0,0.004270037404594373,0.0,0.004770673099910972,0.0,0.0,0.0,0.004160474924958117,0.0,0.0,0.0,0.0,0.0011433036377646716
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
garlic,0.0028832125954195986,0.002477767690286915,0.0,0.0,0.0022739424798479254,0.0,0.0,0.0,0.0,0.0,0.0021373056144320607,0.0,0.0,0.0,0.0,0.0006514818919991
avocado,0.005635759631407594,0.004927681186001448,0.0,0.0,0.004993610733479772,0.0,0.0,0.0,0.0,0.0,0.0048346942404419975,0.005252105844355312,0.0,0.0,0.0,0.0017095901090457416
cinnamon,0.007523766342398853,0.006547007618557913,0.0,0.0,0.006180909386036337,0.0,0.0,0.0,0.0,0.0,0.005837991098833902,0.0,0.0,0.0,0.0,0.0017393116297218
artichoke,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.00905023962619169,0.00793148791110425,0.0,0.0,0.008079335770450344,0.0,0.0,0.0,0.0,0.0,0.007939394881949205,0.009324315295117066,0.0,0.0,0.0,0.00282165156565417
celery,0.002201166163683542,0.0019506937035788752,0.0,0.0,0.00181063724318809,0.0,0.0,0.0023459581852122153,0.0,0.0,0.0017408369495458536,0.0,0.0,0.0,0.0,0.0006699528163472384
chicken,0.002315852532523526,0.0,0.0,0.0,0.002062392664071369,0.0,0.0,0.0,0.0,0.002828336524738456,0.0019999347112833995,0.0,0.0,0.00262809396980144,0.0,0.0007889740268278793
pineapple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
honey,0.01463345648320427,0.0,0.0,0.0,0.014387340741583847,0.0,0.0,0.0,0.0,0.0,0.013946615015385747,0.0,0.0,0.0,0.0,0.0028644941493449244
coconut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yogurt,0.0006668439435276923,0.0,0.0,0.0,0.000604514987246664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.475726205162374e-05
