,vehicle,all,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,mean
bogie,0.021517053740204135,0.015929431475471805,,,,0.01605450507461784,,,,,,,0.017833663430097926
carrier,0.012139849287773638,0.009367042698044203,,,,0.009273313000395926,,,,,0.014221442506897537,,0.011250411873277827
clarence,0.0,0.0,,,,0.0,,,,,,,0.0
bark,0.0,0.0,,,,0.0,,,,,,,0.0
submarine,0.0028018072569506703,0.002019787599865419,,,,0.002010290407734851,,0.002555365587031929,,,,,0.002346812712895717
scull,0.0,0.0,,,,0.0,,,,,,,0.0
phaeton,0.0,0.0,,,,0.0,,,,,,,0.0
taxi,0.0013279456510979799,0.0009708469168301428,,,,0.0009572408866196605,,,,,,,0.001085344484849261
junk,0.0,0.0,,,,0.0,,,,,0.0,,0.0
steamer,0.0,0.0,0.0,,,0.0,,0.0,,,,,0.0
interceptor,0.003920043910838625,0.0031836806700052253,,,,0.0031456534108969783,,,,,,,0.0034164593305802764
boat,0.0014480904811716242,0.0011681024709713891,,,,0.001151055874314033,,,,,,,0.0012557496088190156
shell,0.0013065104624098726,0.001104850216100848,,,,0.00108822883355857,,,,,0.001778752257444287,,0.0013195854423783944
saloon,0.0036874833379095086,0.0034890617765668693,,,,0.003421147432553419,,,,,,,0.0035325641823432657
ferry,0.0028857720281019435,0.0022594658342714,,,,0.002233952298014589,,,,,,,0.0024597300534626443
ship,0.003643945948876529,0.0027301735713578423,,,,0.002700753894215147,,,,,,,0.0030249578048165064
cart,0.0010435153113423621,0.0008616018901595975,,,,0.0008575793572346233,,,,,,,0.0009208988529121943
jalopy,0.0,0.0,,0.0,,0.0,,,,,,,0.0
lorry,0.0017551256765134784,0.0013170456051365355,,,,0.001287879456742086,,,,,,,0.0014533502461307
forklift,0.0,0.0,,,,0.0,,,,,,,0.0
wren,,0.004646548787718447,0.004559369253209775,,0.004349514757378393,0.004628408395044478,,,,,,,0.004545960298337774
flycatcher,,0.0,0.0,,0.0,0.0,,,,,,,0.0
stork,,0.004907754956464813,0.005137246689417997,,0.005087995691650195,0.0048933009258402636,,,,,,,0.005006574565843317
budgie,,0.0,0.0,,0.0,0.0,,,,,,,0.0
pelican,,0.011832425737745563,0.012696208960102697,,0.010739315881824339,0.011813929151844295,,,,,,,0.011770469932879222
vulture,,0.009885718832394991,0.009478974010406257,,0.008238987804204163,0.00996188327057561,,,,,,,0.009391390979395255
kite,,0.0266052919123962,0.028666632870074715,0.028710317729071424,0.026967020436076534,0.026594454931446455,,,,,,,0.027508743575813066
nightingale,,0.00314615475068886,0.0028080299484867983,,0.003208416181534044,0.00308075076197965,,,,,,,0.0030608379106723377
tit,,0.0,0.0,,0.0,0.0,,,,,,,0.0
hawk,,0.012953220307513868,0.01377029484472097,,0.013536832414749884,0.012934266341761348,,,,,,,0.013298653477186518
chinook,,0.015455489221739524,0.016425501458487195,,,0.01543804475250616,,0.017043004033713546,,0.01941387841374859,,,0.016755183576039
flicker,,0.003122055880185389,0.0031363613804326366,,0.00294408274977842,0.0031163588032207456,,,,,,,0.0030797147034042982
marabou,,0.0,0.0,,0.0,0.0,,,,,0.0,,0.0
pigeon,,0.0054649835486218065,0.0057946771351546945,,0.005788305628584257,0.005452772530174588,,,,,,,0.005625184710633837
sky,,0.007405923342843128,,,,,,,0.008114389058396681,,,,0.007760156200619905
toy,,0.0016360001196752273,0.0018254892044927728,,,0.0016314705422948207,0.0019463691397978802,,,,,,0.0017598322515651752
seagull,,0.003729289200619258,0.004299636968522342,,0.005016830404272429,0.003717849202818625,,,,,,,0.004190901444058164
albatross,,0.007372030962800082,0.007990383589846467,,0.0066009720267115445,0.007341307870253056,,,,,,,0.0073261736124027865
fowl,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0
crow,,0.002247094850089632,0.002595665439332279,,0.0030297430364289615,0.0022415268188472745,,,,,,,0.002528507536174537
skylark,,0.0,0.0,,0.0,0.0,,,,,,,0.0
owl,,0.00612460645900799,0.006586478185796264,,0.006640499000743468,0.006130747746943594,,,,,,,0.0063705828481228285
gull,,0.004813901901271646,0.004387544375861247,,0.004598843159662217,0.004803065823077718,,,,,,,0.004650838814968207
butterfly,,0.0023963628756519836,0.002634065780854929,,,0.002389635463806435,,,,,,,0.002473354706771116
arrow,,0.003488195273372664,,0.0036592949295048954,,0.003480754564937802,,,0.0,,,,0.0026570611919538405
wing,,0.003161940231551488,,,,0.003158833125130233,,,,,,0.0035451855497444095,0.00328865296880871
loon,,0.0,0.0,,0.0,0.0,,,,,,,0.0
snowbird,,0.004990396169221911,0.005557027740553744,,0.0069057490913665065,0.004975967628052047,,,,,,,0.005607285157298553
duck,,0.0007877874515602232,0.0009259327693718963,,0.0009109296221193681,0.0007865724989173188,,0.000865430184282281,,,,0.0006990781478343418,0.0008292884456809049
robin,,0.0007283177493219239,0.0008258693669375056,,0.0008718747179161466,0.0007259557181403826,,,,,,,0.0007880043880789897
pheasant,,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0
woodpecker,,0.004493874616831169,0.005110073050748831,,0.005070798160546221,0.004486179129238327,,,,,,,0.004790231239341137
quail,,0.0036246928951040084,0.003562749421792817,,0.004219500571723638,0.003618405134606157,,0.0034255809304448662,,,,,0.0036901857907342974
puffin,,0.0,0.0,,0.0,0.0,,,,,,,0.0
seal,,0.0015331554015480349,0.001390440181307131,0.0016552901745064178,,0.0015042858287384936,0.00210728602733212,,,,0.0022315760209366156,,0.0017370056057281356
titi,,0.0,0.0,,,0.0,0.0,,0.0,,,,0.0
sheepshead,,0.0,0.0,,,0.0,,,,0.0,,,0.0
giraffe,,0.003994234458545825,0.003546805959199562,,,0.0039583169221650205,0.005649645427498341,,,,,,0.004287250691852187
basset,,0.0,0.0,,,0.0,0.0,,,,,,0.0
ass,,0.0,0.0,,,0.0,0.0,,,,,,0.0
monkey,,0.0023970396650230446,0.002366494785350967,,,0.002403173216459381,0.003910724522922968,,,,,,0.00276935804743909
razorback,,0.0,0.0,,,0.0,0.0,,,,,,0.0
skimmer,,0.0,0.0,,0.0,0.0,,,,,,,0.0
lemur,,0.0,0.0,,,0.0,0.0,,,,,,0.0
hog,,0.0,0.0,,,0.0,0.0,,,,,,0.0
chick,,0.0,0.0,,0.0,0.0,,,0.0,,,,0.0
bream,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
catfish,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
roebuck,,0.0,0.0,,,0.0,0.0,,,,,,0.0
whistler,,0.0,0.0,,0.0,0.0,0.0,,,,,,0.0
sunfish,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
mola,,0.0,0.0,,,0.0,,,,0.0,,,0.0
penguin,,0.000857752387071056,0.000818626539276764,,0.0008335447148296823,0.00084707203138281,,,,,,,0.0008392489181400781
haddock,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
mouse,,0.00024019256336657718,0.00022024434423583724,,,0.0002368029227226521,0.00038295290080023485,,,,,,0.00027004818278132534
silverback,,0.0,0.0,,,0.0,0.0,,,,,,0.0
hind,,0.0,0.0,,,0.0,0.0,,,0.0,,,0.0
barnacle,,0.0,0.0,,0.0,0.0,,,,,,,0.0
rudd,,0.002394200291134343,0.0021557694449310352,,,0.002361690752966499,,,,0.0026506728725779576,,,0.0023905833404024588
buffalo,,0.002384310347246171,0.002256055369996364,,,0.002398145054179181,0.004292329589283274,0.003348653707983324,,,,,0.0029358988137376625
emu,,0.001624369206531311,0.001429786969353486,,0.0014794071890680343,0.001622418161376234,,,,,,0.002463014730284515,0.001723799251322716
stallion,,0.0,0.0,,,0.0,0.0,,,,,,0.0
minnow,,0.0,0.0,,,0.0,,,,0.0,,,0.0
poacher,,0.0,0.0,,,0.0,,,,0.0,,,0.0
watchdog,,0.00016835480923844024,0.00015088918624154242,,,0.0001680158144405566,0.00022432894591618965,,,,,,0.00017789718895918223
bobcat,,0.0,0.0,,,0.0,0.0,,,,,,0.0
tortoise,,0.0,0.0,,,0.0,,,0.0,,,,0.0
shark,,0.0003447342506226064,0.0003166516123218474,,,0.0003426970731851299,,,,0.0004519646884624672,,,0.0003640119061480127
ostrich,,0.0,0.0,,0.0,0.0,,,,,,,0.0
tiger,,0.00041292815194241504,0.00034855259417691044,,,0.0004067946690590294,0.0005555020239784568,,,,,,0.00043094435978920293
armadillo,,0.0,0.0,,,0.0,0.0,,,,,,0.0
grouper,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
zebra,,0.0,0.0,,,0.0,0.0,,,,,,0.0
stock,,3.853978543147326e-05,3.447587825283836e-05,4.040223611201124e-05,,3.814336421498453e-05,6.385649637050342e-05,5.007013867626665e-05,4.902713074211409e-05,,6.532863729076857e-05,,4.748045838637001e-05
mammal,,0.0,0.0,,,0.0,0.0,,,,,,0.0
gnu,,0.0,0.0,,,0.0,0.0,,,,,,0.0
ounce,,0.0,0.0,,,0.0,0.0,,,,,0.0,0.0
knot,,0.0006517424031197833,0.000602037991509135,,0.0005915751615145675,0.0006474492033882539,,,,,0.0010229014609212232,0.0009146658135119579,0.0007383953389941534
pussy,,0.0,0.0,,,0.0,0.0,,,,,,0.0
groundhog,,0.0,0.0,,,0.0,0.0,,,,,,0.0
turtle,,0.0008400722724997324,0.0008505658345361187,,,0.0008348276094388727,,,0.0008932014047948525,,,,0.000854666780317394
rabbit,,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,0.0
jade,,0.0,0.0,,,0.0,0.0,,,,,,0.0
fryer,,0.0,,,0.0,,,0.0,,,,,0.0
lion,,0.0004652385519637153,0.00044571085186845353,,,0.000459346060860415,0.0006643971844757703,,,,,,0.0005086731622920885
amberjack,,0.0,0.0,,,0.0,,,,0.0,,,0.0
ape,,0.0,0.0,,,0.0,0.0,,,,,,0.0
deer,,0.0003395977995325109,0.00034223874092982566,,,0.00033532361363939743,0.000449968385192472,,,,,,0.0003667821348235515
chow,,0.001427006823337535,0.0014074401958152657,,,0.001433484091564865,0.002590689694414748,0.001874423814493599,,,,,0.0017466089239252026
howler,,0.0,0.0,0.0,,0.0,0.0,,,,,,0.0
plaice,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0
