context,evidence_type,categories
possible, ,no-cat
typically, ,no-cat
generally, ,no-cat
mountain, ,no-cat
vintage, ,no-cat
located, ,no-cat
businesses, ,no-cat
explained, ,no-cat
coconut, ,no-cat
describes, ,no-cat
plus, ,no-cat
comprises, ,no-cat
detail, ,no-cat
police, ,no-cat
photo, ,no-cat
culture, ,no-cat
places, ,no-cat
midst, ,no-cat
darker, ,no-cat
deck, ,no-cat
favorite, ,no-cat
shelter, ,no-cat
hot, ,no-cat
features, ,no-cat
exhibition, ,no-cat
illegal, ,no-cat
shops, ,no-cat
going, ,no-cat
selling, ,no-cat
gradually, ,no-cat
safety, ,no-cat
fun, ,no-cat
region, ,no-cat
price, ,no-cat
earlier, ,no-cat
liked, ,no-cat
press, ,no-cat
powder, ,no-cat
managed, ,no-cat
manufacturers, ,no-cat
distinct, ,no-cat
domestic, ,no-cat
enjoys, ,no-cat
join, ,no-cat
iraq, ,no-cat
eight, ,no-cat
launching, ,no-cat
quality, ,no-cat
elite, ,no-cat
within, ,no-cat
us, ,no-cat
teacher, ,no-cat
trouble, ,no-cat
wet, ,no-cat
tennis, ,no-cat
tends, ,no-cat
1947, ,no-cat
channel, ,no-cat
1920s, ,no-cat
central, ,no-cat
victoria, ,no-cat
view, ,no-cat
artificial, ,no-cat
train, ,no-cat
ve, ,no-cat
bad, ,no-cat
baby, ,no-cat
unofficial, ,no-cat
hatch, ,no-cat
hardware, ,no-cat
articles, ,no-cat
union, ,no-cat
growth, ,no-cat
vicinity, ,no-cat
ruined, ,no-cat
balls, ,no-cat
hundreds, ,no-cat
retained, ,no-cat
attention, ,no-cat
variations, ,no-cat
rituals, ,no-cat
rival, ,no-cat
resort, ,no-cat
follows, ,no-cat
try, ,no-cat
separating, ,no-cat
billy, ,no-cat
boss, ,no-cat
farm, ,no-cat
booth, ,no-cat
branches, ,no-cat
feed, ,no-cat
boards, ,no-cat
federal, ,no-cat
fbi, ,no-cat
scandal, ,no-cat
goat, ,no-cat
sandy, ,no-cat
basically, ,no-cat
beer, ,no-cat
sculptures, ,no-cat
beauty, ,no-cat
99, ,no-cat
posted, ,no-cat
popularity, ,no-cat
occasionally, ,no-cat
occupied, ,no-cat
occupy, ,no-cat
nomination, ,no-cat
1875, ,no-cat
opens, ,no-cat
opera, ,no-cat
narrator, ,no-cat
2000s, ,no-cat
1933, ,no-cat
nice, ,no-cat
1925, ,no-cat
participants, ,no-cat
1921, ,no-cat
naturally, ,no-cat
1954, ,no-cat
remarked, ,no-cat
ranging, ,no-cat
read, ,no-cat
ray, ,no-cat
labour, ,no-cat
andrew, ,no-cat
interest, ,no-cat
interview, ,no-cat
arch, ,no-cat
recording, ,no-cat
invites, ,no-cat
african, ,no-cat
whom, ,no-cat
legal, ,no-cat
web, ,no-cat
likely, ,no-cat
proceeds, ,no-cat
weak, ,no-cat
producing, ,no-cat
clerk, ,no-cat
cow, ,no-cat
taylor, ,no-cat
clock, ,no-cat
couch, ,no-cat
society, ,no-cat
creating, ,no-cat
clarke, ,no-cat
sound, ,no-cat
coastal, ,no-cat
eats, ,no-cat
convention, ,no-cat
changing, ,no-cat
