context,evidence_type,categories
detail,NA,no-cat
police,NA,no-cat
photo,u,no-cat
culture,u,no-cat
places,u,no-cat
midst,NA,no-cat
darker,NA,no-cat
deck,NA,no-cat
favorite,u,no-cat
shelter,NA,no-cat
hot,u,no-cat
features,u,no-cat
exhibition,u,no-cat
illegal,NA,no-cat
shops,NA,no-cat
going,NA,no-cat
selling,u,no-cat
gradually,NA,no-cat
safety,NA,no-cat
fun,NA,no-cat
region,NA,no-cat
price,u,no-cat
earlier,u,no-cat
liked,NA,no-cat
press,NA,no-cat
powder,u,no-cat
managed,u,no-cat
manufacturers,u,no-cat
distinct,NA,no-cat
domestic,u,no-cat
enjoys,u,no-cat
join,u,no-cat
iraq,NA,no-cat
eight,u,no-cat
launching,NA,no-cat
quality,NA,no-cat
elite,u,no-cat
within,u,no-cat
us,NA,no-cat
teacher,u,no-cat
trouble,NA,no-cat
wet,NA,no-cat
tennis,NA,no-cat
tends,NA,no-cat
1947,NA,no-cat
channel,NA,no-cat
1920s,NA,no-cat
central,u,no-cat
victoria,NA,no-cat
view,u,no-cat
artificial,u,no-cat
train,u,no-cat
ve,NA,no-cat
bad,u,no-cat
baby,u,no-cat
unofficial,NA,no-cat
hatch,NA,no-cat
hardware,NA,no-cat
articles,NA,no-cat
union,u,no-cat
growth,u,no-cat
vicinity,NA,no-cat
ruined,NA,no-cat
balls,NA,no-cat
hundreds,u,no-cat
retained,NA,no-cat
attention,u,no-cat
variations,NA,no-cat
rituals,NA,no-cat
rival,NA,no-cat
resort,u,no-cat
follows,NA,no-cat
try,u,no-cat
separating,NA,no-cat
billy,NA,no-cat
boss,u,no-cat
farm,NA,no-cat
booth,u,no-cat
branches,u,no-cat
feed,u,no-cat
boards,NA,no-cat
federal,NA,no-cat
fbi,NA,no-cat
scandal,NA,no-cat
goat,u,no-cat
sandy,r,no-cat
basically,NA,no-cat
beer,u,no-cat
sculptures,NA,no-cat
beauty,u,no-cat
99,u,no-cat
posted,NA,no-cat
popularity,NA,no-cat
occasionally,u,no-cat
occupied,NA,no-cat
occupy,NA,no-cat
nomination,NA,no-cat
