,animal,fruit,vegetable,plant,mammal,no-cat,measure,relation,fish,juicy,object,communication,food,all,mean
fruit,0.0,0.004951166473723907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004574216809684803,0.0,0.0,0.00463948055799684,0.0010117759886718249
citron,0.0,0.0007831776995687552,0.0,0.0006358884066922401,0.0,0.0,0.0,0.0,0.0,0.0,0.000680543667200148,0.0,0.0007387279054792283,0.0006980933257763285,0.0002526022146226214
tamarind,0.0,0.01397681304093347,0.0,0.012368066549034721,0.0,0.0,0.0,0.0,0.0,0.0,0.013066709463070205,0.0,0.01308692114884411,0.013854034494927621,0.00473946747834358
berry,0.0,0.003652659619537809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003315408957572335,0.0,0.0034191837352431117,0.0033728749631958027,0.0009828662339677898
currant,0.0,0.0070608108979611,0.0,0.00580835194829373,0.0,0.0,0.0,0.0,0.0,0.0,0.0060893817552755075,0.0,0.006060710040090587,0.006304719488555005,0.002237426723583995
morello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
okra,0.0,0.04584926848352333,0.05316085736789113,0.04577930646836208,0.0,0.0,0.0,0.0,0.0,0.0,0.046698746951675134,0.0,0.048455769179590026,0.04681963928465923,0.020483113409692923
tamarindo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
date,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wintergreen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pomegranate,0.0,0.04790031353743353,0.0,0.041136038650823485,0.0,0.0,0.0,0.0,0.0,0.0,0.0443928966291464,0.0,0.04448695147217452,0.04415211140528121,0.015862022263918512
blackberry,0.0,0.007783620103776224,0.0,0.005924500693723636,0.0,0.0,0.0,0.0,0.0,0.0,0.007206047222354601,0.0,0.007467671887176446,0.007397195002105005,0.002555645350652565
olive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calabash,0.0,0.012380547146541252,0.0,0.010633537929920452,0.0,0.0,0.0,0.0,0.0,0.0,0.013158040322122203,0.0,0.0,0.014335888260055298,0.0036077152613313715
apple,0.0,0.0059327941591357895,0.0,0.004233472866454528,0.0,0.0,0.0,0.0,0.0,0.0,0.005112940108470362,0.0,0.005048695794123548,0.005091002784965741,0.0018156361223678548
watermelon,0.0,0.3172083350432304,0.0,0.28634854622391187,0.0,0.0,0.0,0.0,0.0,0.0,0.3133435600087249,0.0,0.3181389458791525,0.312400462104636,0.11053141780426112
mandarin,0.0,0.0004923532424625836,0.0,0.0004613980773174633,0.0,0.0,0.0,0.0,0.0,0.0,0.0004959890909032662,0.0,0.0005394197131815215,0.0005066905742822995,0.00017827504986765242
cherry,0.0,0.00952081836315882,0.0,0.007850962518393298,0.0,0.0,0.0,0.010007011600349789,0.0,0.0,0.008685258268405209,0.0,0.008607709608037759,0.00865196070611601,0.0038088372188900634
orange,0.0,0.0024246610815485256,0.0,0.0019956099666737018,0.0,0.0,0.0,0.0024199089860117576,0.0,0.0,0.0022388396856423305,0.0,0.0023120379340431586,0.002264851858724949,0.0009754221080460302
cranberry,0.0,0.0033243017480077625,0.0,0.0029793888996445758,0.0,0.0,0.0,0.0,0.0,0.0,0.003173637844552505,0.0,0.0033406817329198514,0.0032710978890775648,0.0011492220081573043
mangosteen,0.0,0.053628479139030835,0.0,0.044399709622829416,0.0,0.0,0.0,0.0,0.0,0.0,0.05247720670564052,0.0,0.07083701641941621,0.06808475132987697,0.02067336880119957
melon,0.0,0.21300743933975058,0.0,0.18159491420568924,0.0,0.0,0.0,0.0,0.0,0.0,0.20385359691987381,0.0,0.20011647863501822,0.20485714638948113,0.07167354110641522
pear,0.0,0.0042673912703063985,0.0,0.003590692263592476,0.0,0.0,0.0,0.0,0.0,0.0,0.0037491843218882904,0.0,0.0036808755573378266,0.003715185372889832,0.0013573806275724873
satsuma,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mango,0.0,0.05773958271071741,0.0,0.050803336537346956,0.0,0.0,0.0,0.0,0.0,0.0,0.05450123206396177,0.0,0.05402046576354095,0.05573816195433076,0.019485912787849842
cantaloupe,0.0,0.6499641454190166,0.0,0.5058684075994923,0.0,0.0,0.0,0.0,0.0,0.0,0.6415697494122444,0.0,0.6511437354806169,0.6462064116239017,0.22105374639537656
anjou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.0,0.019090921624285228,0.0,0.017838864449036727,0.0,0.0,0.0,0.0,0.0,0.0,0.018444956279650062,0.0,0.019852064855604562,0.01893756603530409,0.00672602666027719
pineapple,0.0,0.057294751948090084,0.0,0.05203404298215416,0.0,0.0,0.0,0.0,0.0,0.0,0.055328391277743805,0.0,0.05755973888507972,0.057218934977840724,0.019959704290779177
damson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.0,0.005768641535666704,0.0,0.005202511878288799,0.0,0.0,0.0,0.0,0.0,0.0,0.005467719347608631,0.0,0.005468945395334571,0.005507930006577858,0.0019582677259626117
marang,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clementine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grape,0.0,0.00853142162494756,0.0,0.007692403528938615,0.0,0.006356674018635643,0.0,0.0,0.0,0.0,0.008025651414483567,0.0,0.008240586453879255,0.008152804885374378,0.00335711013758993
mulberry,0.0,0.0027073854675597297,0.0,0.002231853616770789,0.0,0.0,0.0,0.0,0.0,0.0,0.002407371343978923,0.0,0.002429511318208464,0.002379774461654262,0.0008682783005837262
tangerine,0.0,0.014331369194518261,0.0,0.011773269883074942,0.0,0.0,0.0,0.0,0.0,0.0,0.014229553439434849,0.0,0.015003919288207667,0.014628159689167381,0.004997590821028792
papaya,0.0,0.060416664463009036,0.0,0.05354727730331595,0.0,0.0,0.0,0.0,0.0,0.0,0.0543084295473034,0.0,0.05590485667293319,0.05406255298773176,0.01987427006959238
raspberry,0.0,0.018737247410903827,0.0,0.012299737220367276,0.0,0.0,0.0,0.0,0.0,0.0,0.015849291044063924,0.015974441479810288,0.01592743666447537,0.016008395370456976,0.0067711820850055475
peach,0.0,0.0057136823392053265,0.0,0.004766957767920333,0.0,0.005453364176898946,0.0,0.0,0.0,0.0,0.0053106981330801216,0.0,0.005238654154382024,0.005302240053557142,0.0022703997589317063
grapefruit,0.0,0.023292790347757882,0.0,0.02219196602985657,0.0,0.0,0.0,0.0,0.0,0.0,0.023116747261499298,0.0,0.023780255225698457,0.023040990891943114,0.008244482125482523
honeydew,0.0,0.03260231999467926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031156159077481187,0.0,0.032415464683263784,0.030908697836878492,0.009077331542307337
corn,0.0,0.008422313450053195,0.0,0.007668172978788534,0.0,0.0,0.0,0.007889595853133279,0.0,0.0,0.007772372281231259,0.0,0.007819532819806263,0.0077716634159191444,0.003381689342780834
lime,0.0,0.0034876272538693588,0.0,0.0030346502200289467,0.0,0.0,0.0,0.003832450758723683,0.0,0.0,0.003275724718621429,0.0,0.003462450907426671,0.003300900747397396,0.0014567003290048201
apricot,0.0,0.008518631110142514,0.0,0.007511592266609182,0.0,0.0,0.0,0.0,0.0,0.0,0.007768380237392862,0.0,0.007875566497410051,0.007864161237838958,0.002824166524956683
bean,0.0,0.003468022384432249,0.003781967661546951,0.003224027015694462,0.0,0.0,0.0,0.0,0.0,0.0,0.003408112759550978,0.0,0.003512986901667596,0.0034022956112012537,0.0014855294524352494
sultana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
muscat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pawpaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
almond,0.0,0.0016121366808899199,0.0,0.001511053491405038,0.0,0.0,0.0,0.0,0.0,0.0,0.001614669941741775,0.0,0.0,0.0016782758813897374,0.0004582954282447479
acorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kernel,0.0,0.00020116476174685788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00020180038711502146,0.0,0.0,0.00021065816397713129,4.3830236631357906e-05
blackheart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
seed,0.0,0.004128181786987938,0.0,0.0,0.0,0.0,0.0,0.0062713307540967775,0.0,0.0,0.004246875971312397,0.0,0.0,0.004308260848854062,0.0013539035258036552
peanut,0.0,0.0014760778566627454,0.0,0.0015302099261088784,0.0,0.0,0.0,0.0,0.0,0.0,0.0016140185728234497,0.0,0.0,0.0017109701691028155,0.0004522340374784207
groundnut,0.0,0.004234291961168877,0.0,0.004108793990763039,0.0,0.0,0.0,0.0,0.0,0.0,0.004416808940325714,0.0,0.0,0.0043807570125640625,0.0012243322789158352
chickpea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barleycorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grain,0.0,0.0003183717041184934,0.0,0.00030411596813706627,0.0,0.0,0.0,0.0005203285343445448,0.0,0.0,0.00032495807524279065,0.0,0.00032529712769753104,0.0003244790124771003,0.00015125360157268046
pistachio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pod,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windfall,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cumin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cottonseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nut,0.0,0.0007350433879539486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007553824011878306,0.0,0.0,0.0007625389047681877,0.00016092604956499762
filbert,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
linseed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goober,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hazelnut,0.0,0.009311846206843397,0.0,0.00880861532704979,0.0,0.0,0.0,0.0,0.0,0.0,0.009406871212949188,0.0,0.0,0.010712402885252204,0.002731409688006756
soy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mast,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0,0.0,0.10052128965534507,0.08402436227803585,0.0,0.0,0.0,0.0,0.0,0.0,0.09108908704857561,0.0,0.09562569335755734,0.093420923057011,0.03319152538546606
shallot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pumpkin,0.0,0.0,0.04561733870353324,0.041379132350309863,0.0,0.0,0.0,0.0,0.0,0.0,0.04550039281326546,0.0,0.04668395173453886,0.04529986392711944,0.016034334252054777
cayenne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mangold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.0,0.0,0.0033098370199719884,0.003194994994980834,0.0,0.0,0.0,0.0,0.0,0.0,0.003269895530980258,0.0,0.0031933288619092016,0.0032626738450877587,0.0011593378752092886
asparagus,0.0,0.0,0.006244737556371787,0.005292461511206294,0.0,0.0,0.0,0.0,0.0,0.0,0.005260561690656277,0.0,0.00547444904865712,0.0051449557074479705,0.0019583689653099607
tomato,0.0,0.0,0.025804258362222315,0.02237498588835862,0.0,0.0,0.0,0.0,0.0,0.0,0.021412093894271584,0.0,0.022541995975254338,0.021600044939068797,0.008123812789941117
vegetable,0.0,0.0,0.0033027227887709393,0.003025007033383878,0.0,0.0,0.0,0.0,0.0,0.0,0.0032282516822916677,0.0,0.0031862250787044136,0.0032406525250147414,0.0011416327934404026
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
onion,0.0,0.0,0.008360585231762006,0.007162745383781258,0.0,0.0,0.0,0.0,0.0,0.0,0.006999500181387661,0.0,0.007492082400834414,0.00710952282537744,0.002651745430224484
squash,0.0,0.0,0.011390636063048198,0.009093169600878545,0.0,0.0,0.0,0.0,0.0,0.0,0.009722850203006757,0.0,0.009974722703690705,0.009759102529747946,0.0035671772214551536
cabbage,0.0,0.0,0.0030923041231270144,0.002366908734933978,0.0,0.0,0.0,0.0,0.0,0.0,0.0025040812387912732,0.0,0.0025829877474929843,0.0025747774911462967,0.0009372185239636818
mustard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chile,0.0,0.0,0.0008884096551249304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008386829725418112,0.0008366993553022489,0.0001831279987834993
radish,0.0,0.0,0.01323918528780438,0.010284053064656839,0.0,0.0,0.0,0.0,0.0,0.0,0.010793792363990097,0.0,0.011301909849461125,0.011215724686953235,0.004059618946633262
fennel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flageolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iceberg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
