,food,female,fish,communication,plant,fruit,vehicle,all,relation,vegetable,bird,object,blue,measure,animal,mean
aubergine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beer,0.0037658964832645403,0.0,0.0,0.0,0.0,0.0,0.0,0.0037155991703542164,0.003102750427274021,0.0,0.0,0.0,0.0,0.0,0.0,0.0007056164053928518
onion,0.0004182290471096988,0.0,0.0,0.0,0.0003806018419596661,0.0,0.0,0.0003169026724700882,0.0,0.0004136224037574572,0.0,0.0003290259550183474,0.0,0.0,0.0,0.00012389212802101717
butter,0.0006510083369565811,0.0,0.0,0.0,0.0,0.0,0.0,0.0005441300649205475,0.0,0.0,0.0,0.0005565703193374468,0.0,0.0,0.0,0.00011678058141430504
truffle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peach,0.010745540989903535,0.012071220757225864,0.0,0.0,0.01092783157222826,0.011212855336904408,0.0,0.009855656735904599,0.0,0.0,0.0,0.009838782822683483,0.0,0.0,0.0,0.00431012588099001
grapefruit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tongue,0.00019032524720771066,0.0,0.0,0.00030821513828225764,0.0,0.0,0.0,0.0001718299316050122,0.0,0.0,0.0,0.00017284422699903338,0.0,0.0,0.0,5.621430293960092e-05
dog,0.0019904122654069785,0.0,0.0,0.0,0.0,0.0,0.0,0.0021900812275234306,0.0,0.0,0.0,0.002207675931497692,0.0,0.0,0.002623199586494654,0.0006007579340615171
quail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn,0.0004675881039346473,0.0,0.0,0.0,0.000466412471503146,0.0004891791312602136,0.0,0.0004017781190553646,0.0004270400728675143,0.0,0.0,0.0004052201410554302,0.0,0.0,0.0,0.0001771478693117544
lime,0.004741305750340281,0.0,0.0,0.0,0.004395775560679597,0.004701607695159508,0.0,0.0037591622675542335,0.003289671246177705,0.0,0.0,0.0038766542220162814,0.0,0.0,0.0,0.001650945116128507
apricot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parrotfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shark,0.0,0.0,0.0016011408039904422,0.0,0.0,0.0,0.0,0.0009363595096809919,0.0,0.0,0.0,0.000936761813671227,0.0,0.0,0.0011214162640792893,0.00030637855942813007
goldfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dolphin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bus,0.0,0.0,0.0,0.0006782237917747181,0.0,0.0,0.0008052217987969932,0.0007068928627598609,0.0,0.0,0.0,0.0007005491270409383,0.0,0.0,0.0,0.0001927258386915007
wand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
problem,0.0,0.0,0.0,0.0027085462378520133,0.0,0.0,0.0,0.0020447182674361557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003168843003525446
spider,0.0,0.0,0.0,0.002991303176942615,0.0,0.0,0.0,0.002458419603617062,0.0,0.0,0.0,0.002497458241604111,0.0,0.0,0.0029447075131427275,0.0007261259023537677
bellflower,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
violet,0.0,0.0,0.0,0.0,0.003984854707102029,0.0,0.0,0.003933164434010086,0.0,0.0,0.0,0.003976717995171087,0.0,0.0,0.0,0.0007929824757522135
flower,0.0,0.0,0.0,0.0,0.004211956096873377,0.0,0.0,0.004137713716084756,0.0,0.0,0.0,0.004093888880692999,0.0,0.004373443543652575,0.0,0.0011211334824869138
orchid,0.0,0.0,0.0,0.0,0.0021813296262094732,0.0,0.0,0.002586642039372044,0.0,0.0,0.0,0.0026213550742274112,0.0,0.0,0.0,0.0004926217826539286
geranium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marigold,0.0,0.0,0.0,0.0,0.01783192093444726,0.0,0.0,0.01596796171539367,0.0,0.0,0.0,0.01644570589337607,0.0,0.0,0.0,0.0033497059028811337
buttercup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fir,0.0,0.0,0.0,0.0,0.0033054674768579935,0.0,0.0,0.004011607871206335,0.003284789487561588,0.0,0.0,0.0040012317311433915,0.0,0.0,0.0,0.0009735397711179538
daffodil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dogwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
willow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daisy,0.0,0.0,0.0,0.0,0.0012357183747678674,0.0,0.0,0.001532999970177188,0.0,0.0,0.0,0.0015205184155265572,0.0,0.0,0.0,0.00028594911736477417
locust,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sycamore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0034288358672031304,0.002513060584947749,0.0,0.0,0.0,0.0024273448579939564,0.0,0.0,0.0,0.0005579494206763224
car,0.0,0.0,0.0,0.0,0.0,0.0,0.0059845182808923834,0.005186818646152447,0.0,0.0,0.0,0.005156865453077411,0.0,0.0,0.0,0.0010885468253414826
taxi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tank,0.0,0.0,0.0,0.0,0.0,0.0,0.0011220820957122395,0.0007711602026439842,0.0,0.0,0.0,0.0007749096553900717,0.0,0.000910703313748987,0.0,0.00023859035116635213
glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011200617607502572,0.0,0.0,0.0,0.011073302858298233,0.0,0.012191764294736942,0.0,0.002297712317369183
boot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001675145658922078,0.0,0.0,0.0,0.0016622241121702775,0.0,0.0,0.0,0.0002224913180728237
feather,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008141958104594909,0.008991858444306012,0.0,0.0,0.008111219055269896,0.0,0.0,0.0,0.0016830023736113878
budgie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002791214968601524,0.0,0.0,0.0,0.002729827905947005,0.0,0.0,0.0,0.00036806952496990197
lagoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018283152871813371,0.0,0.0,0.0,0.0,0.001816895564703191,0.0,0.0,0.00024301405679230187
scorpion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gown,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
moss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010229382733578985,0.0,0.0,0.0,0.0010266727204925833,0.0,0.0,0.0,0.00013664073292336546
night,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027552564719821367,0.0,0.0,0.0,0.0,0.0,0.002627144271098485,0.0,0.0003588267162053748
dress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004809192653091888,0.0,0.0,0.0,0.004782892187260005,0.0,0.0,0.0,0.0006394723226901262
kingfisher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003939361231768111,0.0,0.0,0.004613975830580353,0.0038339045900869983,0.0,0.0,0.0037252002528908143,0.0010741627936884184
ring,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005623359807688785,0.0,0.0,0.0,0.000552982197572014,0.0,0.0,0.0,7.435454522272617e-05
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flame,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025503194499349475,0.0,0.0,0.0,0.0,0.003256749171759111,0.0,0.0,0.00038713790811293724
pot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014501884842112094,0.0017888530165573369,0.0,0.0,0.0014091672202978022,0.0,0.0018721469296460107,0.0,0.00043469037671415726
sandpaper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08160858422420487,0.09009769032291225,0.0,0.0,0.0,0.0,0.0,0.0,0.011447084969807808
bra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00044265848663633037,0.0,0.0,0.0,0.00043831715374283316,0.0,0.0,0.0,5.8731709358610904e-05
football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004645108185224893,0.0,0.0,0.0,0.0004596712327642202,0.0,0.0,0.0,6.16121367524473e-05
eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001486513105184367,0.0,0.0,0.0,0.0014819082294162764,0.0,0.0,0.0,0.0001978947556400429
sky,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005238866180727946,0.0,0.0,0.0,0.0,0.005355364001149763,0.0,0.0,0.0007062820121251806
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019057154970594514,0.0,0.0,0.0,0.001954164532294815,0.0,0.0,0.0023569143319902325,0.0004144529574229666
parakeet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plumage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01920180329566601,0.020410002171187856,0.0,0.0,0.018847294137518386,0.0,0.0,0.0,0.00389727330695815
paint,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19344400601128353,0.20298287399773193,0.0,0.0,0.19195817292377687,0.0,0.0,0.0,0.03922567019551949
peacock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025352593021084756,0.0,0.0,0.0034941595747293164,0.0024738504095869547,0.0,0.0,0.002798610122481632,0.0007534586272604252
sapphire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005596329571733912,0.005748823267828887,0.0,0.0,0.005577454695815588,0.0,0.0,0.0,0.0011281738356918925
cloak,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0022837901990626123,0.0,0.0,0.0,0.0022505367959272395,0.0,0.0,0.0,0.0003022884663326568
lantern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umbrella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00048630415783648977,0.0,0.0,0.0,0.00046628688533784573,0.0,0.0,0.0,6.35060695449557e-05
hose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012093285696403515,0.0,0.0,0.0,0.012144653890673013,0.0,0.0,0.0,0.0016158626391384351
piano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002096009269707354,0.0,0.0,0.0,0.0020865944393879347,0.0,0.0,0.0,0.00027884024727301926
blossom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parrot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001608191287508585,0.0017008080069562202,0.0,0.0,0.0016111263444071975,0.0,0.0,0.0,0.00032800837592480015
starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022172174894229157,0.0,0.0,0.0,0.00021882572551207616,0.0,0.0,0.0,2.936983163029118e-05
feeling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024417370021071845,0.0,0.0,0.0,0.0,0.002220627902707265,0.0,0.0,0.00031082432698762997
pit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002411472838227488,0.0,0.0,0.0,0.00024284385713832084,0.0,0.0,0.0,3.2266076064071314e-05
lawn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003842677788221,0.0,0.0,0.0,0.004003367757465029,0.0,0.0,0.0,0.0005230697030457353
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006629745465898278,0.0,0.0,0.0,0.00667019819878046,0.0,0.0,0.0,0.0008866629109785825
fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045640586022849803,0.00037424446433469464,0.0,0.0,0.00046127285136536453,0.0,0.0,0.000520491472775505,0.00012082764324693749
crypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025340715024800243,0.0,0.0,0.0,0.002560816107802586,0.0,0.0,0.0,0.0003396591740188407
pyramid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003548561767701202,0.00034206143449063136,0.0,0.0,0.0,0.0,0.0,0.0,4.646117408405011e-05
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000639448147606071,0.0,0.0,0.0,0.0006571145474087155,0.0,0.0,0.0007501130968539302,0.00013644505279124779
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015386241979610364,0.0,0.0,0.0,0.0015522437593407492,0.0,0.0,0.0019349067037115414,0.0003350516440675551
bat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022574694886185576,0.0,0.0,0.0,0.00022604873433820647,0.0,0.0,0.0002461431274541606,4.6529254043614854e-05
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001746772591079293,0.0,0.0,0.0,0.00017965331366583587,0.0,0.0,0.00020636486018692354,3.737969553071258e-05
jaguar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
alligator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009257191210887963,0.0,0.0,0.0,0.0009251801701669667,0.0,0.0,0.0,0.00012339328608371752
squirrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
raven,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chameleon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011916414117833216,0.0,0.0,0.0,0.012069318097351374,0.0,0.0,0.009864020665762616,0.002256650192063147
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013120557647712328,0.0,0.0,0.0,0.0013288819433987923,0.0,0.0,0.0014226799720617753,0.00027090784534878666
lizard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027189781504128653,0.0,0.0,0.0,0.002763088047066118,0.0,0.0,0.003181259425323391,0.0005775550415201583
cannon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caterpillar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011481744142156284,0.0,0.0,0.0,0.0011239760791148781,0.0,0.0,0.0011680753189963738,0.00022934838748845868
tortoise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007893974751591173,0.0,0.0,0.006737061655877501,0.008100890092040784,0.0,0.0,0.007087325923136938,0.0019879501615097596
barn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005542791096589097,0.0,0.0,0.0,0.005691943307394166,0.0,0.007621419571363716,0.0,0.0012570769316897984
zebra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004114711807907301,0.0,0.0,0.0,0.0042364305629409415,0.0,0.0,0.006073322487249043,0.000961630990539819
tar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002226965127427856,0.0022535546054254893,0.0,0.0,0.002238388799888321,0.0,0.0,0.0,0.00044792723551611104
flamingo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012439519126059798,0.0,0.0,0.0,0.00012423535554040971,0.0,0.0,0.00014268031311646563,2.608739066116489e-05
bee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00030076063354763705,0.0,0.0,0.0,0.00030874604165117924,0.0,0.0,0.00040256653587393527,6.74715474048501e-05
panther,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045569441400380436,0.0,0.0,0.0,0.0,0.000520794398954012,0.0,0.0,6.509925419718775e-05
tire,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009806666624706843,0.0,0.0,0.0,0.0009816852866216628,0.0,0.0,0.0,0.00013082346327282314
buzzard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thought,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030431001920781116,0.0,0.0,0.0,0.0,0.0027906224069758115,0.0,0.0,0.0003889148399369282
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014292490905198408,0.0,0.0,0.0,0.0013749478239236364,0.0,0.0,0.0016124661933914104,0.0002944442071889925
cheetah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hair,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005901623546643831,0.0,0.0,0.0,0.0060638567872783105,0.0,0.007117481501804971,0.0,0.0012721974557151408
tarantula,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leopard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clarinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002333096879774348,0.0,0.0,0.0,0.0023316173741649722,0.0,0.0,0.0,0.00031098095026262134
emerald,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003522044715752194,0.003167267748873498,0.0,0.0,0.003520478433533365,0.0,0.0,0.0,0.0006806527265439371
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010266170793600995,0.0,0.0,0.0,0.001039456523267131,0.0,0.0,0.0012031191168065554,0.00021794618129558573
robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011748846703962534,0.0,0.0,0.00015183663309227652,0.00011752591257666953,0.0,0.0,0.00015915332275513884,3.640028903091402e-05
lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012106496832585659,0.0,0.0,0.0,0.0012245860036773964,0.0,0.0,0.0013905048789022664,0.0002550493710558819
wasp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033459351254248033,0.0,0.0,0.0,0.003408391836711171,0.0,0.0,0.003978831668095257,0.0007155439086820821
