,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,green,weapon,bird,object,communication,food,all,mean
grapefruit,0.0,0.04726074848328188,0.04643862174021869,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05269750099786034,0.0,0.05090772652373574,0.05198016679981414,0.016618984302994053
lime,0.0,0.005029906986221484,0.0043676077195397706,0.0,0.0,0.0,0.0,0.005514312827804072,0.0,0.0,0.0,0.005661768428837876,0.0,0.004796532440518433,0.005829346220347298,0.0020799649748845955
peanut,0.0,0.0014576837956146913,0.0014009087236622367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014508304847102764,0.0,0.0,0.0014630614646165003,0.00038483229790691365
cherry,0.0,0.011470974778334985,0.010149038920160102,0.0,0.0,0.0,0.0,0.01249102708782518,0.0,0.0,0.0,0.011397819257241537,0.0,0.010115472313246405,0.011279026508311227,0.0044602239243412955
walnut,0.0,0.004749774043972232,0.0044770569306870735,0.0,0.0,0.0,0.0,0.0062218717521824035,0.0,0.0,0.0,0.005236766077313745,0.0,0.0,0.005175904702172957,0.0017240915670885609
blueberry,0.0,0.015835220237346584,0.014098001857589533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01591669544828072,0.0,0.013731420079443234,0.01589353367929105,0.005031658086796742
corn,0.0,0.017237627523115796,0.01606217740823881,0.0,0.0,0.0,0.0,0.016860923011838735,0.0,0.0,0.0,0.017899182894216235,0.0,0.016935037609146122,0.01778071314726151,0.0068517107729211485
combretum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,0.0,0.0,0.004310721466205693,0.005275939158894153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004849444026662591,0.0,0.004779503547410335,0.005288758984970004,0.0016336244789428517
herb,0.0,0.0,0.00022112166087529873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00026748960283606133,0.0,0.000207305509089299,0.000260940390794658,6.379047757302114e-05
spinach,0.0,0.0,0.012310466689385001,0.015115536611500289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015273406196329255,0.0,0.014355513421520255,0.015377756486579575,0.004828845293687625
cabbage,0.0,0.0,0.01464945159105401,0.01771415935118549,0.0,0.0,0.019544617221439152,0.0,0.0,0.0,0.0,0.01823174289504271,0.0,0.016322867230159622,0.017716170159003074,0.006945267229858937
cucumber,0.0,0.0,0.03643270613052097,0.04197437054087102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04543180216108409,0.0,0.0418951949137052,0.04483991663735495,0.01403826602556908
