context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
being,6,0.01,0.0,0.0,0.01
eaten,6,0.04,0.03,0.01,0.09
which,6,0.01,0.01,0.01,0.02
beetle,6,0.04,0.04,0.0,0.13
beetles,6,0.03,0.03,0.0,0.13
larry,6,0.03,0.02,0.0,0.13
cabbage,6,0.05,0.03,0.03,0.1
lettuce,6,0.07,0.06,0.01,0.19
spotted,6,0.02,0.02,0.0,0.07
vine,6,0.08,0.08,0.01,0.42
pineapple,6,0.02,0.01,0.0,0.05
pickle,6,0.02,0.02,0.0,0.05
wild,6,0.04,0.04,0.01,0.09
aphids,6,0.01,0.01,0.0,0.03
in,6,0.02,0.01,0.02,0.03
bitter,6,0.01,0.01,0.01,0.02
boiled,6,0.02,0.01,0.01,0.04
vines,6,0.01,0.01,0.0,0.02
1970,6,0.0,0.0,0.0,0.02
ash,6,0.01,0.01,0.0,0.03
sour,6,0.02,0.01,0.01,0.03
of,6,0.02,0.01,0.02,0.02
mango,6,0.01,0.0,0.01,0.02
strawberry,6,0.02,0.01,0.01,0.03
often,6,0.01,0.0,0.01,0.01
orange,6,0.01,0.01,0.0,0.02
paste,6,0.08,0.07,0.01,0.21
important,6,0.01,0.0,0.0,0.01
beet,6,0.04,0.03,0.0,0.16
resistant,6,0.01,0.01,0.0,0.03
sometimes,6,0.01,0.0,0.01,0.01
based,6,0.01,0.0,0.01,0.01
common,6,0.02,0.01,0.01,0.02
grapes,6,0.01,0.01,0.0,0.03
cassava,6,0.03,0.02,0.01,0.09
mushroom,6,0.01,0.01,0.0,0.02
have,6,0.01,0.0,0.01,0.01
commonly,6,0.01,0.01,0.01,0.01
looks,6,0.01,0.01,0.0,0.01
resemble,6,0.01,0.0,0.0,0.01
has,6,0.01,0.01,0.01,0.02
pork,6,0.01,0.01,0.01,0.03
mushrooms,6,0.02,0.01,0.01,0.04
canada,6,0.01,0.0,0.0,0.01
extract,6,0.01,0.01,0.0,0.01
egyptian,6,0.01,0.01,0.0,0.02
planted,6,0.01,0.01,0.0,0.02
related,6,0.01,0.0,0.0,0.01
cherry,6,0.01,0.01,0.01,0.03
root,6,0.02,0.02,0.01,0.05
95,6,0.0,0.0,0.0,0.01
symptoms,6,0.0,0.0,0.0,0.01
caribbean,6,0.01,0.0,0.0,0.01
products,6,0.02,0.01,0.01,0.03
includes,6,0.01,0.0,0.0,0.01
reddish,6,0.01,0.01,0.0,0.02
noodles,6,0.01,0.01,0.01,0.02
ingredient,6,0.01,0.0,0.01,0.02
1986,6,0.0,0.0,0.0,0.01
strips,6,0.0,0.0,0.0,0.01
knife,6,0.01,0.01,0.0,0.01
why,6,0.0,0.0,0.0,0.01
diseases,6,0.0,0.0,0.0,0.01
some,6,0.01,0.0,0.01,0.01
apples,6,0.02,0.01,0.0,0.05
medicinal,6,0.01,0.01,0.0,0.01
cold,6,0.0,0.0,0.0,0.01
woman,6,0.0,0.0,0.0,0.01
solanum,6,0.06,0.05,0.0,0.24
feeds,6,0.01,0.0,0.0,0.01
rather,6,0.01,0.0,0.0,0.01
farmers,6,0.01,0.01,0.01,0.02
literally,6,0.01,0.0,0.0,0.01
primarily,6,0.0,0.0,0.0,0.01
nicknamed,6,0.01,0.0,0.0,0.01
refer,6,0.01,0.0,0.0,0.01
source,6,0.0,0.0,0.0,0.01
instead,6,0.01,0.01,0.0,0.03
so,6,0.01,0.0,0.01,0.01
usually,6,0.01,0.01,0.01,0.02
introduced,6,0.01,0.01,0.0,0.02
popular,6,0.01,0.01,0.0,0.02
uses,6,0.01,0.0,0.0,0.01
well,6,0.01,0.01,0.01,0.02
included,6,0.0,0.0,0.0,0.01
but,6,0.01,0.0,0.01,0.01
wayne,6,0.0,0.0,0.0,0.01
lima,6,0.02,0.02,0.0,0.06
including,6,0.01,0.0,0.01,0.01
brine,6,0.0,0.0,0.0,0.01
dal,6,0.01,0.0,0.0,0.02
harvests,6,0.0,0.0,0.0,0.01
viral,6,0.0,0.0,0.0,0.01
sprout,6,0.01,0.01,0.0,0.04
southwestern,6,0.0,0.0,0.0,0.01
themed,6,0.01,0.01,0.0,0.02
trout,6,0.0,0.0,0.0,0.01
habit,6,0.0,0.0,0.0,0.01
tool,6,0.0,0.0,0.0,0.01
beets,6,0.01,0.01,0.0,0.03
drawing,6,0.0,0.0,0.0,0.0
overnight,6,0.0,0.0,0.0,0.0
americas,6,0.01,0.0,0.0,0.01
gravy,6,0.01,0.01,0.0,0.03
designated,6,0.0,0.0,0.0,0.0
lucky,6,0.0,0.0,0.0,0.01
homemade,6,0.01,0.0,0.0,0.01
1969,6,0.0,0.0,0.0,0.01
dance,6,0.0,0.0,0.0,0.01
operations,6,0.02,0.02,0.0,0.09
pigeon,6,0.01,0.0,0.0,0.01
manage,6,0.0,0.0,0.0,0.0
belong,6,0.0,0.0,0.0,0.01
1967,6,0.0,0.0,0.0,0.01
suggested,6,0.0,0.0,0.0,0.01
reach,6,0.0,0.0,0.0,0.0
test,6,0.0,0.0,0.0,0.0
1970s,6,0.0,0.0,0.0,0.01
18th,6,0.0,0.0,0.0,0.0
tom,6,0.01,0.0,0.0,0.02
acid,6,0.01,0.0,0.0,0.01
san,6,0.01,0.0,0.0,0.02
pulp,6,0.02,0.02,0.0,0.08
park,6,0.0,0.0,0.0,0.01
larvae,6,0.01,0.01,0.0,0.02
agriculture,6,0.01,0.0,0.0,0.02
markets,6,0.01,0.01,0.0,0.04
differs,6,0.0,0.0,0.0,0.01
prior,6,0.0,0.0,0.0,0.0
queen,6,0.01,0.0,0.0,0.01
appear,6,0.0,0.0,0.0,0.01
disease,6,0.01,0.0,0.0,0.01
actually,6,0.0,0.0,0.0,0.0
recent,6,0.0,0.0,0.0,0.0
identified,6,0.0,0.0,0.0,0.01
shown,6,0.0,0.0,0.0,0.0
building,6,0.0,0.0,0.0,0.01
kinds,6,0.01,0.0,0.0,0.01
french,6,0.01,0.0,0.0,0.01
2008,6,0.0,0.0,0.0,0.01
feed,6,0.01,0.01,0.0,0.02
times,6,0.0,0.0,0.0,0.01
consisting,6,0.01,0.0,0.0,0.01
wide,6,0.01,0.0,0.0,0.01
established,6,0.0,0.0,0.0,0.01
mostly,6,0.0,0.0,0.0,0.01
50,6,0.0,0.0,0.0,0.01
because,6,0.01,0.0,0.0,0.01
western,6,0.0,0.0,0.0,0.01
simply,6,0.0,0.0,0.0,0.0
began,6,0.0,0.0,0.0,0.0
during,6,0.01,0.0,0.0,0.02
thick,6,0.01,0.0,0.0,0.01
stew,6,0.05,0.04,0.01,0.15
lamb,6,0.03,0.02,0.01,0.06
philippines,6,0.01,0.01,0.0,0.04
stems,6,0.02,0.02,0.0,0.07
yield,6,0.01,0.01,0.0,0.03
yellow,6,0.01,0.01,0.01,0.03
turnips,6,0.01,0.01,0.0,0.03
cultivation,6,0.03,0.02,0.01,0.04
gardens,6,0.05,0.05,0.0,0.25
removed,6,0.01,0.0,0.0,0.02
originally,6,0.01,0.0,0.0,0.02
traditionally,6,0.01,0.0,0.0,0.02
high,6,0.02,0.01,0.01,0.06
kebab,6,0.01,0.01,0.0,0.05
plantain,6,0.01,0.01,0.0,0.02
plantains,6,0.01,0.0,0.0,0.01
nation,6,0.0,0.0,0.0,0.01
november,6,0.0,0.0,0.0,0.01
table,6,0.01,0.01,0.0,0.04
1990s,6,0.0,0.0,0.0,0.01
regions,6,0.01,0.0,0.0,0.01
style,6,0.01,0.0,0.0,0.01
various,6,0.01,0.01,0.0,0.01
among,6,0.01,0.01,0.0,0.01
held,6,0.01,0.01,0.0,0.01
commercial,6,0.01,0.0,0.0,0.01
eggs,6,0.01,0.0,0.01,0.02
mid,6,0.01,0.0,0.0,0.01
meaning,6,0.01,0.0,0.0,0.01
golf,6,0.01,0.01,0.0,0.04
1964,6,0.0,0.0,0.0,0.02
2006,6,0.0,0.0,0.0,0.01
year,6,0.01,0.0,0.01,0.01
use,6,0.01,0.0,0.0,0.01
except,6,0.0,0.0,0.0,0.01
balls,6,0.01,0.0,0.0,0.01
specialty,6,0.01,0.01,0.0,0.02
might,6,0.0,0.0,0.0,0.01
july,6,0.0,0.0,0.0,0.01
enemies,6,0.0,0.0,0.0,0.01
companion,6,0.0,0.0,0.0,0.01
century,6,0.0,0.0,0.0,0.01
attack,6,0.0,0.0,0.0,0.01
ask,6,0.0,0.0,0.0,0.01
hundreds,6,0.0,0.0,0.0,0.01
program,6,0.0,0.0,0.0,0.01
broth,6,0.01,0.01,0.0,0.04
2005,6,0.0,0.0,0.0,0.0
begins,6,0.0,0.0,0.0,0.0
your,6,0.0,0.0,0.0,0.01
1993,6,0.01,0.01,0.0,0.03
best,6,0.01,0.0,0.0,0.01
rust,6,0.02,0.02,0.0,0.08
succeeded,6,0.0,0.0,0.0,0.02
1945,6,0.0,0.0,0.0,0.0
juices,6,0.01,0.01,0.0,0.06
fragrant,6,0.01,0.0,0.0,0.02
ranges,6,0.0,0.0,0.0,0.01
genetic,6,0.0,0.0,0.0,0.01
lands,6,0.0,0.0,0.0,0.0
originates,6,0.0,0.0,0.0,0.01
option,6,0.0,0.0,0.0,0.0
availability,6,0.0,0.0,0.0,0.01
savoury,6,0.0,0.0,0.0,0.01
enclosed,6,0.0,0.0,0.0,0.01
documented,6,0.0,0.0,0.0,0.01
programs,6,0.0,0.0,0.0,0.0
shoot,6,0.0,0.0,0.0,0.01
list,6,0.0,0.0,0.0,0.01
supposed,6,0.0,0.0,0.0,0.0
remove,6,0.0,0.0,0.0,0.0
stands,6,0.0,0.0,0.0,0.01
1994,6,0.01,0.0,0.0,0.02
earlier,6,0.0,0.0,0.0,0.02
sells,6,0.0,0.0,0.0,0.01
dressing,6,0.0,0.0,0.0,0.01
stock,6,0.0,0.0,0.0,0.01
site,6,0.0,0.0,0.0,0.01
edition,6,0.01,0.01,0.0,0.02
despite,6,0.0,0.0,0.0,0.01
order,6,0.01,0.0,0.0,0.01
look,6,0.0,0.0,0.0,0.01
pre,6,0.0,0.0,0.0,0.01
according,6,0.0,0.0,0.0,0.0
crop,6,0.03,0.01,0.01,0.04
roots,6,0.01,0.01,0.0,0.02
weeds,6,0.0,0.0,0.0,0.01
weed,6,0.01,0.01,0.0,0.01
soybeans,6,0.01,0.0,0.0,0.01
1978,6,0.0,0.0,0.0,0.0
irrigated,6,0.0,0.0,0.0,0.01
1939,6,0.0,0.0,0.0,0.01
furniture,6,0.0,0.0,0.0,0.01
laboratory,6,0.0,0.0,0.0,0.0
staff,6,0.01,0.0,0.0,0.02
relatively,6,0.0,0.0,0.0,0.01
pioneer,6,0.0,0.0,0.0,0.01
beautiful,6,0.0,0.0,0.0,0.01
pair,6,0.0,0.0,0.0,0.01
non,5,0.09,0.08,0.01,0.4
chilled,5,0.02,0.02,0.0,0.07
prepares,5,0.01,0.01,0.0,0.05
eat,5,0.02,0.01,0.01,0.04
chosen,5,0.01,0.01,0.0,0.04
runs,5,0.01,0.01,0.0,0.04
cook,5,0.01,0.01,0.0,0.04
healthy,5,0.01,0.01,0.0,0.04
launched,5,0.01,0.01,0.0,0.04
books,5,0.01,0.01,0.0,0.04
not,5,0.01,0.01,0.0,0.03
no,5,0.01,0.01,0.01,0.03
invites,5,0.01,0.01,0.0,0.03
hectares,5,0.01,0.01,0.0,0.03
stalls,5,0.01,0.01,0.0,0.03
understand,5,0.01,0.01,0.0,0.03
girlfriend,5,0.01,0.01,0.0,0.03
owing,5,0.01,0.01,0.0,0.02
mutton,5,0.01,0.01,0.01,0.02
breed,5,0.01,0.01,0.0,0.02
wholesale,5,0.02,0.02,0.0,0.06
printed,5,0.01,0.01,0.0,0.02
path,5,0.01,0.01,0.0,0.02
sketch,5,0.01,0.01,0.0,0.02
freshly,5,0.01,0.01,0.0,0.02
organized,5,0.01,0.01,0.0,0.02
stay,5,0.01,0.01,0.0,0.02
journey,5,0.01,0.0,0.0,0.02
preparations,5,0.01,0.01,0.0,0.02
choose,5,0.01,0.01,0.0,0.02
alcohol,5,0.01,0.01,0.0,0.02
kitchen,5,0.01,0.01,0.0,0.02
move,5,0.01,0.0,0.0,0.02
seasonal,5,0.01,0.01,0.0,0.02
looked,5,0.01,0.01,0.0,0.02
