,all,relation,bird,mammal,no-cat,animal,food,object,female,communication,fish,criminal,measure,mean,median
hippy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daddy,0.002091149023675366,0.0,0.0,0.0,0.0,0.0,0.0,0.0021171438850412444,0.0,0.0,0.0,0.0,0.0,0.00032371483913204695,0.0
spokesman,0.00035685199640705245,0.0,0.0,0.0,0.0,0.0,0.0,0.0003575991195175692,0.0,0.0,0.0,0.0,0.0,5.495777814804782e-05,0.0
assistant,0.0007043509484427579,0.0,0.0,0.0,0.0,0.0,0.0,0.0007071429386128943,0.0,0.0,0.0,0.0,0.0,0.00010857645285043479,0.0
idiot,0.0016548759788260578,0.0,0.0,0.0,0.0,0.0,0.0,0.0016356595697378446,0.0,0.0,0.0,0.0,0.0,0.0002531181191203002,0.0
duke,0.0002071567269456482,0.0,0.0,0.0,0.0,0.0,0.0,0.00020886462745868572,0.0,0.0,0.0,0.0,0.0,3.200164264648723e-05,0.0
boxer,0.0007349970622289642,0.0,0.0,0.0005380785086803099,0.0,0.0006005821767696084,0.0,0.0007403530787924557,0.0,0.0,0.0,0.0,0.0,0.00020107775588241065,0.0
brother,0.004143222605272134,0.0,0.0,0.0,0.0,0.0,0.0,0.004165768058063817,0.0,0.0,0.0,0.0,0.0,0.0006391531279489193,0.0
tsar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
masseur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
freelancer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steward,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
inmate,0.007835856520324798,0.0,0.0,0.0,0.0,0.0,0.0,0.007866218066735108,0.0,0.0,0.0,0.0,0.0,0.0012078518913123002,0.0
concierge,0.0038362499242917012,0.0,0.0,0.0,0.0,0.0,0.0,0.0038328361554385336,0.0,0.0,0.0,0.0,0.0,0.0005899296984407873,0.0
pirate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
neurobiologist,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
groom,0.0010459719173753976,0.0,0.0,0.0,0.0,0.0,0.0,0.0010534637880036703,0.0,0.0,0.0,0.0,0.0,0.0001614950542599283,0.0
countertenor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
friar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
macho,0.0013496800146249681,0.0,0.0,0.0,0.0018249504625882141,0.0,0.0,0.0013635221102138231,0.0,0.0,0.0,0.0,0.0,0.0003490886605713081,0.0
lad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lover,0.04133926113100882,0.0,0.0,0.0,0.0,0.0,0.0,0.041575502512877976,0.0,0.0,0.0,0.0,0.0,0.0063780587418374455,0.0
twin,0.0029057923475157865,0.0,0.0,0.0,0.0,0.0,0.0,0.0029469587113379442,0.0,0.0,0.0,0.0,0.0,0.00045021161991182543,0.0
batman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kidnapper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
king,0.0005130371840288339,0.0008372001551633096,0.0,0.0,0.0,0.0,0.0,0.0005162543082589371,0.0,0.0,0.0,0.0,0.0,0.00014357628057316002,0.0
lion,0.0011835362185414792,0.0,0.0,0.001044017465206431,0.0,0.00109374187990526,0.0,0.0011886174232249075,0.0,0.0,0.0,0.0,0.0,0.000346916383606006,0.0
ally,0.0003081902040071283,0.0,0.0,0.0,0.0,0.0,0.0,0.0003100089677302798,0.0,0.0,0.0,0.0,0.0,4.755378244133909e-05,0.0
comrade,0.0019378986858883088,0.0,0.0,0.0,0.0,0.0,0.0,0.001965712916434236,0.0,0.0,0.0,0.0,0.0,0.0003002778155632727,0.0
psychologist,0.0020896959731550053,0.0,0.0,0.0,0.0,0.0,0.0,0.002090349419154838,0.0,0.0,0.0,0.0,0.0,0.0003215419532546033,0.0
son,0.015222162262669654,0.0,0.0,0.0,0.014493620627551112,0.0,0.0,0.015302970176848263,0.0,0.0,0.0,0.0,0.0,0.0034629810051591565,0.0
paterfamilias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trafficker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fiance,0.05008032372918125,0.0,0.0,0.0,0.0,0.0,0.0,0.050147817564478184,0.0,0.0,0.0,0.0,0.0,0.007709857022589187,0.0
boyfriend,0.045599651339268306,0.0,0.0,0.0,0.04770527833817643,0.0,0.0,0.04591208581021475,0.0,0.0,0.0,0.0,0.0,0.010709001191358421,0.0
founder,0.0004001830595561737,0.0,0.0,0.0,0.0,0.0,0.0,0.0003998437243586721,0.0,0.0,0.0,0.0,0.0,6.154052183960352e-05,0.0
uncle,0.0024413251192862183,0.0,0.0,0.0,0.0,0.0,0.0,0.0024647353748549396,0.0,0.0,0.0,0.0,0.0,0.00037738926878008906,0.0
refugee,0.001329687978267864,0.0,0.0,0.0,0.0,0.0,0.0,0.0013365982330760058,0.0,0.0,0.0,0.0,0.0,0.00020509893933414383,0.0
lifeguard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suitor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cofounder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
womanizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
businessman,0.0003551891030929487,0.0,0.0,0.0,0.0,0.0,0.0,0.00035786773224433325,0.0,0.0,0.0,0.0,0.0,5.485052579517553e-05,0.0
robert,0.00033268755911754677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004014624973303917,0.0,0.0,0.0,0.0,5.6473081265226034e-05,0.0
hero,0.0006839045633708087,0.0,0.0,0.0,0.0,0.0,0.0009808703406655418,0.0006851044968746205,0.0,0.0,0.0,0.0,0.0,0.00018075995391622854,0.0
heir,0.0013623629305856762,0.0,0.0,0.0,0.0,0.0,0.0,0.0013782256409804708,0.0,0.0,0.0,0.0,0.0,0.00021081450550508826,0.0
gentleman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
