,all,relation,bird,mammal,no-cat,animal,food,object,female,communication,fish,criminal,measure,mean,median
handmaiden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temptress,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doe,0.005941311629661083,0.0,0.0,0.004684710028639177,0.0,0.004354076026706818,0.0,0.005578352835754065,0.0,0.0,0.0,0.0,0.0,0.0015814192708277805,0.0
damsel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barmaid,0.031126094446391535,0.0,0.0,0.0,0.0,0.0,0.0,0.031094408464429436,0.0,0.0,0.0,0.0,0.0,0.004786192531601613,0.0
aunt,0.013329823644595224,0.0,0.0,0.0,0.0,0.0,0.0,0.013333760363612257,0.0,0.0,0.0,0.0,0.0,0.0020510449237082676,0.0
peri,0.016790901437248873,0.0,0.0,0.0,0.0,0.0,0.0,0.0167920337381701,0.00800891508191411,0.0,0.0,0.0,0.0,0.00319937309671793,0.0
granddaughter,0.018131889484206725,0.0,0.0,0.0,0.0,0.0,0.0,0.018179994583450848,0.0,0.0,0.0,0.0,0.0,0.002793221851358275,0.0
queen,0.0007620969189875789,0.0007465142032034211,0.0,0.000666265579717658,0.0,0.0006406104965802501,0.0,0.0007626208872770418,0.0,0.0,0.0,0.0,0.0,0.0002752390835204577,0.0
grandmother,0.006594178672195242,0.0,0.0,0.0,0.0,0.0,0.0,0.006577684316718323,0.0,0.0,0.0,0.0,0.0,0.0010132202299164281,0.0
mistress,0.06719803385369656,0.0,0.0,0.0,0.0,0.0,0.0,0.067031873474135,0.06769570284692504,0.0,0.0,0.0,0.0,0.015532739244212048,0.0
ms,0.0018676589025863296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019400142388003958,0.0,0.0,0.0,0.00029289793395282504,0.0
molly,0.0017765675570872753,0.0,0.0,0.0,0.0,0.0016532472186402635,0.0,0.0017687233456105448,0.0,0.0,0.0030186703205976745,0.0,0.0,0.0006320929570719815,0.0
showgirl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mrs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cyprian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mare,0.009146461555492782,0.0,0.0,0.010219370040557467,0.0,0.00921060867247724,0.0,0.009120714741410086,0.0,0.0,0.0,0.0,0.0,0.0028997811546105827,0.0
widow,0.021884091924309818,0.0,0.0,0.0,0.0,0.0,0.0,0.021784252049863746,0.024991118227831993,0.0,0.0,0.0,0.0,0.005281497092461966,0.0
murderess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
maiden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wench,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dowager,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lassie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lioness,0.01595499708701435,0.0,0.0,0.012876415080833764,0.0,0.012094617281225144,0.0,0.01595973916447082,0.0,0.0,0.0,0.0,0.0,0.004375828354888005,0.0
noblewoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chairwoman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heroine,0.014847139053179805,0.0,0.0,0.0,0.0,0.0,0.0,0.014809034638823264,0.01459727426167123,0.0,0.0,0.0,0.0,0.003404111381051869,0.0
heiress,0.0031817010285182397,0.0,0.0,0.0,0.0,0.0,0.0,0.0031783449291625785,0.0,0.0,0.0,0.0,0.0,0.000489234304436986,0.0
goddaughter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scout,0.00047929524411248253,0.0,0.0,0.0,0.0,0.0,0.0,0.00048274233475385363,0.0,0.0,0.0,0.0,0.0,7.400289068202586e-05,0.0
