,animal,reptile,tool,criminal,medication,mammal,no-cat,measure,relation,fish,object,weapon,communication,vehicle,food,dangerous,all,cutlery,mean
bayonet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05625226249373728,0.05687973062994863,0.0,0.0,0.0,0.0,0.057871117088429826,0.0,0.009500172789561985
sniper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010801458544046114,0.0,0.0,0.0,0.0,0.0,0.010985096511356499,0.0,0.0012103641697445895
revolver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004520279500952939,0.0046636995953146815,0.0,0.0,0.0,0.0,0.004714966699261903,0.0,0.0007721636553071957
plot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013763442772863529,0.0,0.015584169896805245,0.0,0.0,0.0,0.014265772374327652,0.0,0.002422965835777579
fusil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
handgun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002675824462068323,0.00300037434864091,0.0,0.0,0.0,0.0,0.0028327028850049707,0.0,0.00047271676087301133
harpoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006626398149246162,0.0,0.0,0.0,0.0,0.0,0.0068409238834539745,0.0,0.0007481845573722298
buckshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shotgun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016492925174536595,0.0016818936765213579,0.0,0.0,0.0,0.0,0.0016984200806866476,0.0,0.00027942257081453695
sword,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021499193076069522,0.02071051057071989,0.0,0.0,0.0,0.0,0.022577036131016852,0.0,0.0035992633209892375
weapon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03228791015487146,0.03017267076014047,0.0,0.0,0.0,0.0,0.03440763009929954,0.0,0.0053815672785728595
grapeshot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024161564134536056,0.02348959784927631,0.0,0.0,0.0,0.0,0.025540781410256952,0.0,0.004066219077448295
nightstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shaft,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009933047928707744,0.0009800986572963712,0.0010168417959183632,0.0,0.0,0.0,0.0009985054633893007,0.0,0.00022159726163748942
grenade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013710458724688988,0.0,0.0,0.0,0.0,0.0,0.014062239419818484,0.0,0.0015429276746948596
pistol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002683431890507842,0.0027213092255590496,0.0,0.0,0.0,0.0,0.0027226743720710706,0.0,0.00045152308267433125
virus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027004877749956403,0.0,0.0034422467679102444,0.0,0.0,0.0,0.0030828139338901074,0.0,0.0005125304709331106
firearm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scimitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008470729413559395,0.008970908914159128,0.0,0.0,0.0,0.0,0.009162653297352446,0.0,0.0014780162013928316
blunderbuss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004582787011820165,0.00391959087006685,0.004667611951419938,0.0,0.0,0.0,0.004595411100634869,0.0,0.0009869667185523233
bow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024354522737327,0.002475685096514433,0.0027635163506183006,0.0,0.0,0.0,0.0025522617323999962,0.0,0.0005681619696258572
missile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017534784336633753,0.019185800542157856,0.0,0.029415217512077808,0.0,0.0,0.019227905562845187,0.0,0.004742428219650811
blender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003346564863619827,0.0,0.0,0.0,0.0,0.0,0.003398429207393814,0.0,0.00037472189283409117
crowbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0085627616584543,0.0,0.0,0.0,0.0,0.0,0.009441576643817921,0.0,0.0010002410167929013
glove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003377382874798637,0.0,0.0,0.0,0.0,0.0,0.003428130900317639,0.0,0.00037808409861757086
flack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032201117374285404,0.0033304345111396672,0.0,0.0,0.00414974004519467,0.0,0.0033932546947406683,0.0,0.0007829744993613081
crease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002695290615476183,0.002591047426040351,0.0,0.0,0.0,0.0,0.0028719377751256856,0.0,0.00045323754536901215
arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006152164527915417,0.00631356699296174,0.0,0.0,0.0,0.0,0.0062581524778646145,0.0,0.0010402157777078763
