,weapon,mammal,animal,no-cat,tool,all,relation,object,communication,measure,vehicle,mean
candle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lever,0.0,0.0,0.0,0.0,0.0,0.015049071731875288,0.0,0.015577835422813952,0.0,0.0,0.0,0.002784264286789931
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radiator,0.0,0.0,0.0,0.0,0.0,0.012225815370760795,0.0,0.01253438966894647,0.0,0.0,0.0,0.002250927730882479
bike,0.0,0.0,0.0,0.0,0.0,0.0004601443163509042,0.0,0.00047629238167489163,0.0,0.0,0.0,8.513060891143598e-05
paint,0.0,0.0,0.0,0.0,0.0,0.0011627502435020455,0.0011589864026532114,0.0011810264250849062,0.0,0.0,0.0,0.0003184330064763784
wheel,0.0,0.0,0.0,0.0,0.0,0.0832465958561016,0.0,0.08488964068065386,0.0,0.0,0.09140394537134329,0.02359456199164534
grindstone,0.0,0.0,0.0,0.0,0.0,0.013266499320583396,0.0,0.01307265037977855,0.0,0.0,0.0,0.002394468154578359
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mandrel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.0,0.0,0.0,0.0,0.0006299664588557746,0.0,0.0006447943159822184,0.0,0.0,0.0,0.00011588734316709028
tire,0.0,0.0,0.0,0.0,0.0,0.010526890488460498,0.0,0.010768296651738255,0.0,0.0,0.0,0.0019359261036544324
propeller,0.0,0.0,0.0,0.0,0.0,0.003929746030305253,0.0,0.004048062874879427,0.0,0.0,0.0,0.0007252553550167891
flywheel,0.0,0.0,0.0,0.0,0.0,0.02542464829295,0.0,0.026243622796390156,0.0,0.0,0.0,0.004697115553576377
cloth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grip,0.0,0.0,0.0,0.0,0.0,0.011628653684711441,0.0,0.011955643878902947,0.0,0.0,0.0,0.002144027051237672
sprocket,0.0,0.0,0.0,0.0,0.0,0.058460014521624276,0.0,0.06027819771052165,0.0,0.0,0.0,0.010794382930195084
bearing,0.0,0.0,0.0,0.0,0.0,0.04070787603936689,0.035153987630588274,0.041737786346544806,0.0,0.0,0.0,0.010690877274227269
lathe,0.0,0.0,0.0,0.0,0.0,0.0038103503235233584,0.0,0.003931349769817498,0.0,0.0,0.0,0.0007037909175764415
windscreen,0.0,0.0,0.0,0.0,0.0,0.009958362054359644,0.0,0.009782104396769464,0.0,0.0,0.0,0.0017945878591935553
quoit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hubcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plastic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cart,0.0,0.0,0.0,0.0,0.0,0.016157840276320223,0.0,0.016638298925042583,0.0,0.0,0.021199807478587948,0.004908722425450068
bolt,0.0,0.0,0.0,0.0,0.0,0.006243024030904938,0.0,0.0064861436699485625,0.0,0.0,0.0,0.0011571970637139545
noseband,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bumper,0.0,0.0,0.0,0.0,0.0,0.003859518644245968,0.0,0.00372211860540507,0.0,0.0,0.0,0.0006892397499682762
pencil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
polyurethane,0.0,0.0,0.0,0.0,0.0,0.002245553029943852,0.0034115906650784376,0.0,0.0,0.0,0.0,0.0005142857904565718
brick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kickstand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
acrylic,0.0,0.0,0.0,0.0,0.0,0.002805282849647458,0.004194553800157967,0.002717619900254658,0.0,0.0,0.0,0.000883405140914553
ski,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
driveshaft,0.0,0.0,0.0,0.0,0.0,0.1292235730860868,0.0,0.12588868127898684,0.0,0.0,0.0,0.023192023124097606
headboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
windshield,0.0,0.0,0.0,0.0,0.0,0.0032718005744868358,0.0,0.0031408877480207653,0.0,0.0,0.0,0.0005829716656825092
ferrule,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
leather,0.0,0.0,0.0,0.0,0.0,0.00041704007756821707,0.0005896208100984253,0.0,0.0,0.0,0.0,9.151462615151294e-05
gearshift,0.0,0.0,0.0,0.0,0.0,0.016738281147358005,0.0,0.016314296807508198,0.0,0.0,0.0,0.0030047798140787453
handrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
surfboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vaporizer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
headstock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paddle,0.0,0.0,0.0,0.0,0.0,0.0019162261730213531,0.0,0.001888222222134355,0.0,0.0,0.0,0.00034585894501415525
handlebar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
piston,0.0,0.0,0.0,0.0,0.0,0.006089493834135291,0.0,0.0059464999124647176,0.0,0.0,0.0,0.00109418124969091
fireplace,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fusee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kiln,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breechblock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
backboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimney,0.0,0.0,0.0,0.0,0.0,0.0007577282964453758,0.0,0.0007362254788391534,0.0,0.0,0.0,0.00013581397957132082
chamfer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
