,food,communication,cold,all,relation,object,measure,mean
people,0.0,0.0,0.0015239516255167189,0.0013936758018052375,0.0,0.0,0.0,0.0004168039181888509
icicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky,0.0,0.0,0.0018728574445543858,0.0017743838881447817,0.0,0.0,0.0,0.0005210344760998811
slime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowfall,0.0,0.0,0.0010684255685348908,0.0010027935617113808,0.0,0.0,0.0,0.0002958884471780388
river,0.0,0.0,0.0004698707126126132,0.0004340619618102304,0.0,0.0,0.0,0.00012913323920326337
flame,0.0,0.0,0.0009264067364470377,0.0007260596583335538,0.0,0.0,0.0,0.00023606662782579878
tummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightning,0.0,0.0,0.0002457870918402588,0.00021031350214877463,0.0,0.0,0.0,6.515722771271906e-05
hatred,0.0,0.0,0.00025489622865220595,0.00017488585832972728,0.0,0.0,0.0,6.139744099741904e-05
glass,0.0,0.0,0.0,0.012090508368029655,0.0,0.012035112845681562,0.014804953150431913,0.0055615106234490185
toilet,0.0,0.0,0.0,0.002669446107436364,0.0,0.0027152685857183625,0.0,0.000769244956164961
rain,0.0,0.0,0.0,0.00470613206001979,0.0052530928880557696,0.0,0.0,0.0014227464211536514
eggshell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shelf,0.0,0.0,0.0,0.004846479813376568,0.0,0.005088671848040921,0.0,0.0014193073802024985
snowdrift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0025328851087694673,0.0,0.0026122589607698718,0.0,0.0007350205813627627
freezer,0.0,0.0,0.0,0.0032314672361638697,0.0,0.00324827091290177,0.0,0.0009256768784379485
vapor,0.0,0.0,0.0,0.001381483728438836,0.0016451380304712624,0.0,0.0,0.00043237453698715685
balloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toe,0.0,0.0,0.0,0.000739708117609894,0.0,0.0007246099929761961,0.0,0.0002091883015122986
fridge,0.0,0.0,0.0,0.016756584991762757,0.0,0.016413149553760845,0.0,0.004738533506503372
snowbank,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
foam,0.0,0.0,0.0,0.008932087453881762,0.010748832985956806,0.0,0.0,0.0028115600628340807
kettle,0.0,0.0,0.0,0.012413491378993873,0.0,0.011762660625899375,0.014211146478136502,0.005483899783289964
skin,0.0,0.0,0.0,0.004702034632544505,0.005110605993184385,0.004602376525173139,0.0,0.0020592881644145755
permafrost,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finger,0.0,0.0,0.0,0.0011264284163025656,0.0,0.0010897587689123744,0.0013077569957909544,0.0005034205972865563
candle,0.0,0.0,0.0,0.004802533463786717,0.0,0.0046644991519122145,0.006255415434383598,0.002246064007154647
shoe,0.0,0.0,0.0,0.0033331867564548178,0.0,0.003363368697744513,0.0,0.000956650779171333
mug,0.0,0.0,0.0,0.3823234903032877,0.0,0.37741493716516356,0.49236561449558003,0.17887200599486164
puddle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dogwood,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bottle,0.0,0.0,0.0,0.007791692773995575,0.0,0.0075939054749495005,0.010193140677722761,0.0036541055609525482
snow,0.0,0.0,0.0,0.0005619967626623369,0.0,0.0005420625220384963,0.0,0.00015772275495726189
pavement,0.0,0.0,0.0,0.0034850070897609903,0.0,0.0032495882269405305,0.0,0.0009620850452430744
winter,0.0,0.0,0.0,0.00162613217982001,0.0,0.0,0.0020422877982934754,0.000524059996873355
fireplace,0.0,0.0,0.0,0.004339109538817524,0.0,0.004153652441209345,0.0,0.00121325171143241
surface,0.0,0.0,0.0,0.0011442180413379697,0.0,0.0010995686061035371,0.0,0.000320540949634501
hair,0.0,0.0,0.0,0.0019153099001846907,0.0,0.0018671785020160504,0.0023257242996778398,0.000872601814554083
growler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toaster,0.0,0.0,0.0,0.0285880952572407,0.0,0.02781376894530998,0.0,0.008057409171792955
basement,0.0,0.0,0.0,0.005314900949045445,0.0,0.005732902031768203,0.0,0.001578257568687664
pillow,0.0,0.0,0.0,0.004278026367500428,0.0,0.0041154056123830305,0.0,0.0011990617114119226
atmosphere,0.0,0.0,0.0,0.0019117941209972232,0.0,0.0018222517133518652,0.002361576287630125,0.0008708031602827447
bathtub,0.0,0.0,0.0,0.001944664024086078,0.0,0.001910950433570209,0.0,0.0005508020653794696
pomade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sawdust,0.0,0.0,0.0,0.014847576447366494,0.015405890186229043,0.0,0.0,0.004321923804799363
lip,0.0,0.0,0.0,0.0013413064013090136,0.0,0.0013946387480417305,0.0,0.0003908493070501063
heat,0.0,0.0,0.0,0.002639637688700307,0.0,0.0027049425305191526,0.002659325901802883,0.001143415160146049
jungle,0.0,0.0,0.0,0.001711667857915537,0.0,0.0016928784592653175,0.0,0.00048636375959726494
outfit,0.0,0.0,0.0,0.0022659572549477347,0.0,0.002297989223248754,0.0,0.0006519923540280698
summertime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steam,0.0,0.0,0.0,0.003862730383292961,0.003973847230867051,0.0,0.0,0.0011195110877371445
cheesecloth,0.0,0.0,0.0,0.005754716116140716,0.0,0.006254134736910171,0.0,0.0017155501218644124
dust,0.0,0.0,0.0,0.0014676047792359554,0.0015477076850336567,0.0,0.0,0.00043075892346708747
tile,0.0,0.0,0.0,0.001991071302196884,0.0,0.0020804908735373227,0.0,0.0005816517393906009
lava,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bath,0.0,0.0,0.0,0.001000495024665865,0.0,0.0009850475938352643,0.0009464469106611078,0.0004188556470231768
heating,0.0,0.0,0.0,0.0010945491376485237,0.0,0.0011738956496523069,0.0,0.0003240635410429758
