,reptile,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,object,vegetable,measure,animal,mean
tyre,0.0,0.0,0.0,0.0,0.0,0.0,0.010227447454327921,0.0,0.0,0.0,0.010337987521550882,0.0,0.0,0.0,0.0014689596411342001
ring,0.0,0.0,0.0,0.0,0.0,0.0,0.054622424381026845,0.0,0.0,0.0,0.0557022212748606,0.0,0.0,0.0,0.007880331832563389
weasel,0.0,0.0,0.0,0.0,0.0,0.0,0.011547026168097302,0.008954408725779597,0.0,0.0,0.010511799001216343,0.0,0.0,0.011617029405837257,0.0030450188072093216
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0037108907885199122,0.0,0.0,0.0,0.0038201040595196856,0.0,0.0,0.0041306126518890155,0.0008329719642806153
penguin,0.0,0.0,0.0,0.0,0.0,0.0,0.0009788315553689345,0.0,0.0,0.0013628630432852124,0.0009784010348528266,0.0,0.0,0.0012503790829616066,0.00032646247974775576
pot,0.0,0.0,0.0,0.0,0.0,0.0,0.0008677968219797541,0.0,0.0008499660522034774,0.0,0.000888843269578143,0.0,0.0015857935201904923,0.0,0.00029945711885370475
bra,0.0,0.0,0.0,0.0,0.0,0.0,0.0004096590901790798,0.0,0.0,0.0,0.00038817469319517447,0.0,0.0,0.0,5.698812738387531e-05
football,0.0,0.0,0.0,0.0,0.0,0.0,0.0020577648560855246,0.0,0.0,0.0,0.0020734838500179455,0.0,0.0,0.0,0.000295089193293105
human,0.0,0.0,0.0,0.0,0.0,0.0,0.0014948014157927642,0.0016583867569162365,0.0,0.0,0.001513493261014125,0.0,0.0,0.0017779625058735773,0.0004603317099711931
eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0015852739906458198,0.0,0.0,0.0,0.0015900718045284918,0.0,0.0,0.0,0.00022681041394102225
cow,0.0,0.0,0.0,0.0,0.0,0.0,0.00019513128449279382,0.00024085620343320945,0.0,0.0,0.0001991741781867476,0.0,0.0,0.0002600790932498951,6.394576852590329e-05
sheep,0.0,0.0,0.0,0.0,0.0,0.0,0.0012869452436374725,0.0012144709554459188,0.0,0.0,0.0012915475521769948,0.0,0.0,0.0014813868387710126,0.00037673932785938565
rat,0.0,0.0,0.0,0.0,0.0,0.0,0.0014458245418063616,0.001546541425111816,0.0,0.0,0.001513223241213851,0.0,0.0,0.001735425148193736,0.0004457867397375547
paint,0.0,0.0,0.0,0.0,0.0,0.0,0.004793220505106473,0.0,0.00439634136070588,0.0,0.0047969362280791475,0.0,0.0,0.0,0.0009990355781351072
zebra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tar,0.0,0.0,0.0,0.0,0.0,0.0,0.00038903261766103976,0.0,0.00037852749648241174,0.0,0.0003744198393613072,0.0,0.0,0.0,8.156999667891134e-05
jean,0.0,0.0,0.0,0.0,0.0,0.0,0.0006181275623612002,0.0,0.0,0.0,0.0006361423893613057,0.0,0.0,0.0,8.959071083732187e-05
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lantern,0.0,0.0,0.0,0.0,0.0,0.0,0.0037803458915606084,0.0,0.0,0.0,0.003719861864809531,0.0,0.0,0.0,0.00053572912545501
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calf,0.0,0.0,0.0,0.0,0.0,0.0,0.00038213533390505023,0.0,0.0003785512793328067,0.0,0.00038169270480758045,0.0,0.0,0.0004276267149599896,0.00011214328807181621
opossum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0014634765101942818,0.0013640149918112258,0.0,0.0,0.0014491731544844567,0.0,0.0,0.0018121956541049399,0.0004349185936139217
raccoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umbrella,0.0,0.0,0.0,0.0,0.0,0.0,0.0013436957019000674,0.0,0.0,0.0,0.001349646885063256,0.0,0.0,0.0,0.00019238161335452308
hair,0.0,0.0,0.0,0.0,0.0,0.0,0.008931376657544784,0.0,0.0,0.0,0.009054257468898212,0.0,0.010798783184861766,0.0,0.00205602980795034
hose,0.0,0.0,0.0,0.0,0.0,0.0,0.1653078366090517,0.0,0.0,0.0,0.1704130297873757,0.0,0.0,0.0,0.0239800618854591
leopard,0.0,0.0,0.0,0.0,0.0,0.0,0.0024825550387350976,0.0025785034551308863,0.0022475279667770968,0.0,0.0024960521985837674,0.0,0.0,0.003115123045956819,0.0009228401217988334
woodpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miner,0.0,0.0,0.0,0.0,0.0,0.0,0.0016096088814549208,0.0,0.0,0.0,0.0016603708410536148,0.0,0.0,0.0,0.00023356998017918113
suit,0.0,0.0,0.0,0.0,0.0,0.0,0.002491895327590652,0.0,0.0021853062678825444,0.0,0.002611852287653314,0.0,0.0,0.0,0.0005206467059376079
rhino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0009825827020040648,0.0,0.0,0.0,0.0009687635756239702,0.0,0.0,0.0,0.00013938187697343108
sand,0.0,0.0,0.0,0.0,0.0,0.0,0.001962051921018698,0.0,0.001991622206383177,0.0,0.0,0.0,0.0,0.0,0.0002824052948144196
fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0013233365090444614,0.0014157617209364444,0.0013249794261975818,0.0,0.0012938736813912948,0.0,0.0,0.0012922568302302154,0.0004750148691285713
pyramid,0.0,0.0,0.0,0.0,0.0,0.0,0.0003560537310735067,0.0,0.0003830160023091474,0.0,0.0,0.0,0.0,0.0,5.279069524161815e-05
sun,0.0,0.0,0.0,0.0,0.0,0.0,0.0007220025133699528,0.0,0.0,0.0,0.0007180238249352095,0.0,0.0,0.0,0.00010285902416465443
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rain,0.0,0.0,0.0,0.0,0.0,0.0,0.005152845191016892,0.0,0.004913590624306091,0.0,0.0,0.0,0.0,0.0,0.0007190311296659274
brick,0.0,0.0,0.0,0.0,0.0,0.0,0.007133404390257731,0.0,0.0,0.0,0.0071143909826987695,0.0,0.0,0.0,0.0010176996694968928
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supermarket,0.0,0.0,0.0,0.0,0.0,0.0,0.006666100161701938,0.0,0.0,0.0,0.00670002233343973,0.0,0.0,0.0,0.0009547230353672621
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peacock,0.0,0.0,0.0,0.0,0.0,0.0,0.00232691173458009,0.0,0.0,0.0028485708083741605,0.002298156999360294,0.0,0.0,0.002236585063260847,0.0006935874718268137
bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.0036224003136983546,0.0,0.0,0.0,0.0036029710801758117,0.0,0.004212405290122565,0.0,0.0008169840488569094
parrot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.0010925729749276954,0.0009979743590398053,0.0,0.0,0.0010562361741135431,0.0,0.0,0.0009738932280319937,0.00029433405257950265
lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0015082088020299457,0.0014972567082604195,0.0,0.0,0.0014790233231182259,0.0,0.0,0.0014711812416956403,0.00042540500536458796
