,all,relation,no-cat,square,food,object,plant,communication,measure,mean,median
clipboard,0.009683285358312676,0.0,0.0,0.0,0.0,0.010217214908673802,0.0,0.0,0.0,0.002211166696331831,0.0
bedroom,0.005943506832577322,0.0,0.0,0.0,0.0,0.006247742726747917,0.0,0.0,0.0,0.001354583284369471,0.0
wallpaper,0.012817198909657027,0.01577295001461394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031766832138078855,0.0
server,0.00435430402172593,0.0,0.0,0.0,0.0,0.004614561741096748,0.0,0.0,0.0,0.0009965406403136309,0.0
desk,0.03297563056059865,0.0,0.0,0.0,0.0,0.03470375913852202,0.0,0.0,0.0,0.007519932188791186,0.0
desktop,0.0017950081969084844,0.0,0.0,0.0,0.0,0.0019006360006089834,0.0,0.0,0.0,0.00041062713305749644,0.0
bucket,0.009615235554061533,0.0,0.0,0.0,0.0,0.009613664743142066,0.0,0.0,0.012016041815945141,0.0034716602347943043,0.0
egg,0.0009678569153873484,0.0,0.0,0.0,0.0014270178881466125,0.000974986829268726,0.0,0.0,0.0,0.0003744290703114096,0.0
disk,0.0006491928223008028,0.0,0.0,0.0,0.0,0.000652115427298278,0.0,0.0,0.0,0.00014458980551100898,0.0
barrel,5.476597506209344e-05,0.0,0.0,0.0,0.0,5.520014597306857e-05,0.0,0.0,8.293487710958742e-05,2.1433444238305494e-05,0.0
apple,0.00015943619836031382,0.0,0.00020959369195858895,0.0,0.00017637295012946203,0.00015969701136787727,0.00023289153216980358,0.0,0.0,0.00010422126488733841,0.00013182873162382612
orange,0.0011145640199246823,0.0014553887562471814,0.0014751669839533359,0.0,0.0013741084299086867,0.0011093700663465404,0.001488728901756787,0.0,0.0,0.0008908141286819125,0.0011119670431356113
door,0.005588624739431396,0.0,0.0,0.0,0.0,0.005599333552321865,0.0,0.0,0.0,0.0012431064768614736,0.0
globe,0.0010935218900289668,0.0,0.0,0.0,0.0,0.0010994523505637687,0.0,0.0,0.0,0.00024366380451030392,0.0
bracelet,0.0032477339781822705,0.0,0.0,0.0,0.0,0.0032724920118169893,0.0,0.0,0.0,0.0007244695544443622,0.0
wheel,0.00030201740305646236,0.0,0.0003678404728897039,0.0,0.0,0.00030316978022081845,0.0,0.0,0.0,0.00010811418401855386,0.0
mug,0.002009704399301931,0.0,0.0,0.0,0.0,0.0020285647670382346,0.0,0.0,0.0030794578796580468,0.0007908585606664681,0.0
frisbee,0.00558737470653732,0.0,0.0,0.007158173643002798,0.0,0.0,0.0,0.0,0.0,0.0014161720388377909,0.0
tape,0.0017042253052655127,0.0,0.0,0.0,0.0,0.0017200457285017478,0.0,0.002318497124492334,0.0,0.0006380853509177327,0.0
circle,0.001987388577760445,0.002585278502243142,0.0,0.0,0.0,0.002001684319993781,0.0,0.0,0.0,0.0007304834888885964,0.0
sphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortilla,0.00263551624611073,0.0,0.0,0.0,0.003640409197476421,0.0,0.0,0.0,0.0,0.0006973250492874612,0.0
cds,0.002184341417450273,0.0,0.0,0.0032961655807724668,0.0,0.0,0.0,0.0,0.0,0.0006089452220247489,0.0
doorknob,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pen,0.0013145100335175378,0.0,0.0019595759688343464,0.0,0.0,0.0013090632841204354,0.0,0.0,0.0,0.0005092388096080355,0.0
ball,0.002942099502228857,0.0,0.003410156808980695,0.0,0.0,0.0029553245671230756,0.0,0.0,0.0,0.0010341756531480697,0.0
planet,0.0005007520580407928,0.0,0.0,0.0,0.0,0.0004998101481854655,0.0,0.0,0.0,0.00011117357846958425,0.0
