,all,criminal,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,female,mean
dame,0.00025597754912918863,,,,,0.000254562232633568,,,,,,,0.000324372919620643,0.00027830423379446653
headmistress,0.014938099160198833,,,,,0.014877696627952002,,,,,,,,0.014907897894075418
chambermaid,0.02217625364184555,,,,,0.022071077580409975,,,,,,,,0.02212366561112776
mum,0.011098222815938183,,,,,0.011062923863717471,,,0.011306185746038783,,,,,0.01115577747523148
diva,0.04996538126443364,,,,,0.049588607164031,,,,,,,,0.04977699421423232
missus,0.0,,,,,0.0,,,,,,,0.0,0.0
mademoiselle,0.024725165307691106,,0.015921202903922613,,,0.024651648289532282,,,,0.014390466213878775,,,,0.019922120678756195
nymph,0.0,,0.0,,,0.0,,,,,,,0.0,0.0
daughter,0.0281677113770184,,,,,0.02802573265371099,,,,,,,0.029657613206142897,0.028617019078957428
niece,0.012482808573589589,,,,,0.012363682984388509,,,,,,,,0.01242324577898905
handmaid,0.0,,,,,0.0,,,,,,,,0.0
countess,0.043969153886065065,,,,,0.0439308532441366,,,,,,,,0.04395000356510083
cow,0.00031251957641177365,,0.00036542924321718366,,,0.0003100067125327942,0.00039329202025813594,,,,,,,0.0003453118881049719
stepsister,0.010957109706791394,,,,,0.010910367561168262,,,,,,,,0.010933738633979829
landlady,0.034585462735702566,,,,,0.03436857089260189,,,,,,,,0.03447701681415223
flapper,0.02404435305253311,,,,,0.02402191129207858,,,,,,,0.025065928770244272,0.02437739770495199
sister,0.017978930534841012,,,,,0.017902252258682985,,,,,,,0.019511016093989274,0.018464066295837755
gal,0.01048498702654148,,,,,0.010421501081501902,,,,,,0.010855925899226392,0.01060961258647103,0.0105930066484352
granny,0.010619171361002669,,,,,0.010515278171508807,,,,,,,0.014781155134043466,0.01197186822218498
mom,0.0220757399431095,,,,,0.022003479619505235,,,,,,,,0.022039609781307368
goddess,0.025834458180996823,,,,,,,,,,,,0.023270594786908447,0.024552526483952633
policewoman,0.007153375750786252,,,,,0.007116841964761098,,,,,,,,0.007135108857773674
coquette,0.0,,,,,0.0,,,,,,,0.0,0.0
masseuse,0.04892745659180247,,,,,0.04863962537138975,,,,,,,,0.04878354098159611
grandma,0.010987054268046201,,,,,0.010894308479499003,,,,,,,,0.010940681373772602
hen,0.0039614132412786095,,0.002966261507723054,,0.003998684764562793,0.0039302110607515525,,0.0031789189202025663,,,,,,0.0036070978989037146
housemaid,0.013197758731946143,,,,,0.013171030030714322,,,,,,,,0.013184394381330233
bride,0.007765561856849781,,,,,0.007778453624110489,,,,,,,,0.007772007740480135
cinderella,0.013281540893696228,,,,,,,,,,,,0.013443514796177523,0.013362527844936876
concubine,0.0,,,,,0.0,,,,,,,0.0,0.0
empress,0.0016617868255646708,,,,,0.0016634258709624153,,,,,,,,0.001662606348263543
stepmother,0.00842375451146985,,,,,0.00837741775700392,,,,,,,,0.008400586134236884
bitch,0.017423774523035517,,0.015568854846526467,,,0.01724128674368127,0.015505013652474978,,,,,,,0.01643473244142956
mommy,0.0028191543748309913,,,,,0.0028002768414817493,,,,,,,,0.0028097156081563703
tigress,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
superwoman,0.031947741039337556,,,,,,,,,,,,0.03661909607592251,0.034283418557630035
chit,0.0,,,0.0,,0.0,,,,,,,0.0,0.0
ewe,0.002788293883470219,,0.0027524359219404876,,,0.00276072894736441,0.002857729518385398,,,,,,,0.0027897970677901287
matriarch,0.0140317144189031,,,,,0.014015836107407182,,,,,,,0.015412334415457607,0.01448662831392263
governess,0.043860165256639175,,,,,0.04365196628669263,,,,,,,,0.0437560657716659
witch,0.003794846855400387,,,,,0.0037865218018506685,,,,,,,0.0044298631357992425,0.004003743931016766
mother,0.03650393074208013,,,,,0.0361700208101276,,,,,,,0.03947666622994316,0.03738353926071697
housewife,0.06304525962360756,,,,,0.0626748150743513,,,,,,,0.06672330610143964,0.06414779359979951
businesswoman,0.07845516528036797,,,,,0.07820835020949245,,,,,,,,0.0783317577449302
soprano,0.0020717628662315674,,,0.004992856898103197,,0.0020713815873726607,,,,,,,,0.003045333783902475
girl,0.03394916208930429,,,,,0.033780666952014406,,,,,,,0.03649779072862511,0.0347425399233146
begum,0.00047396250408468087,,,,,0.0004743360409843479,,,,,,,0.0006123082191877634,0.0005202022547522641
lesbian,0.0058513593778450204,,,,,0.0058366560092135,,,,,,,,0.00584400769352926
handmaiden,0.0758763419402902,,,,,0.07530930825504538,,,,,,,,0.07559282509766779
temptress,0.0,,,,,0.0,,,,,,,0.0,0.0
doe,0.0012101443607538914,,0.0010316991712273384,,,0.0011332088295807298,0.0010890723807280328,,,,,,,0.001116031185572498
damsel,0.0027005924559693082,,,,,0.0026841772415092647,,,,,,,0.003532642703975964,0.002972470800484845
barmaid,0.05071885807645126,,,,,0.050533136587037786,,,,,,,,0.05062599733174453
aunt,0.011377389602531937,,,,,0.011350630664466422,,,,,,,,0.01136401013349918
peri,0.02736017358163081,,,,,0.027289605313952286,,,,,,,0.013474703702356917,0.022708160865980005
granddaughter,0.02014449931430428,,,,,0.020144490341291153,,,,,,,,0.020144494827797718
queen,0.010865834725443274,,0.010625494824693753,,,0.010844529271833861,0.010842250761841086,,,,0.013063998556059869,,,0.01124842162797437
grandmother,0.03016859317320905,,,,,0.030013489758984234,,,,,,,,0.03009104146609664
mistress,0.015103006026518043,,,,,0.015025789745771524,,,,,,,0.015709726722515742,0.015279507498268436
ms,0.003804104261243027,,,0.004156112019484637,,,,,,,,,,0.003980108140363832
molly,0.010855699943297482,,0.011752117612391283,,,0.010779165309254761,,,,0.016108565964300114,,,,0.012373887207310912
showgirl,0.0077336673918264875,,,,,0.007881876043134907,,,,,,,,0.007807771717480697
mrs,0.02123703725815343,,,,,,,,,,,,0.02490587858459213,0.02307145792137278
cyprian,0.0,,,,,0.0,,,,,,,0.0,0.0
mare,0.0011464486230200678,,0.0013430495613563946,,,0.001140195905507308,0.0014619913051439565,,,,,,,0.0012729213487569317
widow,0.025123629705129723,,,,,0.024942824272925757,,,,,,,0.029623764170808507,0.02656340604962133
murderess,0.04263287245848781,0.03451116914498682,,,,0.042365467605876894,,,,,,,,0.03983650306978384
maiden,0.003240078889501871,,,,,0.0032224198108012606,,,,,,,0.004493858316527212,0.003652119005610115
wench,0.0,,,,,0.0,,,,,,,0.0,0.0
dowager,0.006343671427497164,,,,,0.006350812640076784,,,,,,,0.007176867867255316,0.006623783978276422
lassie,0.018131834971318494,,,,,0.018012585863450316,,,,,,,0.013644973459542006,0.01659646476477027
lioness,0.012999048664139218,,0.01146328777799454,,,0.012968500108537104,0.011973716999854098,,,,,,,0.01235113838763124
noblewoman,0.0,,,,,0.0,,,,,,,,0.0
chairwoman,0.0016857679586952251,,,,,0.0016340199309716743,,,,,,,,0.0016598939448334497
heroine,0.0786268673788691,,,,,0.0782175244044661,,,,,,,0.07981796741012727,0.07888745306448748
heiress,0.005184468073405322,,,,,0.0051652932587485595,,,,,,,,0.005174880666076941
goddaughter,0.0,,,,,0.0,,,,,,,,0.0
angler,0.004479370048058766,,0.004025474802261734,,,0.004554780804967998,,,,0.0043509531703061115,,,,0.004352644706398652
scout,0.0003714494484838862,,,,,0.00037693977890443993,,,,,,,,0.0003741946136941631
communist,5.9617783522850965e-05,,,,,6.059545629276254e-05,,,,,,,,6.010661990780675e-05
fox,0.00016506179417148393,,0.00017516058355951104,,,0.0001682965865160342,0.000196457254899779,,,,0.00035793270055520894,,,0.0002125817839404034
henchman,0.0,0.0,,,,0.0,,,,,,,,0.0
prefect,0.0,,,,,0.0,,,,,,,,0.0
prisoner,0.0034131236574797786,,,,,0.003454567827748546,,,,,,,,0.0034338457426141625
separatist,0.0001237871978873617,,,,,0.00012638214165569905,,,,,,,,0.00012508466977153036
socialite,0.012362913107460646,,,,,0.012512189851326877,,,,,,,,0.012437551479393762
newcomer,0.0027959340732717284,,,,,0.002809553850956945,,,,,,,,0.002802743962114337
dad,0.0043761347619220075,,,,,0.004406268643162597,,,,,,,,0.004391201702542302
orthodontist,0.0,,,,,0.0,,,,,,,,0.0
poet,0.006457903385288726,,,,,0.00652019282784757,,,,,,,,0.006489048106568148
nephew,0.0005883391452698697,,,,,0.000597936919309512,,,,,,,,0.0005931380322896909
webmaster,0.0153025667014766,,,,,0.01546071260299524,,,,,,,,0.01538163965223592
senator,0.002206533715512946,,,,,0.0022463602359754876,,,,,,,,0.0022264469757442167
hound,0.0011815623073338872,,0.0014809484338178505,,,0.0012038667358231225,0.001626749535191187,,,,,,,0.0013732817530415118
hermit,0.010140378068202657,,,,,0.010307402528212597,,,,,,,,0.010223890298207628
grandpa,0.0,,,,,0.0,,,,,,,,0.0
father,0.006227179078568258,,,,,0.006270469126859541,,,,,,,,0.0062488241027139
valet,0.0009462529196952407,,,,,0.0009736096663965337,,,,,,,,0.0009599312930458873
genius,0.003229861975264759,,,,,0.0032640020562381355,,,,,,,,0.003246932015751447
dancer,0.009554451872302094,,,,,0.009662738722215316,,,,,,,,0.009608595297258705
fisherman,0.00042487758117137024,,,,,0.00043289401314376306,,,,,,,,0.0004288857971575667
millionaire,0.0004960614680563022,,,,,0.00048741061756133873,,,,,,,,0.0004917360428088205
stepfather,0.008373444460240822,,,,,0.008427791218536247,,,0.009873864428233268,,,,,0.008891700035670112
hitchhiker,0.0,,,,,0.0,,,,,,,,0.0
novice,0.013838646254762024,,,,,0.013982674611005516,,,,,,,,0.013910660432883769
settler,0.0,,,,,0.0,,,,,,,,0.0
baby,0.00333168940707595,,0.0035652609080187333,,,0.003403467815188015,,,,,,,0.003687637185871979,0.0034970138290386695
murderer,0.0022439755799908466,0.0032000506659644345,,,,0.0022847944531222105,,,,,,,,0.002576273566359164
bondsman,0.0,,,,,0.0,,,,,,,,0.0
kinsman,0.0,,,,,0.0,,,,,,,,0.0
christ,0.00015940654230059808,,,,,0.00016209716180404758,,,,,,,,0.00016075185205232284
boy,0.005198416835576275,,,,,0.005267829170157538,,,0.006709463756227303,,,,,0.005725236587320372
emperor,0.0004905356744700814,,0.0005783736936468798,,,0.0004889123968707319,,0.0009391396542176525,0.0009484820284204142,,,,,0.000689088689525152
nationalist,8.01023881012174e-05,,,,,8.124024994672322e-05,,,,,,,,8.067131902397031e-05
employer,0.0011561176342887204,,,,,0.001169323076653445,,,,,,,,0.0011627203554710826
docent,0.00988848931446183,,,,,0.009898368782497363,,,,,,,,0.009893429048479598
sculptor,0.00794665574204777,,,,,0.008127681901760896,,,,,,,,0.008037168821904334
junior,0.0013781428928014879,,,,,0.0013907233409037466,,,,,,,,0.0013844331168526172
choirmaster,0.0,,,,,0.0,,,,,,,,0.0
bull,0.001067010603736138,,0.0012320974599334337,0.0014439728399234608,,0.00108717082332431,0.0013198979214247147,,0.001521449995950984,,,,,0.0012785999407155068
grandfather,0.00034700114476245587,,,,,0.0003503038860731324,,,,,,,,0.00034865251541779413
diplomat,0.0011734752094015501,,,,,0.0011848799220430396,,,,,,,,0.001179177565722295
monk,0.0009063659032942915,,,,,0.0009174594463501562,,,,,,,,0.0009119126748222239
sophomore,0.00225526794824382,,,,,0.0022881140406352243,,,,,,,,0.002271690994439522
actor,0.002521914996069278,,,,,0.0025433585021321977,,,,,,,,0.0025326367491007376
baritone,0.0,,,0.0,,0.0,,,,,,,,0.0
hijacker,0.0,0.0,,,,0.0,,,,,,,,0.0
man,0.0035091657622524303,,0.0035920309684992083,,,0.0035391489469318253,0.003748889271236127,,0.004386444969559756,,,,,0.0037551359836958697
godson,0.0,,,,,0.0,,,,,,,,0.0
waiter,0.0,,,,,0.0,,,,,,,,0.0
cook,0.0035025221850427278,,,,,0.0035427043085356474,,,,,,,,0.0035226132467891876
tenor,0.00042228636526337897,,,0.0007185725194110206,,0.0004302074979377625,,,,,,,,0.000523688794204054
human,0.000472619158884455,,0.0005069205493790207,,,0.00047751818733642823,0.0005387400083808836,,,,,,,0.0004989494759951969
surveyor,0.0016884194530695674,,,,,0.0016876916978375177,,,,,,,,0.0016880555754535424
grandson,0.0024795725089628382,,,,,0.0025271619796655557,,,,,,,,0.0025033672443141967
sir,0.0002646883201427768,,,,,0.0002686958942123047,,,0.000412302727369714,,,,,0.0003152289805749318
husband,0.025576887574851593,,,,,0.02572329472666753,,,,,,,,0.02565009115075956
philosopher,0.004689431291249321,,,,,0.004713481013604001,,,,,,,,0.004701456152426661
superman,0.0006362358104047052,,,,,0.0006420065507059365,,,,,,,,0.0006391211805553208
imposter,0.020258338992086632,,,,,0.020078799495621663,,,,,,,,0.02016856924385415
rooster,0.0,,0.0,,0.0,0.0,,,,,,,,0.0
adventurer,0.002529150840380333,,,,,0.0025763540941249777,,,,,,,,0.002552752467252655
stallion,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
chairman,5.629946294230728e-05,,,,,5.704488127873026e-05,,,,,,,,5.667217211051877e-05
manager,0.001207304709913761,,,,,0.001226446693515956,,,,,,,,0.0012168757017148586
headmaster,0.0,,,,,0.0,,,,,,,,0.0
patriarch,0.0,,,,,0.0,,,0.0,,,,,0.0
ram,0.0001402939407942527,,0.0001846420064794037,,,0.0001404424130683886,0.0002009865184008721,,0.0002997147977327365,,,,,0.0001932159352951307
buck,0.00023837758304547777,,0.00028337502648936847,,,0.00024180301821725248,0.00031627490477147266,,,,,0.0004929750459703244,,0.00031456111569877916
god,0.002721540014977911,,,,,0.002736648633376721,,,,,,,,0.0027290943241773157
tiger,9.41806689071057e-05,,9.9861793943079e-05,,,9.599204322887633e-05,0.00011295344252969572,,,,,,,0.00010074698715218919
master,0.002805238705784999,,,,,0.0028138263450445686,,,,,,,,0.0028095325254147837
czar,0.0005206013796022935,,,,,0.0005308729269831058,,,,,,,,0.0005257371532926996
policeman,0.001066529732246508,,,,,0.0010850463642453224,,,,,,,,0.0010757880482459153
prince,0.000466051882503724,,,,,0.0004713950950048984,,,,,,,,0.0004687234887543112
homeboy,0.0,,,,,0.0,,,,,,,,0.0
pathologist,0.0013707136616841124,,,,,0.001400694415534995,,,,,,,,0.0013857040386095537
scorer,0.00015451804203740294,,,,,0.00015623756503628508,,,,,,,,0.000155377803536844
leader,0.000710453978356054,,,,,0.0007189890617111411,,,,,,,,0.0007147215200335975
biologist,0.0002604966185008852,,,,,0.0002644142939589184,,,,,,,,0.0002624554562299018
peacock,0.0030822678409291445,,0.003375079427819563,,0.004033444063150169,0.0031225819014505927,,,,,,,,0.003403343308337367
rover,0.00036577061648160656,,,,,0.00036869734068115936,,,0.0006632893486090801,,,,0.0004368711666996952,0.00045865711811788533
driver,0.0010863166690310354,,,0.0014227864376263717,,0.0011083094265919066,,,,,,,,0.0012058041777497713
liberal,0.00266298564908217,,,,,0.00269933611207053,,,,,,,,0.00268116088057635
pioneer,0.01233623223707134,,,,,0.01247363866508115,,,,,,,,0.012404935451076245
guard,0.00039385672880096233,,,,,0.0004022342256885752,,,,,,,,0.00039804547724476874
sidekick,0.004606904913723014,,,,,0.004668784314884617,,,,,,,,0.004637844614303816
hematologist,0.0,,,,,0.0,,,,,,,,0.0
godfather,0.001615144397215704,,,,,0.0016356730918782284,,,,,,,,0.0016254087445469662
mister,0.0,,,,,,,,,,,,0.0,0.0
bassist,0.0,,,,,0.0,,,,,,,,0.0
federalist,0.0015825324965157092,,,,,0.0015987501942864573,,,,,,,,0.0015906413454010832
hippy,0.0,,,,,0.0,,,,,,,,0.0
daddy,0.0008103107229659264,,,,,0.0008265649089417915,,,,,,,,0.0008184378159538589
spokesman,0.0006913926169934284,,,,,0.0006980604524570284,,,,,,,,0.0006947265347252284
assistant,0.0013100773665599614,,,,,0.0013251804968983736,,,,,,,,0.0013176289317291675
idiot,0.0025650276200108097,,,,,0.0025543446770388838,,,,,,,,0.0025596861485248468
duke,0.0012843566118194915,,,,,0.0013047024191135618,,,,,,,,0.0012945295154665267
boxer,0.003037952151687709,,0.0028572778166944036,,,0.0030831467719915294,0.0028697520462949862,,,,,,,0.0029620321966671572
brother,0.0026757998168124384,,,,,0.002710631147867609,,,,,,,,0.0026932154823400235
tsar,0.0,,,,,0.0,,,,,,,,0.0
masseur,0.0,,,,,0.0,,,,,,,,0.0
freelancer,0.014113138473728139,,,,,0.014211104329479696,,,,,,,,0.014162121401603917
steward,0.000703116945965011,,,,,0.0007180884346673671,,,,,,,,0.000710602690316189
inmate,0.0015181793574142136,,,,,0.0015355450959159808,,,,,,,,0.0015268622266650972
concierge,0.0029730587485030115,,,,,0.002992794103596922,,,,,,,,0.0029829264260499665
pirate,0.0008642681053056485,0.0013200142994061943,,,,0.0008767002338391718,,,0.0014016979443114772,,,,,0.001115670145715623
neurobiologist,0.0,,,,,0.0,,,,,,,,0.0
groom,0.0032424748345514062,,,,,0.003290305231144987,,,,,,,,0.0032663900328481965
countertenor,0.0,,,0.0,,0.0,,,,,,,,0.0
friar,0.0,,,,,0.0,,,,,,,,0.0
macho,0.002091979435308197,,,,,0.0021293583999314283,,,0.0036499009251764283,,,,,0.002623746253472018
lad,0.002042429245517197,,,,,0.002066777462130457,,,0.003343445343190673,,,,,0.0024842173502794425
lover,0.015378024400416622,,,,,0.015582435196733392,,,,,,,,0.015480229798575006
twin,0.0011676843119703643,,,,,0.0011931496209985815,,,,,,,,0.0011804169664844729
batman,0.000895613429705594,,,,,0.0009023397394893995,,,,,,,,0.0008989765845974967
kidnapper,0.0,0.0,,,,0.0,,,,,,,,0.0
king,0.00045439902237440324,,,,,0.00046069364439446127,,,,,0.0009568001773294966,,,0.0006239642813661204
lion,0.00022930744725622833,,0.00024391367645444328,,,0.00023202708590951124,0.00026100436630160776,,,,,,,0.00024156314398044766
ally,0.0027467129106683997,,,,,0.002783740079194896,,,,,,,,0.0027652264949316477
comrade,0.0010012358866941283,,,,,0.0010232586327005135,,,,,,,,0.001012247259697321
psychologist,0.005128401925877074,,,,,0.005168658320084707,,,,,,,,0.00514853012298089
son,0.009356270804362275,,,,,0.009476809593474453,,,0.011494940497712951,,,,,0.01010934029851656
paterfamilias,0.0,,,,,0.0,,,0.0,,,,,0.0
trafficker,0.0,,,,,0.0,,,,,,,,0.0
fiance,0.01940589736452007,,,,,0.019578464435828828,,,,,,,,0.019492180900174447
boyfriend,0.014927813858047721,,,,,0.015143340902969251,,,0.02015136757388487,,,,,0.016740840778300615
founder,0.0006202764521062086,,,,,0.0006244200858536058,,,,,,,,0.0006223482689799071
uncle,0.0016555041391176787,,,,,0.0016839722722128876,,,,,,,,0.001669738205665283
refugee,0.0007556971191561596,,,,,0.0007653478979123022,,,,,,,,0.0007605225085342309
lifeguard,0.00431464919619243,,,,,0.004373830248354609,,,,,,,,0.004344239722273519
monastic,0.0,,,,,0.0,,,,,,,,0.0
boar,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
suitor,0.004988283267247886,,,,,0.005017681012560463,,,,,,,,0.005002982139904175
cofounder,0.0,,,,,0.0,,,,,,,,0.0
womanizer,0.0,,,,,0.0,,,0.0,,,,,0.0
businessman,0.0002752683196255524,,,,,0.0002794339219036879,,,,,,,,0.0002773511207646201
robert,0.0003867447420028907,,,,,,,,,,,,0.0004414665387931737,0.00041410564039803224
hero,0.002650099036034686,,,,,0.0026747513009194963,,0.0034894866297529394,,,,,,0.002938112322235707
heir,0.0009238415042501587,,,,,0.0009416401403337433,,,,,,,,0.0009327408222919509
gentleman,0.0012957005804407609,,,,,0.0013090913981810063,,,0.0016728572752990436,,,,,0.0014258830846402705
