,all,criminal,animal,communication,bird,object,mammal,food,no-cat,fish,relation,measure,female,mean
mum,0.043216904283803134,,,,,0.043285624985706685,,,0.04678106841845185,,,,,0.04442786589598722
diva,0.054382110487726044,,,,,0.05423033869222086,,,,,,,,0.05430622458997345
missus,0.03748469868939976,,,,,0.03746658985953334,,,,,,,0.040611652232695944,0.038520980260543014
mademoiselle,0.03139589339306169,,0.0203795700130811,,,0.031452354306184795,,,,0.02158569932081816,,,,0.026203379258286436
nymph,0.05147721859703167,,0.052512579082566194,,,0.05128104093767698,,,,,,,0.051056499950438435,0.05158183464192832
daughter,0.3352404264491825,,,,,0.3351470119373048,,,,,,,0.35266554236451203,0.34101766025033314
niece,0.218738403904098,,,,,0.21768782671171427,,,,,,,,0.21821311530790613
handmaid,0.0,,,,,0.0,,,,,,,,0.0
countess,0.049628280456092945,,,,,0.04982236193176436,,,,,,,,0.049725321193928654
cow,0.0012698746310866344,,0.001496829784415246,,,0.0012656926914236149,0.0016356631159473907,,,,,,,0.0014170150557182215
stepsister,0.06492865892668655,,,,,0.06496109833575112,,,,,,,,0.06494487863121884
landlady,0.17566580243037797,,,,,0.17539962537439785,,,,,,,,0.1755327139023879
flapper,0.027139023411014696,,,,,0.027243458077983396,,,,,,,0.028267469343071516,0.02754998361068987
sister,0.24683239663718365,,,,,0.24695597178756143,,,,,,,0.26763333259814254,0.25380723367429586
gal,0.0473379022102683,,,,,0.04727645929109394,,,,,,0.057898271462540764,0.04785889264729014,0.05009288140279829
granny,0.026968343210145126,,,,,0.02683230352745398,,,,,,,0.03750541901847284,0.030435355252023982
mom,0.09513777580709495,,,,,0.09528019658384257,,,,,,,,0.09520898619546876
goddess,0.03222895104882424,,,,,,,,,,,,0.02900522950796487,0.030617090278394557
policewoman,0.07872211855965174,,,,,0.07869490432015476,,,,,,,,0.07870851143990325
coquette,0.09974887137118114,,,,,0.09966675881130443,,,,,,,0.09003097337503771,0.0964822011858411
masseuse,0.031063921960352917,,,,,0.03102897446315285,,,,,,,,0.031046448211752883
grandma,0.05813044796847475,,,,,0.05791560841991354,,,,,,,,0.058023028194194144
hen,0.02012073225983383,,0.015187579591453036,,0.01863201259119431,0.02005778913101466,,0.019073513521215398,,,,,,0.018614325418942246
housemaid,0.04468919780249306,,,,,0.04481213840015527,,,,,,,,0.044750668101324165
bride,0.026295126082902798,,,,,0.0264648352885066,,,,,,,,0.0263799806857047
cinderella,0.03372967070633633,,,,,,,,,,,,0.03411131612781805,0.03392049341707719
concubine,0.006975862017700935,,,,,0.006987553958279967,,,,,,,0.00731566874917135,0.007093028241717417
empress,0.0028135049920815463,,,,,0.0028297585752267793,,,,,,,,0.002821631783654163
stepmother,0.17114307326659606,,,,,0.17101623931644072,,,,,,,,0.1710796562915184
bitch,0.06883216124780693,,0.06199994881684271,,,0.06843722525459581,0.0626926203336346,,,,,,,0.06549048891322001
mommy,0.0326154851498431,,,,,0.03255213725723944,,,,,,,,0.03258381120354127
tigress,0.072014845569392,,0.07231023073832747,,,0.07218627706507744,0.08579283481569865,,,,,,,0.07557604704712388
superwoman,0.054089446081245704,,,,,,,,,,,,0.061944393833469086,0.058016919957357395
chit,0.0018156186747834856,,,0.002178637004203724,,0.0018193305468171372,,,,,,,0.0018397228792720356,0.0019133272762690955
ewe,0.0,,0.0,,,0.0,0.0,,,,,,,0.0
matriarch,0.04751307202310004,,,,,0.04768644411062516,,,,,,,0.0521426149321019,0.049114043688609034
governess,0.12376316063799248,,,,,0.12376518453229966,,,,,,,,0.12376417258514608
witch,0.007763425484256328,,,,,0.0077834681188520645,,,,,,,0.009054645512182918,0.008200513038430437
mother,0.3444132092876858,,,,,0.34289604895648024,,,,,,,0.3721368239829776,0.35314869407571453
housewife,0.13151820707282832,,,,,0.13137116701584872,,,,,,,0.1390698571728277,0.1339864104205016
businesswoman,0.07305612108384679,,,,,0.07317483420068675,,,,,,,,0.07311547764226678
soprano,0.007989576780049277,,,0.01964233150847373,,0.008026337104178874,,,,,,,,0.011886081797567295
girl,0.12741620417854085,,,,,0.12739059837610767,,,,,,,0.1368624118742718,0.13055640480964012
begum,0.004814682066751619,,,,,0.004841537586780413,,,,,,,0.006214636439664999,0.00529028536439901
lesbian,0.009390729050751882,,,,,0.009411962553296743,,,,,,,,0.009401345802024313
handmaiden,0.0642316040618969,,,,,0.06405670506549632,,,,,,,,0.06414415456369661
temptress,0.021162803895950558,,,,,0.02109565667537922,,,,,,,0.02387671512606024,0.02204505856579667
doe,0.011268659320547417,,0.009684420698310249,,,0.010602751240398826,0.010379750579708863,,,,,,,0.010483895459741339
damsel,0.0022861326854801576,,,,,0.002283111528797734,,,,,,,0.002987886572545682,0.002519043595607858
barmaid,0.0,,,,,0.0,,,,,,,,0.0
aunt,0.15935427388670226,,,,,0.15974035035496484,,,,,,,,0.15954731212083356
peri,0.011580604649753893,,,,,0.01160601683545891,,,,,,,0.005698409043177573,0.00962834350946346
granddaughter,0.22509859879640748,,,,,0.226175809130274,,,,,,,,0.22563720396334075
queen,0.023214645309465154,,0.02288408853882194,,,0.023280012947677644,0.023709014958394458,,,,0.03297104397481777,,,0.02521176114583539
grandmother,0.24978870301246991,,,,,0.2496938145307753,,,,,,,,0.24974125877162262
mistress,0.07990717844594665,,,,,0.0798791182344118,,,,,,,0.08304491400966175,0.08094373689667339
ms,0.007084634912992555,,,0.007896097381474518,,,,,,,,,,0.007490366147233536
molly,0.015928772237645307,,0.01738305476694233,,,0.015892168405838885,,,,0.0279215143381202,,,,0.019281377437136683
showgirl,0.09165494656407558,,,,,0.0938584922712653,,,,,,,,0.09275671941767044
mrs,0.051935838815007955,,,,,,,,,,,,0.06085511635781064,0.056395477586409296
cyprian,0.025600697475823418,,,,,0.025571236625712448,,,,,,,0.01767323144915287,0.022948388516896245
mare,0.003882012872422366,,0.004584372630949383,,,0.0038793182159431124,0.005066899255694318,,,,,,,0.004353150743752294
widow,0.049739461520015335,,,,,0.049617842599462184,,,,,,,0.05859775079778266,0.052651684972420065
murderess,0.03609000794911628,0.022127994222648755,,,,0.036035283370295504,,,,,,,,0.031417761847353516
maiden,0.051085100106057546,,,,,0.05104983439277921,,,,,,,0.07079132632266262,0.05764208694049979
wench,0.0,,,,,0.0,,,,,,,0.0,0.0
dowager,0.002685054267313086,,,,,0.0027009418997310337,,,,,,,0.0030350744372438275,0.002807023534762649
lassie,0.03069828658081275,,,,,0.030642344933361255,,,,,,,0.023081662312818576,0.028140764608997528
lioness,0.05502042702805651,,0.04891106056527483,,,0.05515383196596843,0.051872416700591485,,,,,,,0.052739434064972814
noblewoman,0.03178074924042717,,,,,0.031788298380812936,,,,,,,,0.03178452381062005
chairwoman,0.015697585706383712,,,,,0.015288538526792413,,,,,,,,0.015493062116588062
heroine,0.1501866813739215,,,,,0.15011983167456994,,,,,,,0.15232918597746373,0.15087856634198504
heiress,0.017555232213201363,,,,,0.017574011740057963,,,,,,,,0.01756462197662966
goddaughter,0.13020540367266129,,,,,0.13026378660542054,,,,,,,,0.1302345951390409
angler,0.004091072016208113,,0.0035993292454645828,,,0.004141937948445634,,,,0.0043509531703061115,,,,0.00404582309510611
scout,0.007463500762861154,,,,,0.007541031568861076,,,,,,,,0.007502266165861115
communist,0.0011978948269247248,,,,,0.0012122685755304918,,,,,,,,0.0012050817012276083
fox,0.002939688785874661,,0.0030540451796471765,,,0.0029843243700605924,0.003522095798601627,,,,0.005420350108266293,,,0.0035841008484900697
henchman,0.008170176864073795,0.00897175817816657,,,,0.008268295742136061,,,,,,,,0.008470076928125474
prefect,0.0010755739999654653,,,,,0.0010689923376945454,,,,,,,,0.0010722831688300054
prisoner,0.005766920099556353,,,,,0.0058116782033517675,,,,,,,,0.005789299151454061
separatist,0.0002826414963535279,,,,,0.0002873173325698872,,,,,,,,0.00028497941446170756
socialite,0.03839015952117115,,,,,0.03868551199725322,,,,,,,,0.038537835759212186
newcomer,0.010214264527023663,,,,,0.01021958966788251,,,,,,,,0.010216927097453088
dad,0.05315725073211977,,,,,0.0532915950819393,,,,,,,,0.053224422907029535
orthodontist,0.06428000590748753,,,,,0.06492608058276135,,,,,,,,0.06460304324512445
poet,0.008542067889765276,,,,,0.008587126066916265,,,,,,,,0.00856459697834077
nephew,0.07845141548135404,,,,,0.07938607532284812,,,,,,,,0.07891874540210109
webmaster,0.013976050591243249,,,,,0.014059362015952724,,,,,,,,0.014017706303597987
senator,0.008591364967557295,,,,,0.00870857160928509,,,,,,,,0.008649968288421192
hound,0.012949650792172838,,0.015890063967223846,,,0.013136986910645942,0.017947353581816587,,,,,,,0.014981013812964803
hermit,0.0,,,,,0.0,,,,,,,,0.0
grandpa,0.002995191661351686,,,,,0.003002182002722569,,,,,,,,0.0029986868320371275
father,0.2178804641215224,,,,,0.21844539514996558,,,,,,,,0.218162929635744
valet,0.002592678522975404,,,,,0.002656086646248367,,,,,,,,0.0026243825846118856
genius,0.012782807360476009,,,,,0.012862003630360564,,,,,,,,0.012822405495418287
dancer,0.02960680436273929,,,,,0.029812741677001896,,,,,,,,0.029709773019870593
fisherman,0.0027163269272168556,,,,,0.0027555971455697106,,,,,,,,0.002735962036393283
millionaire,0.004681619530114968,,,,,0.004580063835759143,,,,,,,,0.004630841682937056
stepfather,0.21107335291070925,,,,,0.21152366216855,,,0.2725186582192382,,,,,0.2317052244328325
hitchhiker,0.00723834084303929,,,,,0.007246225817114433,,,,,,,,0.007242283330076861
novice,0.0072223036246671,,,,,0.007265881476688841,,,,,,,,0.007244092550677971
settler,0.004379160664887526,,,,,0.004436842923039486,,,,,,,,0.004408001793963506
baby,0.03139992216595418,,0.03289574001580444,,,0.031937552787473365,,,,,,,0.03321967173949266,0.03236322167718116
murderer,0.014858546093198331,0.023200367328242148,,,,0.015063338961582167,,,,,,,,0.01770741746100755
bondsman,0.0023045859073903504,,,,,0.0022984702740505365,,,,,,,,0.0023015280907204435
kinsman,0.017137592813446255,,,,,0.017269839636408366,,,,,,,,0.01720371622492731
christ,0.002038235493771562,,,,,0.002063666684269184,,,,,,,,0.002050951089020373
boy,0.023738938083300125,,,,,0.023951779986872142,,,0.033547318781136516,,,,,0.02707934561710293
emperor,0.0013440395072825168,,0.0015514373726902536,,,0.0013337929288643063,,0.0028174189626529573,0.0028454460852612427,,,,,0.001978426971350255
nationalist,0.001536331522603576,,,,,0.001551410234801851,,,,,,,,0.0015438708787027136
employer,0.0776085460901538,,,,,0.0781552157378807,,,,,,,,0.07788188091401725
docent,0.0,,,,,0.0,,,,,,,,0.0
sculptor,0.006220965495453393,,,,,0.006335137055818635,,,,,,,,0.006278051275636014
junior,0.01286648003719501,,,,,0.012927726872485798,,,,,,,,0.012897103454840405
choirmaster,0.028063594003336634,,,,,0.028461423479597958,,,,,,,,0.028262508741467296
bull,0.002645114517923469,,0.0029902333844969357,0.0030437286773421224,,0.0026834249664662627,0.0032937784778931008,,0.004129649989009814,,,,,0.0031309883355219504
grandfather,0.09951321067862111,,,,,0.10002549512291752,,,,,,,,0.09976935290076931
diplomat,0.007502260535684053,,,,,0.0075423813494513384,,,,,,,,0.007522320942567696
monk,0.0012416951971916492,,,,,0.0012514521311935002,,,,,,,,0.0012465736641925746
sophomore,0.019714923368979443,,,,,0.019915468864559898,,,,,,,,0.01981519611676967
actor,0.011870857109159335,,,,,0.0119199693293783,,,,,,,,0.011895413219268817
baritone,0.0014868572593559806,,,0.0019231087783626816,,0.0015166350873689115,,,,,,,,0.001642200375029191
hijacker,0.0005548324455537459,0.0008745925968733633,,,,0.0005617475608634026,,,,,,,,0.0006637242010968373
man,0.020780616606929807,,0.020824706945025737,,,0.020867446593870655,0.02234783510796438,,0.02844114318972616,,,,,0.02265234968870335
godson,0.014297190136642005,,,,,0.01437875466673166,,,,,,,,0.014337972401686832
waiter,0.028411456362698564,,,,,0.028647485684307486,,,,,,,,0.028529471023503027
cook,0.006717696399637948,,,,,0.006765350582676911,,,,,,,,0.00674152349115743
tenor,0.0019284005487601352,,,0.0027901783164645585,,0.001956068620767344,,,,,,,,0.002224882495330679
human,0.0023574717771763115,,0.002475479624095012,,,0.002371597698842485,0.0027051584404423346,,,,,,,0.002477426885139036
surveyor,0.0015420573656485042,,,,,0.0015347202396491545,,,,,,,,0.0015383888026488293
grandson,0.0696373307046086,,,,,0.07066661778573086,,,,,,,,0.07015197424516972
sir,0.001692205103741698,,,,,0.0017103901108279748,,,0.002886119091587998,,,,,0.002096238102052557
husband,0.7300242863776928,,,,,0.7310248348506161,,,,,,,,0.7305245606141544
philosopher,0.0025697543522944614,,,,,0.0025717521938570962,,,,,,,,0.002570753273075779
superman,0.0017432494916004083,,,,,0.0017514462776908233,,,,,,,,0.0017473478846456157
imposter,0.0,,,,,0.0,,,,,,,,0.0
rooster,0.014325051452397515,,0.013887835869563925,,0.020709597980500146,0.014463281554990003,,,,,,,,0.015846441714362898
adventurer,0.0023099092320656308,,,,,0.0023428347593478743,,,,,,,,0.0023263719957067525
stallion,0.001245620655820697,,0.0016042975693473266,,,0.0012310001740006972,0.0018591880891595603,,,,,,,0.0014850266220820703
chairman,0.0008741246276361569,,,,,0.0008818641921646435,,,,,,,,0.0008779944099004002
manager,0.006546975269030425,,,,,0.006621988251436209,,,,,,,,0.006584481760233317
headmaster,0.004628859665889623,,,,,0.0046735158410440404,,,,,,,,0.004651187753466832
patriarch,0.00026007290101594965,,,,,0.00026399684939836546,,,0.0005986462309168848,,,,,0.00037423866044373333
ram,0.000512529761166448,,0.0006603816011857054,,,0.0005108511563276624,0.0007391377781039899,,0.001198859190930946,,,,,0.0007243518975429504
buck,0.002830277033317903,,0.0032938922524511625,,,0.0028585196129382023,0.0037801285369244183,,,,,0.0064086755976142185,,0.003834298606649181
god,0.013153077718471752,,,,,0.013168843194296877,,,,,,,,0.013160960456384315
tiger,0.0007311405636614235,,0.0007589667533271896,,,0.0007419767011403165,0.0008827076266623699,,,,,,,0.0007786979111978248
master,0.010787638670420388,,,,,0.010773821703226775,,,,,,,,0.010780730186823581
czar,0.0014264178084237202,,,,,0.0014482646802731372,,,,,,,,0.0014373412443484286
policeman,0.006818536818044251,,,,,0.006906888460784158,,,,,,,,0.006862712639414205
prince,0.0062428927090829815,,,,,0.006287132130531305,,,,,,,,0.006265012419807143
homeboy,0.0,,,,,0.0,,,,,,,,0.0
pathologist,0.0025037843461851264,,,,,0.002547472470048329,,,,,,,,0.0025256284081167277
scorer,0.0014112351312712862,,,,,0.0014207627706051126,,,,,,,,0.0014159989509381994
leader,0.0022710368321110764,,,,,0.002288370993813096,,,,,,,,0.0022797039129620862
biologist,0.0014274914751385558,,,,,0.0014426875564225064,,,,,,,,0.0014350895157805312
peacock,0.0056301576226988215,,0.006035572292486538,,0.008066888126300338,0.005679105550212576,,,,,,,,0.006352930897924569
rover,0.0008351586927315739,,,,,0.0008381970352956487,,,0.0016582233715227003,,,,0.0009534472299968891,0.0010712565823867031
driver,0.01008684183793863,,,0.011233359350619606,,0.010246504102694894,,,,,,,,0.010522235097084378
liberal,0.004209477327114805,,,,,0.00424846688197624,,,,,,,,0.0042289721045455225
pioneer,0.010242595793007379,,,,,0.010311849851109124,,,,,,,,0.01027722282205825
guard,0.004226650318144918,,,,,0.004297867225636912,,,,,,,,0.0042622587718909154
sidekick,0.027349084182764976,,,,,0.027596453574217028,,,,,,,,0.027472768878491004
hematologist,0.0,,,,,0.0,,,,,,,,0.0
godfather,0.011801073766518696,,,,,0.011899332574884574,,,,,,,,0.011850203170701635
mister,0.004294020812493483,,,,,,,,,,,,0.004652931959709278,0.004473476386101381
bassist,0.006082519338848551,,,,,0.006095197429089516,,,,,,,,0.006088858383969034
federalist,0.0014453493106784383,,,,,0.0014538403456379788,,,,,,,,0.0014495948281582085
hippy,0.01521479304424132,,,,,0.0153111413488407,,,,,,,,0.01526296719654101
daddy,0.025532354398484888,,,,,0.02593177026247987,,,,,,,,0.025732062330482378
spokesman,0.0034098767391702316,,,,,0.003427858615284238,,,,,,,,0.0034188676772272347
assistant,0.00797674791454777,,,,,0.008033779046193464,,,,,,,,0.008005263480370617
idiot,0.010542042010368537,,,,,0.010452691187387023,,,,,,,,0.01049736659887778
duke,0.004985339496973623,,,,,0.0050423908291831205,,,,,,,,0.005013865163078371
boxer,0.01092500587084928,,0.010059525570480935,,,0.011039537345867857,0.010388753045269785,,,,,,,0.010603205458116965
brother,0.10496317780939672,,,,,0.1058692165479623,,,,,,,,0.1054161971786795
tsar,0.0,,,,,0.0,,,,,,,,0.0
masseur,0.00586801732006937,,,,,0.005891067154592536,,,,,,,,0.005879542237330953
freelancer,0.006444864484433615,,,,,0.006461508778577276,,,,,,,,0.006453186631505446
steward,0.0025686666034709627,,,,,0.002612005156994234,,,,,,,,0.0025903358802325986
inmate,0.004853011375087932,,,,,0.004887274430605749,,,,,,,,0.00487014290284684
concierge,0.01357668301351268,,,,,0.01360764436353542,,,,,,,,0.013592163688524051
pirate,0.0007893482838394776,0.0013200142994061943,,,,0.000797236601153003,,,0.0014016979443114772,,,,,0.001077074282177538
neurobiologist,0.0,,,,,0.0,,,,,,,,0.0
groom,0.014066641090982206,,,,,0.014212350328455747,,,,,,,,0.014139495709718976
countertenor,0.0,,,0.0,,0.0,,,,,,,,0.0
friar,0.0,,,,,0.0,,,,,,,,0.0
macho,0.009553172024692629,,,,,0.009681772559612145,,,0.01824950462588214,,,,,0.012494816403395637
lad,0.0037307590316373136,,,,,0.0037588917526187923,,,0.006686890686381346,,,,,0.004725513823545817
lover,0.23700882107603963,,,,,0.2391196231117203,,,,,,,,0.23806422209387995
twin,0.009445811569652712,,,,,0.009610028235319245,,,,,,,,0.009527919902485978
batman,0.00040898820596398496,,,,,0.00041027607797341077,,,,,,,,0.00040963214196869786
kidnapper,0.07895208405078409,0.1060086889180216,,,,0.07983662888196577,,,,,,,,0.08826580061692384
king,0.004201966668285865,,,,,0.004241733306511498,,,,,0.007523286999729446,,,0.005322328991508936
lion,0.0029320162851436578,,0.0030532941852056683,,,0.0029539478773746536,0.003359497249939458,,,,,,,0.0030746888994158594
ally,0.00458094319167121,,,,,0.004622599236562048,,,,,,,,0.004601771214116629
comrade,0.003200550134964814,,,,,0.003256788592399276,,,,,,,,0.003228669363682045
psychologist,0.009860720019826014,,,,,0.009895103030000638,,,,,,,,0.009877911524913326
son,0.18675628103403213,,,,,0.1883434460579449,,,0.2512227575442193,,,,,0.20877416154539877
paterfamilias,0.0,,,,,0.0,,,0.0,,,,,0.0
trafficker,0.001813556026050879,,,,,0.0018245897273796504,,,,,,,,0.0018190728767152648
fiance,0.5653854085505707,,,,,0.5679438696383008,,,,,,,,0.5666646390944358
boyfriend,0.3873107481385481,,,,,0.39120190502714064,,,0.5724633400581172,,,,,0.450325331074602
founder,0.0036822971654368796,,,,,0.003690849426290857,,,,,,,,0.0036865732958638684
uncle,0.054863831050013336,,,,,0.055565690992621514,,,,,,,,0.05521476102131742
refugee,0.002258799927315513,,,,,0.0022777434995946565,,,,,,,,0.0022682717134550846
lifeguard,0.03940630132566825,,,,,0.03977388651932423,,,,,,,,0.03959009392249624
monastic,0.013157895661995583,,,,,0.0132882730670658,,,,,,,,0.013223084364530692
boar,0.0023313272179937105,,0.002937272941910877,,,0.0023472836778841277,0.0030589525629879945,,,,,,,0.0026687091001941776
suitor,0.06378217519528537,,,,,0.06388033585948036,,,,,,,,0.06383125552738286
cofounder,0.005737091771419666,,,,,0.005764083680591035,,,,,,,,0.00575058772600535
womanizer,0.042002696906845445,,,,,0.04249211220642065,,,0.04025858474839008,,,,,0.04158446462055206
businessman,0.006536567684618048,,,,,0.006606760760647462,,,,,,,,0.006571664222632756
robert,0.003767674054040902,,,,,,,,,,,,0.004110832538361306,0.003939253296201104
hero,0.017668722386925993,,,,,0.017755887066639546,,0.025473252397196458,,,,,,0.020299287283587333
heir,0.005424155431949357,,,,,0.0055047239345533345,,,,,,,,0.005464439683251346
gentleman,0.015383961646169276,,,,,0.015475668849869244,,,0.02174714457888757,,,,,0.017535591691642028
