,all,relation,bird,animal,food,plant,object,female,fruit,blue,communication,vegetable,fish,vehicle,measure,mean,median
lawn,0.002359643298573672,0.0,0.0,0.0,0.0,0.0,0.002359728419281012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00031462478119031226,0.0
blackboard,0.0054281017290630906,0.0,0.0,0.0,0.0,0.0,0.005242205131766659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007113537907219833,0.0
spinach,0.0010121252881880854,0.0,0.0,0.0,0.001517693271849854,0.0013015757345849368,0.0009970233844695722,0.0,0.0,0.0,0.0,0.0016104124071640842,0.0,0.0,0.0,0.00042925533908376884,0.0
fox,0.0016815696067244495,0.0018615377433558828,0.0,0.0014726271470945575,0.0,0.0,0.001631344491467162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004431385992428035,0.0
crypt,0.002074770136340009,0.0,0.0,0.0,0.0,0.0,0.002012582376380939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027249016751472986,0.0
pyramid,0.00029053836781554675,0.00037810120361522005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.457597142871779e-05,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabbage,0.0028224426093203378,0.0,0.0,0.0,0.0038544907289675624,0.0035340248445062564,0.0027076533887450756,0.0,0.0,0.0,0.0,0.0038412440841156838,0.0,0.0,0.004182411576798224,0.0013961511488302094,0.0
ketchup,0.0018070133244409126,0.0,0.0,0.0,0.002315787771212944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002748534063769238,0.0
buttercup,0.02606790748113009,0.0,0.0,0.0,0.0,0.025793643634326797,0.02571141602850383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005171531142930714,0.0
strawberry,0.0007422349203113118,0.0,0.0,0.0,0.000832398449741321,0.0007814861105512067,0.0007063045923744678,0.0,0.001251989310856649,0.0,0.0,0.0,0.0,0.0,0.0,0.00028762755892233044,0.0
beetroot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.002617739710763098,0.0,0.0,0.0023581065366884537,0.0,0.0,0.0025821790821855244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005038683553091384,0.0
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lemon,0.0015152270887824055,0.0,0.0,0.0,0.002334689978345123,0.002151883436613788,0.001501270734997757,0.0,0.0029425258851262554,0.0,0.0,0.0,0.0,0.0,0.0,0.0006963731415910219,0.0
problem,0.0003587383607498486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00047451729163791736,0.0,0.0,0.0,0.0,5.555037682585106e-05,0.0
giraffe,0.009214629502005451,0.0,0.0,0.006821522281402335,0.0,0.0,0.008953245083169678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016659597911051643,0.0
monkey,0.005038992047154866,0.0,0.0,0.004866163425265984,0.0,0.0,0.004879723185710794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009856585772087764,0.0
bat,0.001478641869134537,0.0,0.0,0.001238067635923169,0.0,0.0,0.0014212397291507907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027586328228056643,0.0
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crocodile,0.0024475987708690796,0.0,0.0,0.0023620925791255154,0.0,0.0,0.002278164262673234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004725237075111886,0.0
tank,0.002999088915512255,0.0,0.0,0.0,0.0,0.0,0.0028928102947824537,0.0,0.0,0.0,0.0,0.0,0.0,0.003988028938115346,0.0037480727741330423,0.0009085333948362065,0.0
broccoli,0.0004901077952399547,0.0,0.0,0.0,0.0007728159853305879,0.0007514318182992296,0.00047567455944579236,0.0,0.0,0.0,0.0,0.000898279034107815,0.0,0.0,0.0,0.00022588727949489194,0.0
