context,evidence_type,categories
driving,u,no-cat
launch,u,no-cat
grain,u,no-cat
fly,u,no-cat
queen,u,no-cat
this,u,no-cat
sort,u,no-cat
yellow,u,no-cat
concept,u,no-cat
brown,u,no-cat
selling,u,no-cat
other,u,no-cat
does,u,no-cat
than,u,no-cat
books,i,no-cat
vehicle,i,no-cat
before,u,no-cat
buzz,u,no-cat
spreading,u,no-cat
120,u,no-cat
successful,u,no-cat
exploding,u,no-cat
arrive,u,no-cat
consider,u,no-cat
license,u,no-cat
manufacturer,u,no-cat
metallic,u,no-cat
describes,u,fruit no-cat
heaven,u,no-cat
largely,u,no-cat
late,u,no-cat
looking,u,fruit no-cat
much,u,no-cat
very,u,fruit no-cat
huge,u,no-cat
however,u,no-cat
ago,u,fruit no-cat
remains,u,no-cat
goes,u,no-cat
ended,u,no-cat
though,u,no-cat
expected,u,no-cat
might,u,no-cat
across,u,fruit no-cat
producer,u,no-cat
los,u,no-cat
earning,u,no-cat
900,u,fruit no-cat
recalls,u,no-cat
task,u,no-cat
push,u,no-cat
dealer,u,no-cat
2002,u,no-cat
combat,u,no-cat
difference,u,no-cat
oldest,u,no-cat
plants,u,no-cat
transportation,u,no-cat
cross,u,no-cat
planning,u,no-cat
word,u,no-cat
reverse,u,no-cat
filling,u,no-cat
rocky,u,no-cat
strike,u,no-cat
students,u,no-cat
suggested,u,no-cat
attempt,u,no-cat
faster,u,no-cat
spirit,u,no-cat
bet,u,no-cat
often,u,no-cat
average,u,no-cat
costs,u,no-cat
itself,u,no-cat
2003,u,fruit no-cat
test,u,no-cat
rise,u,no-cat
summer,u,no-cat
good,u,no-cat
global,u,no-cat
history,u,fruit no-cat
windows,u,no-cat
fills,u,no-cat
feared,u,no-cat
georgia,u,no-cat
granted,u,no-cat
fed,u,no-cat
growth,u,no-cat
km,u,no-cat
hills,u,no-cat
whatever,u,no-cat
forget,u,no-cat
insurance,u,no-cat
films,u,no-cat
indian,u,no-cat
walks,u,no-cat
reminder,u,no-cat
rent,u,no-cat
replaced,u,no-cat
replacement,u,no-cat
tag,u,no-cat
preparing,u,no-cat
prime,u,no-cat
temperature,u,no-cat
smith,u,no-cat
strikes,u,no-cat
signs,u,no-cat
springs,u,no-cat
stages,u,no-cat
somewhat,u,no-cat
songs,u,no-cat
stolen,u,no-cat
spare,u,no-cat
specialists,u,no-cat
scattered,u,no-cat
shift,u,no-cat
