context,n_concepts,mean_tfidf,mean_diff,min_tfidf,max_tfidf
giant,3,0.03,0.03,0.0,0.08
bunch,3,0.0,0.0,0.0,0.01
destroying,3,0.0,0.0,0.0,0.01
grain,3,0.02,0.01,0.0,0.04
nt,3,0.0,0.0,0.0,0.01
once,3,0.0,0.0,0.0,0.01
storm,3,0.0,0.0,0.0,0.01
action,3,0.0,0.0,0.0,0.01
state,3,0.01,0.01,0.01,0.02
warm,3,0.01,0.0,0.01,0.01
humble,3,0.0,0.0,0.0,0.01
89,3,0.0,0.0,0.0,0.01
business,3,0.01,0.0,0.0,0.01
piece,3,0.0,0.0,0.0,0.01
cultivated,3,0.0,0.0,0.0,0.01
winds,3,0.0,0.0,0.0,0.01
brand,3,0.01,0.0,0.0,0.01
turn,3,0.0,0.0,0.0,0.01
being,3,0.0,0.0,0.0,0.01
mainly,3,0.0,0.0,0.0,0.01
sundae,3,0.0,0.0,0.0,0.01
states,3,0.01,0.0,0.0,0.01
230,3,0.0,0.0,0.0,0.01
informed,3,0.0,0.0,0.0,0.01
according,3,0.0,0.0,0.0,0.01
queensland,3,0.01,0.0,0.0,0.01
making,3,0.0,0.0,0.0,0.01
policies,3,0.0,0.0,0.0,0.01
tune,3,0.0,0.0,0.0,0.01
representative,3,0.0,0.0,0.0,0.01
leading,3,0.0,0.0,0.0,0.0
bike,3,0.0,0.0,0.0,0.0
52,3,0.0,0.0,0.0,0.0
same,3,0.01,0.0,0.0,0.01
lower,3,0.01,0.01,0.0,0.01
design,3,0.01,0.0,0.0,0.01
through,3,0.01,0.0,0.0,0.01
livestock,3,0.01,0.01,0.0,0.03
atlantic,3,0.0,0.0,0.0,0.01
overlooking,3,0.0,0.0,0.0,0.0
pay,3,0.01,0.01,0.0,0.01
tall,3,0.01,0.0,0.0,0.01
operations,3,0.0,0.0,0.0,0.0
representatives,3,0.0,0.0,0.0,0.0
fallen,3,0.0,0.0,0.0,0.0
describing,3,0.0,0.0,0.0,0.0
shortage,3,0.0,0.0,0.0,0.0
referred,3,0.0,0.0,0.0,0.0
resulting,3,0.0,0.0,0.0,0.0
tucked,3,0.0,0.0,0.0,0.0
1980,3,0.0,0.0,0.0,0.0
operate,3,0.0,0.0,0.0,0.0
basis,3,0.0,0.0,0.0,0.0
appeal,3,0.0,0.0,0.0,0.0
still,3,0.01,0.0,0.0,0.01
distributor,3,0.0,0.0,0.0,0.0
shirts,3,0.01,0.0,0.0,0.01
several,3,0.0,0.0,0.0,0.0
philippines,3,0.0,0.0,0.0,0.01
presidents,3,0.0,0.0,0.0,0.0
