context,evidence_type,categories
as,NA,dangerous
structure,NA,dangerous
commonly,NA,dangerous
al,u,dangerous
task,NA,dangerous
related,NA,dangerous
drug,i,dangerous
such,NA,dangerous
he,u,dangerous
been,u,dangerous
it,u,dangerous
from,NA,dangerous
they,NA,dangerous
be,NA,dangerous
self,NA,dangerous animal
while,u,dangerous
those,NA,dangerous
other,NA,dangerous
associated,NA,dangerous
drugs,i,dangerous
more,u,dangerous
described,u,dangerous
investigated,NA,dangerous
some,NA,dangerous
western,u,dangerous
known,NA,dangerous
them,NA,dangerous
worse,NA,dangerous
damage,l,dangerous
along,NA,dangerous
levels,NA,dangerous
yet,u,dangerous
similarities,NA,dangerous
model,NA,dangerous
unlike,NA,dangerous
product,NA,dangerous
native,NA,dangerous
acute,NA,dangerous
acting,NA,dangerous
positive,u,dangerous
considerably,NA,dangerous
similarly,NA,dangerous
manufacture,NA,dangerous
humans,NA,dangerous
induced,NA,dangerous
removed,NA,animal
strikes,u,animal
1997,NA,animal
normal,NA,animal
