,food,communication,cutlery,no-cat,vehicle,all,relation,tool,object,measure,animal,weapon,mean
deal,0.0,0.0005517721452152429,0.0,0.0,0.0,0.0005289452253089769,0.0005177740268975113,0.0,0.0005289452253089769,0.0005697802679842642,0.0,0.0,0.0002247680742262477
saw,0.0,0.007366616493058121,0.0,0.0,0.0,0.00701958101272103,0.0,0.006584371616375725,0.00701958101272103,0.0,0.0,0.0,0.002332512511239659
axe,0.0,0.0,0.005199788613348147,0.0,0.0,0.005514354485949209,0.0,0.006315467114402641,0.005514354485949209,0.0,0.0,0.0,0.0018786637249707673
knife,0.0,0.0,0.0009899699716612446,0.0,0.0,0.000836849393318671,0.0,0.0009352993205224003,0.000836849393318671,0.0,0.0,0.0011166107922916046,0.0003929649059260493
bamboo,0.0,0.0,0.0,0.0037979010541701174,0.0,0.003952262523346169,0.004166903515599097,0.0,0.003952262523346169,0.0,0.0,0.0,0.0013224441347051295
broom,0.0,0.0,0.0,0.004894125536843291,0.0,0.0049140929272900695,0.0,0.0,0.0049140929272900695,0.0,0.0,0.0,0.0012268592826186191
pine,0.0,0.0,0.0,0.0030936571572801877,0.0,0.003153533464081972,0.003584653119095797,0.0,0.003153533464081972,0.0,0.0,0.0,0.001082114767044994
drum,0.0,0.0,0.0,0.001169209977736614,0.0,0.001266799339950188,0.0,0.0,0.001266799339950188,0.0,0.001159755811424147,0.0,0.00040521370575509474
oak,0.0,0.0,0.0,0.0012562742255003544,0.0,0.0013288189281971624,0.001459820851096956,0.0,0.0013288189281971624,0.0,0.0,0.0,0.00044781107774930287
fir,0.0,0.0,0.0,0.016407866162464934,0.0,0.016523036977421107,0.01913762888683198,0.0,0.016523036977421107,0.0,0.0,0.0,0.00571596408367826
rail,0.0,0.0,0.0,0.003694732573045913,0.0,0.0042685861775700615,0.0,0.0,0.0042685861775700615,0.0,0.004864890076619633,0.0,0.001424732917067139
gun,0.0,0.0,0.0,0.003619807828651826,0.0,0.0041224620138748435,0.0,0.0,0.0041224620138748435,0.0,0.0,0.005373363047056421,0.0014365079086214943
pen,0.0,0.0,0.0,0.0004364675763316974,0.0,0.0005544923698194157,0.0,0.0,0.0005544923698194157,0.0,0.0006969691778281903,0.0,0.00018686845781655994
houseboat,0.0,0.0,0.0,0.0,0.11372729008156421,0.1659170430568067,0.0,0.0,0.1659170430568067,0.0,0.0,0.0,0.03713011468293147
kayak,0.0,0.0,0.0,0.0,0.006321292219830185,0.005666917418177006,0.0,0.0,0.005666917418177006,0.0,0.0,0.0,0.0014712605880153496
boat,0.0,0.0,0.0,0.0,0.027563217005116276,0.02971615139998923,0.0,0.0,0.02971615139998923,0.0,0.0,0.0,0.007249626650424561
wheelbarrow,0.0,0.0,0.0,0.0,0.009994781118272076,0.012042602538472832,0.0,0.0,0.012042602538472832,0.0,0.0,0.0,0.002839998849601478
wheel,0.0,0.0,0.0,0.0,0.0008050420724144207,0.0007721862292212858,0.0,0.0,0.0007721862292212858,0.0,0.0,0.0,0.0001957845442380827
spear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cello,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plank,0.0,0.0,0.0,0.0,0.0,0.006937057353434735,0.0,0.0,0.006937057353434735,0.0,0.0,0.0,0.001156176225572456
outrigger,0.0,0.0,0.0,0.0,0.0,0.0052159147495652635,0.0,0.0,0.0052159147495652635,0.0,0.0,0.0,0.0008693191249275439
harp,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
guitar,0.0,0.0,0.0,0.0,0.0,0.0008511937602723779,0.0,0.0,0.0008511937602723779,0.0,0.0,0.0,0.000141865626712063
chock,0.0,0.0,0.0,0.0,0.0,0.0032914503646080673,0.0,0.0,0.0032914503646080673,0.0,0.0,0.0,0.0005485750607680112
soffit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
timber,0.0,0.0,0.0,0.0,0.0,0.0037796232387251453,0.0,0.0,0.0037796232387251453,0.0,0.0,0.0,0.0006299372064541909
pencil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clapboard,0.0,0.0,0.0,0.0,0.0,0.005988399919897385,0.0,0.0,0.005988399919897385,0.0,0.0,0.0,0.000998066653316231
button,0.0,0.0,0.0,0.0,0.0,0.0005300418886412273,0.0,0.0,0.0005300418886412273,0.0,0.0,0.0,8.834031477353788e-05
rafter,0.0,0.0,0.0,0.0,0.0,0.0005104686012553252,0.0,0.0,0.0005104686012553252,0.0,0.0,0.0,8.507810020922086e-05
plywood,0.0,0.0,0.0,0.0,0.0,0.015932737674439583,0.0,0.0,0.015932737674439583,0.0,0.0,0.0,0.0026554562790732637
tray,0.0,0.0,0.0,0.0,0.0,0.0023545039819193015,0.0,0.0,0.0023545039819193015,0.0,0.0,0.0,0.0003924173303198836
rake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barrel,0.0,0.0,0.0,0.0,0.0,0.00014415266664590638,0.0,0.0,0.00014415266664590638,0.0,0.0,0.0,2.4025444440984396e-05
club,0.0,0.0,0.0,0.0,0.0,0.0022726040712177753,0.002399952394982612,0.0,0.0022726040712177753,0.0,0.0,0.0,0.0005787633781181803
armrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
floorboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trestle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
transom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
window,0.0,0.0,0.0,0.0,0.0,0.007583394413463972,0.0,0.0,0.007583394413463972,0.007547214362741874,0.0,0.0,0.0018928335991391515
lumber,0.0,0.0,0.0,0.0,0.0,0.005859614111128258,0.0,0.0,0.005859614111128258,0.0,0.0,0.0,0.0009766023518547097
chair,0.0,0.0,0.0,0.0,0.0,0.044020866211444555,0.0,0.0,0.044020866211444555,0.0,0.0,0.0,0.0073368110352407595
truss,0.0,0.0,0.0,0.0,0.0,0.058569634904711405,0.0,0.0,0.058569634904711405,0.0,0.0,0.0,0.009761605817451901
mop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deck,0.0,0.0,0.0,0.0,0.0,0.10998559124410688,0.0,0.0,0.10998559124410688,0.0,0.0,0.0,0.018330931874017815
roof,0.0,0.0,0.0,0.0,0.0,0.04777922186303658,0.0,0.0,0.04777922186303658,0.0,0.0,0.0,0.00796320364383943
rod,0.0,0.0,0.0,0.0,0.0,0.00040369983897296774,0.0,0.0,0.00040369983897296774,0.0,0.0,0.0004618693496596682,0.00010577241896713364
dowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toothpick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clock,0.0,0.0,0.0,0.0,0.0,0.0031774693528868387,0.0,0.0,0.0031774693528868387,0.0,0.0,0.0,0.0005295782254811398
spindle,0.0,0.0,0.0,0.0,0.0,0.02190248047987061,0.017215956371785125,0.0,0.02190248047987061,0.0,0.0,0.0,0.005085076444293862
handrail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
puppet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
railing,0.0,0.0,0.0,0.0,0.0,0.19490826867101482,0.0,0.0,0.19490826867101482,0.0,0.0,0.0,0.03248471144516914
footrest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hutch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bridge,0.0,0.0,0.0,0.0,0.0,0.015895744218174343,0.018787517881493663,0.0,0.015895744218174343,0.0,0.0,0.0,0.004214917193153529
spade,0.0,0.0,0.0,0.0,0.0,0.0013125237726802658,0.001553571853201974,0.0018784001772562053,0.0013125237726802658,0.0,0.0,0.0,0.0005047516313182259
joist,0.0,0.0,0.0,0.0,0.0,0.04435010469623105,0.0,0.0,0.04435010469623105,0.0,0.0,0.0,0.007391684116038509
paddle,0.0,0.0,0.0,0.0,0.0,0.00583686281905955,0.0,0.0,0.00583686281905955,0.0,0.0,0.0,0.0009728104698432583
bookcase,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ladder,0.0,0.0,0.0,0.0,0.0,0.009844637435083436,0.0,0.0,0.009844637435083436,0.0,0.0,0.0,0.0016407729058472394
violin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stool,0.0,0.0,0.0,0.0,0.0,0.006047035031807841,0.006109666318351652,0.0,0.006047035031807841,0.0,0.0,0.0,0.0015169780318306113
girder,0.0,0.0,0.0,0.0,0.0,0.02786566916946685,0.0,0.0,0.02786566916946685,0.0,0.0,0.0,0.004644278194911142
rudder,0.0,0.0,0.0,0.0,0.0,0.004482963270048236,0.0,0.0,0.004482963270048236,0.0,0.0,0.0,0.0007471605450080393
wood,0.0,0.0,0.0,0.0,0.0,0.022277438899601338,0.025590171131357187,0.0,0.022277438899601338,0.0,0.0,0.0,0.0058454207442133225
ladle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corkscrew,0.0,0.0,0.0,0.0,0.0,0.010404952458920985,0.0,0.011044180052232276,0.010404952458920985,0.0,0.0,0.0,0.002654507080839521
lath,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hardboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plunger,0.0,0.0,0.0,0.0,0.0,0.007315530616013639,0.0,0.008618940097696582,0.007315530616013639,0.0,0.0,0.0,0.0019375001108103218
fence,0.0,0.0,0.0,0.0,0.0,0.011814438528201784,0.0,0.0,0.011814438528201784,0.0,0.0,0.0,0.0019690730880336307
plough,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flute,0.0,0.0,0.0,0.0,0.0,0.0016248281181697954,0.0,0.0,0.0016248281181697954,0.0,0.0,0.0,0.00027080468636163255
brush,0.0,0.0,0.0,0.0,0.0,0.002315954007683343,0.0,0.0,0.002315954007683343,0.0,0.0,0.0,0.0003859923346138905
rope,0.0,0.0,0.0,0.0,0.0,0.008559871079668099,0.0,0.0,0.008559871079668099,0.0,0.0,0.0,0.0014266451799446831
anchor,0.0,0.0,0.0,0.0,0.0,0.0021425045328699933,0.0,0.0,0.0021425045328699933,0.0,0.0,0.0,0.00035708408881166557
cushion,0.0,0.0,0.0,0.0,0.0,0.0009582763529048062,0.0,0.0,0.0009582763529048062,0.0,0.0,0.0,0.00015971272548413436
saxophone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cymbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fuselage,0.0,0.0,0.0,0.0,0.0,0.011588780503790185,0.0,0.0,0.011588780503790185,0.0,0.0,0.0,0.001931463417298364
trumpet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sword,0.0,0.0,0.0,0.0,0.0,0.0021510570760604223,0.0,0.0,0.0021510570760604223,0.0,0.0,0.002878460621362757,0.0005983812311236335
windshield,0.0,0.0,0.0,0.0,0.0,0.0016480587599747437,0.0,0.0,0.0016480587599747437,0.0,0.0,0.0,0.0002746764599957906
pulley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cannon,0.0,0.0,0.0,0.0,0.0,0.008541567554713967,0.0,0.0,0.008541567554713967,0.0,0.0,0.011806657400055267,0.0024074827091236004
laptop,0.0,0.0,0.0,0.0,0.0,0.002626653429712586,0.0,0.0,0.002626653429712586,0.0,0.0,0.0,0.0004377755716187643
washtub,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
strap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trowel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
screw,0.0,0.0,0.0,0.0,0.0,0.00645684798277208,0.0,0.0,0.00645684798277208,0.0,0.0,0.0,0.0010761413304620133
eyelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
holster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chimney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bagpipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
