,animal,fruit,plant,vegetable,mammal,no-cat,measure,relation,red,object,weapon,bird,vehicle,food,all,mean
football,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019696309015363437,0.0,0.0,0.0,0.0,0.0001951510049555032,2.6140939673942506e-05
car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007745912657433353,0.0,0.0,0.00837703613381413,0.0,0.0076459002877875566,0.0015845899386023358
lipstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006045211637270523,0.0,0.0,0.007786233191259321,0.0,0.005965219597897145,0.001319777628428466
cake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002484830062408075,0.0,0.0,0.0,0.0025524093359683884,0.0024745962949604943,0.0005007890462224639
clarinet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ambulance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037270142499777354,0.0,0.0,0.005042134824337841,0.0,0.0038207482356218177,0.0008393264873291596
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egg,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008094757281373053,0.0,0.0,0.0,0.0008252453123719415,0.0008097926630018449,0.00016296758023407276
pit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00764214155229303,0.0,0.0,0.0,0.0,0.0075511622494145265,0.001012886920113837
cream,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008772742994131604,0.0,0.0,0.0,0.0009100526519960558,0.0008784727580948314,0.00017771998063360317
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shiitake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005147853740969381,0.0,0.0,0.0,0.0,0.0050924211985217994,0.0006826849959660786
limousine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
honey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008082789435507826,0.0,0.0,0.0,0.000855859855616823,0.0008132558739789631,0.00016515964487643793
syrup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008289813055943283,0.0008769934154805037,0.00011373164807165548
chutney,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marinade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sauce,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017180311209220864,0.0015130776510871987,0.0002154072514672857
candy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029642357909253915,0.0029964998972432516,0.0003973823792112429
yogurt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bulgur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
