,measure,relation,object,communication,cold,all,mean
snowfall,0.0,0.0,0.0,0.0,0.004962494964424646,0.0041090863153706155,0.0015119302132992104
river,0.0,0.0,0.0,0.0,0.007574426682844145,0.006015725505433059,0.0022650253647128675
flame,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tummy,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lightning,0.0,0.0,0.0,0.0,0.001436709174063854,0.0013335142532752823,0.0004617039045565227
hatred,0.0,0.0,0.0,0.0,0.0008309235113060819,0.0007000322545012422,0.0002551592943012207
pie,0.0,0.0,0.0,0.0,0.0,0.0012418448991085797,0.00020697414985142994
sundae,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0
