,round,animal,relation,bird,object,food,all,fruit,plant,measure,mean,median
basketball,0.0,0.0,0.0,0.0,0.0012604299567338044,0.0,0.0012457839563567905,0.0,0.0,0.0,0.00025062139130905945,0.0
baseball,0.0,0.0,0.0,0.0,0.0015928423463821924,0.0,0.0016200855685708233,0.0,0.0,0.0,0.0003212927914953016,0.0
melon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
globe,0.0,0.0,0.0,0.0,0.0005147374337307712,0.0,0.0005146145046160504,0.0,0.0,0.0,0.00010293519383468217,0.0
cantaloupe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cookie,0.0,0.0,0.0,0.0,0.0027063591491276887,0.00346382922628961,0.0030185039228722626,0.0,0.0,0.0,0.0009188692298289561,0.0
blueberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pineapple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
candle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bracelet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coconut,0.0,0.0,0.0,0.0,0.002462642549898667,0.0030628110040779107,0.002623800618133304,0.0034096362615243557,0.00293383946582697,0.0,0.0014492729899461209,0.0014492729899461209
wheel,0.0,0.0,0.0,0.0,0.0017124400860673915,0.0,0.0015981397847378163,0.0,0.0,0.0,0.0003310579870805208,0.0
shape,0.0,0.0,0.0,0.0,0.02126639601882881,0.0,0.022161671858911144,0.0,0.0,0.0,0.004342806787773995,0.0
tomato,0.0,0.0,0.0,0.0,0.000398252538916301,0.0005201968436781239,0.0004548700766526253,0.0,0.0004952768205655628,0.0,0.00018685962798126128,0.0
vegetable,0.0,0.0,0.0,0.0,0.0007018897097022035,0.0009043215960103662,0.0007632832994895279,0.0,0.0008072678842839516,0.0,0.0003176762489486049,0.0
can,0.0,0.0,0.0,0.0,0.0012036599740766819,0.0,0.0012417086690917562,0.0,0.0,0.0010488439103496386,0.00034942125535180767,0.0
onion,0.0,0.0,0.0,0.0,0.0010511238236215392,0.0015240012847044708,0.0012258687532173851,0.0,0.0013456646053429547,0.0,0.0005146658466886349,0.0
butter,0.0,0.0,0.0,0.0,0.0002789019627213245,0.0004042132108337279,0.00033260160149199247,0.0,0.0,0.0,0.0001015716775047045,0.0
sphere,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
disc,0.0,0.0,0.0,0.0,0.0007937379332354561,0.0,0.0007580524566258439,0.0,0.0,0.0,0.00015517903898613,0.0
bowl,0.0,0.0,0.0,0.0,7.999154003999002e-05,0.0,8.058743694155323e-05,0.0,0.0,6.57627782709874e-05,2.2634175525253065e-05,0.0
cake,0.0,0.0,0.0,0.0,0.002980519314176646,0.003678442650335328,0.0032438890774364967,0.0,0.0,0.0,0.0009902851041948472,0.0
nut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plunger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
spoon,0.0,0.0,0.0,0.0,0.00437951144823187,0.0,0.0044731839949644255,0.0,0.0,0.0043369400018290405,0.0013189635445025338,0.0
hubcap,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
potato,0.0,0.0,0.0,0.0,0.0003549705268672077,0.00046158202289599477,0.00039907927886772047,0.0,0.00043984142334819385,0.0,0.00016554732519791167,0.0
bean,0.0,0.0,0.0,0.0,0.002388440410357125,0.0030010619081788114,0.002589264269783662,0.0029691471094730297,0.0029327989247850063,0.0,0.0013880712622577633,0.0013880712622577633
bedroom,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ball,0.0,0.0,0.0,0.0,0.005840283752104357,0.0,0.005848692425090009,0.0,0.0,0.0,0.0011688976177194367,0.0
ashtray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
planet,0.0,0.0,0.0,0.0,0.0003512534638419178,0.0,0.00035446486326252144,0.0,0.0,0.0,7.057183271044392e-05,0.0
almond,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dresser,0.0,0.0,0.0,0.0,0.002156829938596704,0.0,0.0021545864449405206,0.0,0.0,0.0,0.0004311416383537225,0.0
casserole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shoe,0.0,0.0,0.0,0.0,0.0024455940928652317,0.0,0.00233374637900672,0.0,0.0,0.0,0.00047793404718719513,0.0
bottle,0.0,0.0,0.0,0.0,0.001078132336742471,0.0,0.0010463279779399255,0.0,0.0,0.0012547551614736953,0.00033792154761560914,0.0
cube,0.0,0.0,0.0,0.0,0.0006679845983399739,0.0,0.000690066504709723,0.0,0.0006295257191075487,0.0009008864377995384,0.0002888463259956784,0.0
chive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popcorn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drumstick,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fondant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pizza,0.0,0.0,0.0,0.0,0.0,0.00028537690071068236,0.0002491494544095885,0.0,0.0,0.0,5.3452635512027086e-05,0.0
pastry,0.0,0.0,0.0,0.0,0.0,0.0007072173216132717,0.0005755642144605359,0.0,0.0,0.0,0.00012827815360738076,0.0
pie,0.0,0.0,0.0,0.0,0.0,0.001844530458625078,0.0015214618605251392,0.0,0.0,0.0,0.0003365992319150217,0.0
vinaigrette,0.0,0.0,0.0,0.0,0.0,0.002553899513549142,0.002194223896978419,0.0,0.0,0.0,0.00047481234105275615,0.0
pasta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pilaf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pancake,0.0,0.0,0.0,0.0,0.0,0.0034154269531609127,0.003075126309005966,0.0,0.0,0.0,0.0006490553262166878,0.0
snack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marzipan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
salad,0.0,0.0,0.0,0.0,0.0,0.0008468787638914043,0.0007210472489998107,0.0,0.0,0.0,0.0001567926012891215,0.0
omelette,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
curd,0.0,0.0,0.0,0.0,0.0,0.0033286062327773543,0.0029467896702186657,0.0,0.0,0.0,0.0006275395902996019,0.0
cheeseburger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
quesadilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
doughnut,0.0,0.0,0.0,0.0,0.0,0.0021253865636121365,0.002020127257441161,0.0,0.0,0.0,0.0004145513821053297,0.0
dough,0.0,0.0,0.0,0.0,0.0,0.026946346820425685,0.02283570863482444,0.0,0.0,0.01840351452840111,0.006818556998365123,0.0
dessert,0.0,0.0,0.0,0.0,0.0,0.0015778001336108451,0.0013850266978697552,0.0,0.0,0.0,0.0002962826831480601,0.0
pudding,0.0,0.0,0.0,0.0,0.0,0.0013789002604823815,0.0011667136730612896,0.0,0.0,0.0,0.00025456139335436714,0.0
patty,0.0,0.0,0.0,0.0,0.0,0.0003754120114218716,0.00029867340479082304,0.0,0.0,0.0,6.740854162126946e-05,0.0
condiment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sauce,0.0,0.0,0.0,0.0,0.0,0.0005746611489280617,0.0004544284328611486,0.0,0.0,0.0,0.00010290895817892102,0.0
puree,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortilla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
custard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mozzarella,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pepperoni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lolly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
popsicle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biscuit,0.0,0.0,0.0,0.0,0.0,0.004912810376478191,0.004208476977348984,0.0,0.0,0.0,0.0009121287353827175,0.0
candy,0.0,0.0,0.0,0.0,0.0,0.0016234129305657398,0.0014939746856369855,0.0,0.0,0.0,0.00031173876162027253,0.0
bread,0.0,0.0,0.0,0.0,0.0,0.0010252025982819036,0.0008531061676739138,0.0,0.0,0.0006370258882074029,0.00025153346541632204,0.0
seasoning,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mayonnaise,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
coleslaw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
marshmallow,0.0,0.0,0.0,0.0,0.0,0.004569097799572761,0.004944013879827265,0.0,0.0,0.0,0.0009513111679400025,0.0
cornmeal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
