,food,female,fish,communication,no-cat,vehicle,all,mammal,relation,bird,object,measure,animal,mean
kite,0.0,0.0,0.0,0.0011325509601291899,0.0,0.0,0.0008994591279010532,0.0,0.0,0.0007832497081074819,0.0008994591279010532,0.0,0.000835806340771911,0.0003500404049854376
trailer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pickup,0.0,0.0,0.0,0.00020265717749368758,0.0,0.0,0.0001282564360184036,0.0,0.0,0.0,0.0001282564360184036,0.0,0.0,3.532077304080729e-05
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
racer,0.0,0.0,0.0,0.0,0.0,0.0,0.0008217253461543837,0.0,0.0,0.0,0.0008217253461543837,0.0,0.0007481418590672825,0.0001839686577981577
zeppelin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jet,0.0,0.0,0.0,0.0,0.0,0.0,0.0004011110193637337,0.0,0.0003062547931989464,0.0,0.00039937134248674066,0.0,0.0,8.51336273114939e-05
airplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
airliner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hydroplane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
truck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dozer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
skateboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
subcompact,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sedan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wrecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bicycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hearse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
panzer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
camper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wagon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amphibian,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caravan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scooter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bandwagon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
caboose,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cabriolet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
motorcycle,0.0,0.0,0.0,0.0,0.0,0.0,0.00029387595251641495,0.0,0.0,0.0,0.00029387595251641495,0.0,0.0,4.5211685002525376e-05
cab,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snowplow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pushcart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
van,0.0,0.0,0.0,0.0,0.0,0.001106637974194241,0.000501966612858692,0.0,0.0,0.0,0.000501966612858692,0.0,0.0,0.00016235163076243271
dray,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tricycle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tractor,0.0,0.0,0.0,0.0,0.0,0.0,0.00024573678282645376,0.0,0.0,0.0,0.00024573678282645376,0.0,0.0,3.7805658896377503e-05
boxcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
car,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
limousine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dumper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gondola,0.0,0.0,0.0,0.0,0.0,0.0,0.00728519440546348,0.0,0.0,0.0,0.00728519440546348,0.0,0.0,0.0011207991393020738
automobile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scrambler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bike,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
trolley,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wheel,0.0,0.0,0.0,0.0,0.0,0.0,0.00011960280271073676,0.0,0.0,0.0,0.00011960280271073676,0.0,0.0,1.8400431186267193e-05
locomotive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stroller,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carrier,0.0,0.0,0.0,0.0,0.0,0.0,0.00015715040015496596,0.0,0.0,0.0,0.00015715040015496596,0.0,0.0,2.417698463922553e-05
clarence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
railcar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cruiser,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
engine,0.0,0.0,0.0,0.0,0.0,0.0,0.00015021761680494855,0.0,0.0,0.0,0.00015021761680494855,0.0,0.0,2.31104025853767e-05
jeep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carriage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
saloon,0.0,0.0,0.0,0.0,0.0,0.0,0.012310580253691496,0.0,0.0,0.0,0.012310580253691496,0.0,0.0,0.0018939354236448456
diner,0.0,0.0,0.0,0.0,0.0,0.0,0.004118893372335273,0.0,0.0,0.0,0.004118893372335273,0.0,0.0,0.0006336759034361959
cart,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lorry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
forklift,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wren,0.0,0.0,0.0,0.0,0.0,0.0,0.28522826321385775,0.0,0.0,0.2545057684158271,0.2841640701485231,0.0,0.21267303182011268,0.07973624104602466
brant,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stork,0.0,0.0,0.0,0.0,0.0,0.0,0.11623435632502499,0.0,0.0,0.10659995711033704,0.11607536393065637,0.0,0.08030301106933216,0.03224712987964235
oriole,0.0,0.0,0.0,0.0,0.0,0.0,0.0076748254726814345,0.0,0.0,0.009282810365435358,0.007668312925568587,0.0,0.0059850900315226805,0.0023546952919390814
bat,0.0,0.0,0.0,0.0,0.0,0.0,0.0006376882605443901,0.0005412448493648051,0.0,0.0,0.0006370846449433727,0.0,0.0005043421142753334,0.00017848922070214622
nightingale,0.0,0.0,0.0,0.0,0.0,0.0,0.004532482158269172,0.0,0.0,0.004086990344841827,0.004530723943313537,0.0,0.0032494498137077784,0.0012615112507794088
falcon,0.0,0.0,0.0,0.0,0.0,0.0,0.012011019823359656,0.0,0.0,0.013563585730733848,0.011988837349585463,0.0,0.010342999939169276,0.0036851109879114034
tit,0.0,0.0,0.0,0.0,0.0,0.0,0.00035170129927989335,0.0,0.0,0.00039866357320141857,0.0003512118036105019,0.0,0.00029851683821511155,0.00010769950110053273
pintail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
canary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.004322568814954885,0.0,0.0,0.0,0.0043127053447875865,0.0,0.004166480862292001,0.0009847503863103441
sparrow,0.0,0.0,0.0,0.0,0.0,0.0,0.055730345861342,0.0,0.0,0.05430481049460681,0.055402675325038724,0.0,0.04397175479363119,0.016108429728816823
hawk,0.0,0.0,0.0,0.0,0.0,0.0,0.011983540887708826,0.0,0.0,0.013608096248351199,0.011961138577399978,0.0,0.009912642836659172,0.0036511860423168595
marabou,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rooster,0.0,0.0,0.0,0.0,0.0,0.0,0.015423903693068052,0.0,0.0,0.013372975333824914,0.015359585677131804,0.0,0.010041130421544777,0.004169045778889964
pigeon,0.0,0.0,0.0,0.0,0.0,0.0,0.004192101509568158,0.0,0.0,0.004710302788173673,0.00418587894892086,0.0,0.003656554607190065,0.0012880644502963657
gnat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
drosophila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angel,0.0,0.0,0.0,0.0,0.0,0.0,0.00012932514976187476,0.0,0.0,0.0,0.0001292014968374499,0.0,0.0,1.9886665123024974e-05
mosquito,0.0,0.0,0.0,0.0,0.0,0.0,0.0007836370374288226,0.0,0.0,0.0,0.0007794045298417059,0.0,0.0006392578110080647,0.00016940764448296873
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.024746145973533484,0.0,0.0,0.017019699979296567,0.02470867862172246,0.0,0.01366662771575965,0.006164704022331704
albatross,0.0,0.0,0.0,0.0,0.0,0.0,0.030043517594874367,0.0,0.0,0.02468760051005744,0.030017212196463153,0.0,0.021156415694241044,0.008146518922741233
catbird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
archaeopteryx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eagle,0.0,0.0,0.0,0.0,0.0,0.0,0.04726554495811567,0.0,0.0,0.05783987210231322,0.04718853808916065,0.04327712099678385,0.03854250431307436,0.018008736958419057
stilt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cricket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.07298490952639614,0.0,0.0,0.07671749255316554,0.07285425519589556,0.0,0.0626697619058255,0.021940493783175592
skylark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
owl,0.0,0.0,0.0,0.0,0.0,0.0,0.0520127518943276,0.0,0.0,0.05103261823389317,0.05210407175665238,0.0,0.04088527350684044,0.015079593491670274
moth,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
egret,0.0,0.0,0.0,0.0,0.0,0.0,0.02463626597323348,0.0,0.0,0.01434527412298902,0.024638865739410938,0.0,0.01275654213174848,0.005875149843644763
sheldrake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gull,0.0,0.0,0.0,0.0,0.0,0.0,0.012014727224496029,0.0,0.0,0.011555744703935037,0.011990207801515123,0.0,0.00810220808745952,0.0033586836782619773
gadfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peregrine,0.0,0.0,0.0,0.0,0.0,0.0,0.010400810894569677,0.0,0.0,0.010417586238385828,0.01040015662700294,0.0,0.008092597740743782,0.003023934730823248
warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.16549478992443378,0.0,0.0,0.07829189342246687,0.16525852905426505,0.0,0.06268378633535562,0.03628684605665548
robin,0.0,0.0,0.0,0.0,0.0,0.0,0.0026306883075364125,0.0,0.0,0.0034650921627946574,0.002623328318779732,0.0,0.002377897602895239,0.000853615876308157
spoonbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weaver,0.0,0.0,0.0,0.0,0.0,0.0,0.000739817748640054,0.0,0.0,0.0009715737171572867,0.0007377597303372089,0.0,0.0006736006580392498,0.00024021168109029226
mealybug,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dragonfly,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wasp,0.0,0.0,0.0,0.0,0.0,0.0,0.32114060360323815,0.0,0.0,0.0,0.3203849436621717,0.0,0.27087156832100406,0.07018439350664722
guinea,0.0,0.0,0.0,0.0,0.0,0.0,5.435998670527108e-05,0.0,0.0,0.0,5.42567183202845e-05,0.0,4.7699679670136e-05,1.2024337284283966e-05
hobby,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
merle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
worker,0.0,0.0,0.0,0.0,0.0,0.0,0.0006609400153107729,0.0,0.0,0.0,0.0006609400153107729,0.0,0.0006123701078361317,0.0001487884721890521
sitter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
copper,0.0,0.0,0.0,0.0,0.0,0.0,0.00017042669717487282,0.0,0.0,0.0,0.00017042669717487282,0.000219058960728418,0.0001604691374182382,5.541396096126167e-05
flea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
admiral,0.0,0.0,0.0,0.0,0.0,0.0,0.00023068619128374006,0.0,0.0,0.0,0.00023068619128374006,0.0,0.00021265316469544634,5.1848119020225115e-05
diver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ant,0.0,0.0,0.0,0.0,0.0,0.0,0.03173014164375897,0.0,0.0,0.0,0.03173014164375897,0.0,0.02986617857705947,0.007178958604967493
viceroy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
queen,0.0,0.0,0.0,0.0,0.0,0.0,0.0005519705355101563,0.0005631657164673935,0.0007572428880509986,0.0,0.0005519705355101563,0.0,0.0005121168476798891,0.00022588204024758413
parachute,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pen,0.0,0.0,0.0,0.0,0.0,0.0,0.00020308633328434747,0.0,0.0,0.0001776574243865519,0.00020308633328434747,0.0,0.00019002000646957886,5.9526930571140435e-05
platypus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monarch,0.0,0.0,0.0,0.0,0.0,0.0,0.0004010234199145298,0.0,0.0,0.0,0.0004010234199145298,0.0,0.0003681285105490291,9.001348849062221e-05
soldier,0.0,0.0,0.0,0.0,0.0,0.0,0.00034698643663079546,0.0,0.0,0.0,0.00034698643663079546,0.0,0.00032256037069647563,7.819486491985127e-05
