,all,relation,weapon,mammal,no-cat,animal,food,cutlery,object,medication,communication,fish,criminal,vehicle,measure,reptile,tool,mean,median
shaft,0.003380781942035688,0.0,0.003425455414639939,0.0,0.0,0.0,0.0,0.0,0.0036653668926266572,0.0,0.0032731810214967254,0.0,0.0,0.0,0.0,0.0,0.0,0.0008085167806352359,0.0
morphine,0.007392140838555201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006785560831796271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008339824511971454,0.0
bootlegger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
warhead,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tiger,0.0005967872538263297,0.0,0.0,0.0005708826021575438,0.0,0.0006107753886257228,0.0,0.0,0.0006798229347728717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014460401055190988,0.0
grenade,0.0011501595975317738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012977940851509441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00014399727545192457,0.0
conspirator,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pentobarbital,0.029133200746096866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02610683672376791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003249413968815575,0.0
pistol,0.002201634933020754,0.0,0.00263943670451798,0.0,0.0,0.0,0.0,0.0,0.0025067404313207733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004322242393446769,0.0
virus,0.017838662823420184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018048708721585097,0.0,0.016457991010979126,0.0,0.0,0.0,0.0,0.0,0.0,0.0030791389738814355,0.0
terrorism,0.0007110547446552897,0.0,0.0,0.0,0.0006169629260825943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.811868651399318e-05,0.0
firearm,0.007753936507924132,0.0,0.00792582908265043,0.0,0.0,0.0,0.0,0.0,0.00853212824347142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014242290490615284,0.0
raper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scimitar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blunderbuss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arrow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gun,0.004985955318190436,0.0,0.004955771266476915,0.0,0.0,0.0,0.0,0.0,0.0054823494197717895,0.0,0.0,0.0,0.005280638187403748,0.0,0.0,0.0,0.0,0.0012179243642260523,0.0
conspiracy,0.0003299017027350478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003441632709576066,0.0,0.0,0.0,0.0,0.0,0.0,3.965088080545025e-05,0.0
methamphetamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dose,0.12401422792907865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11158878866819329,0.0,0.0,0.0,0.0,0.11530215151951942,0.0,0.0,0.020641480477458316,0.0
bow,0.0023471719875393453,0.0,0.002468074820833354,0.0,0.0,0.0,0.0,0.0,0.002586537623439569,0.0,0.0022498788349974955,0.0,0.0,0.0,0.0,0.0,0.0,0.0005677448980476331,0.0
malaria,0.008381509252322575,0.0,0.0,0.0,0.008664002706601169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001002677174054338,0.0
war,0.0006638000037948689,0.0,0.0,0.0,0.0006031141555601743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.452436231500254e-05,0.0
mafioso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fire,0.007134889788288406,0.008356583815920525,0.0,0.0,0.0,0.0,0.0,0.0,0.00762285945196548,0.0,0.007766638926406705,0.0,0.0,0.0,0.0,0.0,0.0,0.0018165277636812422,0.0
scalpel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
thief,0.0028451960936718506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031841763170878876,0.0,0.0,0.0,0.0032588256668998348,0.0,0.0,0.0,0.0,0.0005463645928035043,0.0
venom,0.010791036356481615,0.0,0.0,0.0,0.00834264641115389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011255107510373826,0.0
punk,0.002065786911417297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002296359952580597,0.0,0.001987053881498686,0.0,0.0023152604715267525,0.0,0.0,0.0,0.0,0.0005096741892366667,0.0
torpedo,0.003805092009550737,0.0036962208084142557,0.0,0.0,0.0,0.0037884997039401495,0.0,0.0,0.004190673843782809,0.0,0.0035345913125240324,0.00389513246335498,0.004877023646430188,0.0,0.0,0.0,0.0,0.0016345431639998322,0.0
missile,0.0005169375547021574,0.0,0.0006050066055837218,0.0,0.0,0.0,0.0,0.0,0.0005856649094846428,0.0,0.0,0.0,0.0,0.0006690219337511951,0.0,0.0,0.0,0.0001398018237365716,0.0
bucket,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blender,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
menthol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0005656206784845943,0.0,0.0,0.0,0.0,0.000582895847268033,0.0,0.0,0.0005751599478897411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005886334682586672,0.00013601823187653152,0.0
spud,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
remedy,0.0020190784472955367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017794347497704557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022344195276858777,0.0
crowbar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
langur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
goat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
elixir,0.009472758633559675,0.008851512668903766,0.0,0.0,0.0,0.0,0.0068761675508848576,0.0,0.0,0.006904691233494776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018885370639319453,0.0
naproxen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stamper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
soup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fork,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iodine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hoe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bar,0.0014381648148971244,0.0,0.0,0.0,0.0017977841356120636,0.0,0.0,0.0,0.001384986932369285,0.0,0.0016060948441743938,0.0,0.0,0.0,0.002004675837039477,0.0,0.0,0.0004842180331819026,0.0
bill,0.0003996097671157341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003978065487539119,0.0,0.0004087770123257852,0.0,0.0,0.0,0.0004399278766558025,0.0,0.000443157548786023,0.00012289875021395628,0.0
pusher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clipper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glove,0.0003830584080112877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003974609770170209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.591290500166521e-05,0.0
slice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aspirin,0.004718100026405104,0.005425067644953663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006027010192681538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009511869331788415,0.0
nursing,0.0005327759730561867,0.0,0.0,0.0,0.00058073947511016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.550090871566746e-05,0.0
jack,0.0002620950087138564,0.0003497756081088676,0.0,0.00034405319106295743,0.00028453461350121535,0.00028850388893154357,0.0003019077955466991,0.0,0.00027274182756341635,0.0,0.0,0.0003206523303180713,0.0,0.0,0.00036615244936162854,0.0,0.0003320640601450096,0.00018367533960313325,0.0002674184181386364
rod,0.00010895604273462769,0.0,0.0001283179148405973,0.0,0.0,0.0,0.0,0.0,0.00011461821136748946,0.0,0.0,0.0,0.0,0.0,0.00018210946265989394,0.0,0.0,3.141186068250638e-05,0.0
cure,0.021338489711175412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021403516234717906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025142356438760775,0.0
hornbill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gutter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ointment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buffer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pestle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ciprofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penicillin,0.006133371192336642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006382007651429113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007361987555156327,0.0
tap,0.0003796323963264992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003804937110983876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004384515281493855,7.05045667984866e-05,0.0
dip,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
file,0.0006754383064656295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006707471737309833,0.0,0.0007856936009844143,0.0,0.0,0.0,0.0,0.0,0.0006688360885317899,0.00016474795115957745,0.0
opener,0.00028933398824014896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028929126033565744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000324731857157269,5.31386532784162e-05,0.0
laxative,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lister,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tuck,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crease,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
toad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rabbit,0.0008371613964766967,0.000868769982259272,0.0,0.001049367843073306,0.0,0.0008313186228375141,0.0007811164930584903,0.0,0.000826909770673588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003055673004928746,0.0
starter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arm,0.0003499020921644096,0.0,0.0003811904297544752,0.0,0.0,0.0,0.0,0.0,0.000357732054826189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.404850451441612e-05,0.0
plane,0.007415234375963614,0.0,0.0,0.0,0.0,0.0,0.0,0.008726961312495384,0.007521966781884372,0.0,0.0,0.0,0.0,0.009999826772901002,0.0,0.0,0.007879132354062592,0.0024437130351357035,0.0
businessman,0.002423253360612025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002416334442980031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00028468163550541506,0.0
