,mammal,animal,no-cat,bird,all,communication,relation,fish,object,food,measure,vehicle,mean
rudd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
minnow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
poacher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tortoise,0.0,0.015011263218906867,0.015678691697921875,0.0,0.014007359826659365,0.0,0.0,0.0,0.013785109444697373,0.0,0.0,0.0,0.004873535349015456
shark,0.0,0.006968201327742368,0.0,0.0,0.0069729727577320785,0.0,0.0,0.008035465173237777,0.006866557869166898,0.0,0.0,0.0,0.0024035997606565935
ostrich,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
grouper,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
knot,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ratite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
turtle,0.0,0.008221494104695373,0.008686081921964833,0.0,0.00747099892591715,0.0,0.0,0.0,0.0074060576080220335,0.0,0.0,0.0,0.0026487193800499493
steamer,0.0,0.001104128149274664,0.0,0.0,0.0010814210983673752,0.0,0.0,0.0,0.0010736355009744742,0.0009660167581365158,0.0,0.0009562417262318752,0.0004317869360820753
goatfish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amberjack,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plaice,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
emberizidae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
paridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sky,0.0,0.0,0.012629658531936375,0.0,0.01160231287661091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002019330950712274
icteridae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
capsule,0.0,0.0,0.002833731902496271,0.0,0.0025684900730481054,0.002767482423567665,0.0,0.0,0.00256246230495025,0.0,0.0,0.0024081002093788405,0.0010950222427867611
arrow,0.0,0.0,0.0011783417865510448,0.0,0.001101351721400984,0.001023074340245779,0.0,0.0,0.0010994234973247252,0.0,0.0,0.0,0.00036684927879354444
phalacrocorax,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
plane,0.0,0.0,0.015602505579809335,0.0,0.01387162937140589,0.0,0.0,0.0,0.013836801693198878,0.0,0.0,0.013431679556521555,0.004728551350077971
fryer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
twinjet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
autogyro,0.0,0.0,0.0,0.0,0.012388130816557825,0.0,0.0,0.0,0.01235422931985095,0.0,0.0,0.007114654485698328,0.0026547512185089253
bomber,0.0,0.0,0.0,0.0,0.010036501931908023,0.0,0.0,0.0,0.010007097003352417,0.01160136159424077,0.0,0.010133973923713816,0.003481577871101253
balloon,0.0,0.0,0.0,0.0,0.004064432184130543,0.0,0.0,0.0,0.004047782836427424,0.0,0.0,0.0038793033250136863,0.0009992931954643045
jet,0.0,0.0,0.0,0.0,0.005005457529907966,0.0,0.005310905740879433,0.0,0.00499843515061758,0.0,0.0,0.005096225287273775,0.0017009186423898963
airship,0.0,0.0,0.0,0.0,0.006294971650210744,0.0,0.0,0.0,0.006279696509915813,0.0,0.0,0.006584102886044949,0.0015965642538476254
helicopter,0.0,0.0,0.0,0.0,0.012776741414317906,0.0,0.0,0.0,0.012735026561030578,0.0,0.0,0.012637365885820456,0.0031790944884307454
craft,0.0,0.0,0.0,0.0,0.010663414017563646,0.0,0.0,0.0,0.010643471713903969,0.0,0.0,0.01068143854414733,0.002665693689634579
wing,0.0,0.0,0.0,0.0,0.0010572465975755996,0.0,0.0,0.0,0.00105447054145663,0.0,0.0013338454595781556,0.0,0.0002871302165508654
machine,0.0,0.0,0.0,0.0,0.0012406121318416909,0.0,0.0,0.0,0.0012379524900604886,0.0,0.0,0.0012511376833044781,0.0003108085254338881
truck,0.0,0.0,0.0,0.0,0.0013757849420124911,0.0,0.0,0.0,0.0013450972463803224,0.0,0.0,0.0013758782481990833,0.00034139670304932475
