,reptile,food,communication,plant,fruit,no-cat,all,mammal,relation,bird,object,vegetable,measure,animal,mean
ketchup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cucumber,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gherkin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
radish,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
apple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heart,0.0,0.0015809221908381515,0.0,0.0,0.0,0.0,0.0015349626431608251,0.0,0.0015446106789210867,0.0,0.0015425245333725067,0.0,0.0,0.0,0.0004430728604494693
rice,0.0,0.00016745620668744593,0.0,0.00018393503548084527,0.0,0.0,0.00017995817087294454,0.0,0.0,0.0,0.00017435189375866736,0.0,0.0,0.0,5.040723619999308e-05
pear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
avocado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lobster,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
honey,0.0,0.0007564440715812771,0.0,0.0,0.0,0.0,0.0005887916488008789,0.0,0.0,0.0,0.0005908021025657203,0.0,0.0,0.0,0.0001382884159248483
beet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wine,0.0,0.004037080444840937,0.0,0.0,0.0,0.0,0.0033833836794673316,0.0,0.0036261037703098787,0.0,0.0,0.0,0.0,0.0,0.0007890405639012962
cider,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tomato,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
milk,0.0,0.001995833974263862,0.0,0.0,0.0,0.0,0.0015982071497471426,0.0,0.001787609128075684,0.0,0.0,0.0,0.0,0.0,0.00038440358943476343
onion,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butter,0.0,0.00025757777876448605,0.0,0.0,0.0,0.0,0.00017477388327731772,0.0,0.0,0.0,0.00017816981963402755,0.0,0.0,0.0,4.360867726255938e-05
raspberry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
corn,0.0,0.0005924263568578596,0.0,0.000638671475769438,0.0006527396614365409,0.0,0.00044949846880505825,0.0,0.0005502212092315575,0.0,0.00045761185102370216,0.0,0.0,0.0,0.00023865493022315402
lime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buttercup,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
flower,0.0,0.0,0.0,0.0012775316709494416,0.0,0.0,0.0011777564959857998,0.0,0.0,0.0,0.0011775952895932728,0.0,0.0013207145716984232,0.0,0.00035382843058763845
carnation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fir,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pansy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
balloon,0.0,0.0,0.0,0.0,0.0,0.0016781214813248366,0.0011500905612477589,0.0,0.0,0.0,0.0011955289859350562,0.0,0.0,0.0,0.0002874100734648323
cat,0.0,0.0,0.0,0.0,0.0,0.002920565218172005,0.002683221096275139,0.002087548237827363,0.0,0.0,0.0027193524692957606,0.0,0.0,0.0025624049132821672,0.0009266494239180311
car,0.0,0.0,0.0,0.0,0.0,0.03885622023869771,0.03298162816410671,0.0,0.0,0.0,0.0331056312026275,0.0,0.0,0.0,0.007495962828959424
sky,0.0,0.0,0.0,0.0,0.0,0.005254401774851407,0.0044879360918733385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006958812761946245
cloud,0.0,0.0,0.0,0.0,0.0,0.0017829782825469662,0.0015838376001972997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002404868487674476
nightmare,0.0,0.0,0.0,0.0,0.0,0.002929833225723548,0.0020435026704687057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003552382782994467
coal,0.0,0.0,0.0,0.0,0.0,0.0074849541983137285,0.005980326684862325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000961805777369718
dolphin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0029338842397751193,0.0,0.0,0.0,0.002936716377175916,0.0,0.0028923701053384884,0.0,0.0006259264801635374
pit,0.0,0.0,0.0,0.0,0.0,0.0,0.001791870532670972,0.0,0.0,0.0,0.0018554903323796535,0.0,0.0,0.0,0.00026052577607504467
blackboard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
crypt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cockroach,0.0,0.0,0.0,0.0,0.0,0.0,0.012903577042122798,0.0,0.0,0.0,0.012790497167805517,0.0,0.0,0.0077804329063789965,0.0023910362225933795
pupil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
market,0.0,0.0,0.0,0.0,0.0,0.0,0.0016522467358007769,0.0,0.0,0.0,0.0016754164114291805,0.0,0.0,0.0,0.0002376902248021398
civet,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
monkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0032450566625474007,0.0032271381871035285,0.0,0.0,0.0034398027885407085,0.0,0.0,0.003213971781250371,0.0009375692442458578
bat,0.0,0.0,0.0,0.0,0.0,0.0,0.0005858711577947781,0.0004942331456935073,0.0,0.0,0.000602362700273205,0.0,0.0,0.0004957838244361079,0.00015558934487125702
skunk,0.0,0.0,0.0,0.0,0.0,0.0,0.09199128738419401,0.07596266209053089,0.0,0.0,0.09007560028168896,0.0,0.0,0.07597750179120341,0.023857646539115523
gown,0.0,0.0,0.0,0.0,0.0,0.0,0.02146166686859754,0.0,0.0,0.0,0.022139612067532566,0.0,0.0,0.0,0.003114377066866436
pelican,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
parka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bear,0.0,0.0,0.0,0.0,0.0,0.0,0.0008243247931413505,0.0008422102452096442,0.0,0.0,0.0009013763514350156,0.0,0.0,0.0007733679410689367,0.00023866280934678195
stocking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oven,0.0,0.0,0.0,0.0,0.0,0.0,0.0001895323909215039,0.0,0.0,0.0,0.00019252325293537653,0.0,0.0,0.0,2.728968884692003e-05
night,0.0,0.0,0.0,0.0,0.0,0.0,0.013805571762284021,0.0,0.0,0.0,0.0,0.0,0.011702403651293524,0.0,0.0018219982438269675
hornet,0.0,0.0,0.0,0.0,0.0,0.0,0.001127736885141755,0.0,0.0,0.0,0.0011345585104647982,0.0,0.0,0.0009838733382555847,0.000231869195275867
dress,0.0,0.0,0.0,0.0,0.0,0.0,0.005619946218103898,0.0,0.0,0.0,0.0058222104271413635,0.0,0.0,0.0,0.0008172969032318045
pig,0.0,0.0,0.0,0.0,0.0,0.0,0.0017709610823086431,0.0014429481680137597,0.0,0.0,0.0018137301687387738,0.0,0.0,0.0015684290701199236,0.00047114774922722144
tyre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ring,0.0,0.0,0.0,0.0,0.0,0.0,0.00128987953290022,0.0,0.0,0.0,0.0013256716413289065,0.0,0.0,0.0,0.00018682508387350905
weasel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
insect,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
penguin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pot,0.0,0.0,0.0,0.0,0.0,0.0,0.0001862960083904743,0.0,0.00019228742873836198,0.0,0.00019230738169333074,0.0,0.0002883260945800895,0.0,6.137263667158975e-05
bra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
football,0.0,0.0,0.0,0.0,0.0,0.0,0.002256104679339916,0.0,0.0,0.0,0.0022911284060098047,0.0,0.0,0.0,0.00032480236323926577
human,0.0,0.0,0.0,0.0,0.0,0.0,0.0007170097451903889,0.000673719619997221,0.0,0.0,0.0007316566457126924,0.0,0.0,0.0006150864318574592,0.00019553374591126866
eye,0.0,0.0,0.0,0.0,0.0,0.0,0.0024956935394752945,0.0,0.0,0.0,0.0025228354760919143,0.0,0.0,0.0,0.00035846635825480066
cow,0.0,0.0,0.0,0.0,0.0,0.0,0.0009215843234640887,0.0009634248137328378,0.0,0.0,0.000948039606550942,0.0,0.0,0.0008859018498479713,0.00026563932811398853
sheep,0.0,0.0,0.0,0.0,0.0,0.0,0.0007597632055617193,0.0006072354777229594,0.0,0.0,0.0007684468968033505,0.0,0.0,0.0006307520360482724,0.00019758554400973585
rat,0.0,0.0,0.0,0.0,0.0,0.0,0.003414237844207905,0.003093082850223632,0.0,0.0,0.003601359320983441,0.0,0.0,0.0029556707727758516,0.0009331679134422022
paint,0.0,0.0,0.0,0.0,0.0,0.0,0.0026120620562014173,0.0,0.002524708870538036,0.0,0.00263454304691786,0.0,0.0,0.0,0.0005550938552612366
zebra,0.0,0.0,0.0,0.0,0.0,0.0,0.004459201235405674,0.003136381442484706,0.0,0.0,0.004290837024965354,0.0,0.0,0.0036930022351238257,0.0011128158527128258
tar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jean,0.0,0.0,0.0,0.0,0.0,0.0,0.0002432792332838315,0.0,0.0,0.0,0.0002523286343352396,0.0,0.0,0.0,3.540056197279079e-05
crow,0.0,0.0,0.0,0.0,0.0,0.0,0.002010133217674184,0.0,0.0,0.00222982477223924,0.0021996382803032453,0.0,0.0,0.0017353273159687276,0.000583923113298957
owl,0.0,0.0,0.0,0.0,0.0,0.0,0.0014403744197543085,0.0,0.0,0.001194957115916147,0.0014436545595011628,0.0,0.0,0.001484550333736848,0.00039739545920774766
lantern,0.0,0.0,0.0,0.0,0.0,0.0,0.0022317714968091078,0.0,0.0,0.0,0.0022132489831534095,0.0,0.0,0.0,0.0003175014628544655
magpie,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
calf,0.0,0.0,0.0,0.0,0.0,0.0,0.0027071768687733024,0.0,0.0028261028951379876,0.0,0.002725201165508464,0.0,0.0,0.002184923592436541,0.0007459574658468783
opossum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gorilla,0.0,0.0,0.0,0.0,0.0,0.0,0.001727961014886353,0.0013640149918112258,0.0,0.0,0.0017244624274456335,0.0,0.0,0.0015432108192520663,0.00045426066095680557
raccoon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
umbrella,0.0,0.0,0.0,0.0,0.0,0.0,0.0015865330072468578,0.0,0.0,0.0,0.0016060298497860307,0.0,0.0,0.0,0.00022804020407377775
hair,0.0,0.0,0.0,0.0,0.0,0.0,0.0008787904785852792,0.0,0.0,0.0,0.0008978526114021984,0.0,0.0008998985987384804,0.0,0.00019118154919471129
hose,0.0,0.0,0.0,0.0,0.0,0.0,0.001727281743199958,0.0,0.0,0.0,0.0017945592862264191,0.0,0.0,0.0,0.0002515600735304555
leopard,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
woodpecker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
miner,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
suit,0.0,0.0,0.0,0.0,0.0,0.0,0.0011768956861992902,0.0,0.0010876378283211756,0.0,0.0012432030284740894,0.0,0.0,0.0,0.0002505526102138968
rhino,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
starling,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
recorder,0.0,0.0,0.0,0.0,0.0,0.0,0.00440860201467082,0.0,0.0,0.0,0.004380612663071173,0.0,0.0,0.0,0.0006278010484101424
sand,0.0,0.0,0.0,0.0,0.0,0.0,0.0021492658875286166,0.0,0.002327827116275453,0.0,0.0,0.0,0.0,0.0,0.0003197923574145764
fox,0.0,0.0,0.0,0.0,0.0,0.0,0.0006040024531931846,0.0006183326460178995,0.0006452702699095666,0.0,0.0005945702505117829,0.0,0.0,0.0005691050867045475,0.0002165200504526415
pyramid,0.0,0.0,0.0,0.0,0.0,0.0,0.0003900274656983876,0.0,0.00044767277312187043,0.0,0.0,0.0,0.0,0.0,5.9835731344304146e-05
sun,0.0,0.0,0.0,0.0,0.0,0.0,0.0006151398890397904,0.0,0.0,0.0,0.0006159095293944868,0.0,0.0,0.0,8.793210131673408e-05
giraffe,0.0,0.0,0.0,0.0,0.0,0.0,0.006194288991206392,0.0051565489634757475,0.0,0.0,0.006302299748802716,0.0,0.0,0.005483640291075239,0.0016526269996114354
rain,0.0,0.0,0.0,0.0,0.0,0.0,0.0018815054916281094,0.0,0.001914350599371982,0.0,0.0,0.0,0.0,0.0,0.000271132577928578
brick,0.0,0.0,0.0,0.0,0.0,0.0,0.002025866255699431,0.0,0.0,0.0,0.002034204181863451,0.0,0.0,0.0,0.0002900050312544916
ladybird,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
supermarket,0.0,0.0,0.0,0.0,0.0,0.0,0.0007553961059098751,0.0,0.0,0.0,0.0007644024058317869,0.0,0.0,0.0,0.00010855703655297585
frog,0.0,0.0,0.0,0.0,0.0,0.0,0.0010127264910088092,0.0,0.0,0.0,0.001032985246228473,0.0,0.0,0.0010157416579515386,0.00021867524251348717
lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
peacock,0.0,0.0,0.0,0.0,0.0,0.0,0.0025489396895401373,0.0,0.0,0.0028485708083741605,0.0025345579912049994,0.0,0.0,0.0023639609215249913,0.0007354306721888778
bottle,0.0,0.0,0.0,0.0,0.0,0.0,0.001526169411217251,0.0,0.0,0.0,0.0015283047619800165,0.0,0.001620155880816371,0.0,0.00033390214671525986
parrot,0.0,0.0,0.0,0.0,0.0,0.0,0.00410553070403645,0.0,0.0,0.004072423260420899,0.0041618822075454994,0.0,0.0,0.0035899922969967134,0.0011378448906428258
jade,0.0,0.0,0.0,0.0,0.0,0.0,0.001196823488457203,0.0010460745482084722,0.0,0.0,0.0011648864009049253,0.0,0.0,0.001029357465818395,0.0003169387073849282
lion,0.0,0.0,0.0,0.0,0.0,0.0,0.0013216945768857547,0.0012555369748397725,0.0,0.0,0.001304930997779991,0.0,0.0,0.0012439732415197653,0.00036615255650180597
