,animal,tool,plant,vegetable,used_in_cooking,mammal,no-cat,measure,relation,object,weapon,bird,communication,vehicle,food,all,cutlery,mean
plane,0.0,0.0006165856613195969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003555443222176208,0.0,0.0,0.0,0.0007288886060483717,0.0,0.0003217341883126894,0.0005795531951093812,0.00015307682194162707
auger,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shaver,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pitchfork,0.0,0.0006417339595152944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00043052205545977183,0.0,0.0,0.0,0.0,0.0,0.0003998245887822547,0.0,8.659297669160712e-05
lance,0.0,0.00043620112227436223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00025900793773060303,0.0004860477623284957,0.0,0.0,0.0,0.0,0.00023897741136018295,0.00042457870896641666,0.00010851840839176827
rammer,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
burr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lettuce,0.0,0.0,0.03545244176890427,0.03545244176890427,0.0,0.0,0.0,0.025813135958838516,0.0,0.028261754090235017,0.0,0.0,0.0,0.0,0.03800843737299133,0.028190631039942043,0.0,0.011245814235283261
almond,0.0,0.0,0.01172106455178962,0.0,0.0,0.0,0.011979874647778777,0.0,0.0,0.011652334997967896,0.0,0.0,0.0,0.0,0.0,0.011634370177070447,0.0,0.00276397908085922
spinach,0.0,0.0,0.05760589956423257,0.05760589956423257,0.0,0.0,0.0,0.0,0.0,0.04761169683185292,0.0,0.0,0.0,0.0,0.05984703920285307,0.047538203325194435,0.0,0.01589463167578621
pea,0.0,0.0,0.008110598986079944,0.008110598986079944,0.0,0.0,0.008152451515653733,0.0,0.0,0.006666548678913639,0.0,0.0,0.0,0.0,0.008488407356229043,0.006673429449578181,0.0,0.0027177667630902637
cabbage,0.0,0.0,0.06858069596412143,0.06858069596412143,0.0,0.0,0.0,0.051047812000227455,0.0,0.056045069021850885,0.0,0.0,0.0,0.0,0.07145612096825314,0.05609946382774047,0.0,0.021871168102724402
mustard,0.0,0.0,0.01717436210344898,0.01717436210344898,0.0,0.0,0.0,0.0,0.0,0.014988112206348226,0.0,0.0,0.0,0.0,0.017741336083903495,0.015002753811892778,0.0,0.004828289782884851
cucumber,0.0,0.0,0.01549219837186782,0.01549219837186782,0.0,0.0,0.0,0.0,0.0,0.014679015350586758,0.0,0.0,0.0,0.0,0.01648110100044202,0.014680950412627217,0.0,0.004519144912199508
oregano,0.0,0.0,0.009703603170792429,0.0,0.0,0.0,0.0,0.0,0.0,0.007845228618662594,0.0,0.0,0.0,0.0,0.009824451341362792,0.007871404460595116,0.0,0.002073216917141937
turnip,0.0,0.0,0.015522388937542217,0.015522388937542217,0.0,0.0,0.0,0.0,0.0,0.013625378162869965,0.0,0.0,0.0,0.0,0.01608925086628183,0.0136400678368469,0.0,0.004376439690651949
broccoli,0.0,0.0,0.015538482427949845,0.015538482427949845,0.0,0.0,0.0,0.0,0.0,0.011688601984374103,0.0,0.0,0.0,0.0,0.01611462585646199,0.0117076503154105,0.0,0.004152226059538016
radish,0.0,0.0,0.055474749846504245,0.055474749846504245,0.0,0.0,0.0,0.0,0.0,0.04838713982082143,0.0,0.0,0.0,0.0,0.057212343029868454,0.04845337052655826,0.0,0.015588373710015094
rhubarb,0.0,0.0,0.007208074884036637,0.007208074884036637,0.0,0.0,0.0,0.0,0.0,0.005104636692065068,0.0,0.0,0.0,0.0,0.007397263610577579,0.005115745193679986,0.0,0.0018843408979056415
